meta_label,f
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
10943,1471110665,0,1282.724136000,0.000000000,0.905000,-0.034000,0.418000,0.900000,-4.000000,-6.600000
10944,1471129892,19227,1282.743883500,0.019747500,0.916000,-0.053000,0.421000,-0.300000,-3.300000,-8.000000
10945,1471149181,38516,1282.763243300,0.039107300,0.906000,-0.042000,0.427000,0.900000,-2.900000,-7.900000
10946,1471168317,57652,1282.782100800,0.057964800,0.889000,-0.040000,0.429000,0.500000,-3.300000,-7.500000
10947,1471187514,76849,1282.807620500,0.083484500,0.917000,-0.038000,0.431000,-2.100000,-4.600000,-11.400000
10948,1471206803,96138,1282.819959300,0.095823300,0.909000,-0.014000,0.426000,-5.100000,-6.600000,-9.500000
10949,1471226122,115457,1282.839911600,0.115775600,0.896000,-0.025000,0.417000,-6.600000,-5.700000,-9.500000
10950,1471245288,134623,1282.860422100,0.136286100,0.897000,-0.041000,0.444000,-6.400000,-8.500000,-9.000000
10951,1471264455,153790,1282.878025900,0.153889900,0.938000,-0.043000,0.398000,-9.400000,-8.500000,-14.800000
10952,1471283744,173079,1282.899340200,0.175204200,0.920000,-0.001000,0.379000,-19.600000,1.400000,-14.200000
10953,1471302941,192276,1282.916882300,0.192746300,0.905000,-0.021000,0.399000,-18.400000,4.300000,-13.400000
10954,1471322229,211564,1282.936006600,0.211870600,0.906000,-0.071000,0.467000,-10.000000,0.600000,-7.500000
10955,1471341518,230853,1282.955650400,0.231514400,0.855000,-0.056000,0.388000,0.600000,1.800000,-7.100000
10956,1471360684,250019,1282.974023900,0.249887900,0.976000,-0.073000,0.480000,7.100000,4.000000,-6.800000
10957,1471379912,269247,1282.993355000,0.269219000,0.916000,0.006000,0.388000,9.700000,-2.100000,-10.800000
10958,1471399201,288536,1283.013098400,0.288962400,0.939000,-0.047000,0.398000,13.100000,-3.500000,1.200000
10959,1471418337,307672,1283.031984300,0.307848300,0.951000,0.182000,0.472000,1.400000,-15.400000,20.700000
10960,1471437534,326869,1283.051130200,0.326994200,0.930000,0.039000,0.403000,11.700000,-34.100000,29.700000
10961,1471456822,346157,1283.069878300,0.345742300,0.893000,-0.056000,0.340000,9.600000,-16.900000,16.900000
10962,1471476142,365477,1283.089970000,0.365834000,0.914000,-0.091000,0.376000,10.000000,-10.800000,13.700000
10963,1471495308,384643,1283.109075800,0.384939800,0.899000,-0.069000,0.334000,6.700000,-0.700000,7.300000
10964,1471514475,403810,1283.127969600,0.403833600,0.908000,-0.027000,0.415000,6.500000,5.300000,6.000000
10965,1471533763,423098,1283.147090600,0.422954600,0.880000,-0.101000,0.400000,4.400000,10.000000,9.100000
