meta_label,f
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
63370,1450890932,0,1470.344672400,0.000000000,0.882000,0.057000,0.490000,0.700000,-5.300000,-5.400000
63371,1450910251,19319,1470.363541400,0.018869000,0.868000,0.074000,0.495000,0.400000,-6.500000,-6.200000
63372,1450929479,38547,1470.385148100,0.040475700,0.860000,0.071000,0.507000,-1.800000,-9.300000,-6.700000
63373,1450948737,57805,1470.402686300,0.058013900,0.856000,0.083000,0.523000,1.500000,-14.900000,-4.100000
63374,1450967903,76971,1470.421562600,0.076890200,0.874000,0.067000,0.485000,1.100000,-18.900000,-3.500000
63375,1450987192,96260,1470.444807100,0.100134700,0.934000,0.062000,0.403000,-5.600000,-18.200000,-11.200000
63376,1451006297,115365,1470.459556700,0.114884300,0.879000,0.104000,0.446000,-17.600000,-5.900000,-20.500000
63377,1451025525,134593,1470.479525700,0.134853300,0.846000,0.046000,0.471000,-16.600000,-0.400000,-24.200000
63378,1451044844,153912,1470.500723600,0.156051200,0.862000,0.137000,0.551000,-10.100000,-3.600000,-16.400000
63379,1451064072,173140,1470.517703400,0.173031000,0.881000,0.042000,0.520000,-4.800000,0.100000,-8.900000
63380,1451083269,192337,1470.538580400,0.193908000,0.923000,0.090000,0.481000,8.800000,-4.300000,-3.700000
63381,1451102466,211534,1470.556720500,0.212048100,0.881000,0.088000,0.483000,22.000000,-5.400000,1.100000
63382,1451121785,230853,1470.575660200,0.230987800,0.959000,0.257000,0.466000,13.100000,-15.900000,43.900000
63383,1451140982,250050,1470.597440700,0.252768300,0.867000,0.072000,0.275000,16.600000,-20.500000,40.600000
63384,1451160271,269339,1470.613736200,0.269063800,0.853000,0.132000,0.436000,6.500000,-6.000000,34.300000
63385,1451179407,288475,1470.635216000,0.290543600,0.841000,0.007000,0.436000,-3.800000,-0.400000,24.500000
63386,1451198604,307672,1470.655525100,0.310852700,0.861000,-0.030000,0.543000,-13.600000,6.200000,6.500000
63387,1451217862,326930,1470.671544000,0.326871600,0.828000,-0.088000,0.522000,-13.600000,15.700000,-22.200000
63388,1451237120,346188,1470.690610000,0.345937600,0.881000,0.054000,0.609000,-9.600000,6.000000,-15.100000
63389,1451256378,365446,1470.709652400,0.364980000,0.929000,0.033000,0.524000,-0.300000,-7.800000,-12.800000
63390,1451275545,384613,1470.732650600,0.387978200,0.938000,0.009000,0.322000,9.900000,-14.000000,-16.700000
63391,1451294833,403901,1470.748723600,0.404051200,0.924000,0.105000,0.365000,6.200000,-4.700000,-20.700000
63392,1451314061,423129,1470.767661400,0.422989000,0.979000,0.230000,0.507000,-17.200000,-27.800000,-43.200000
63393,1451333258,442326,1470.786693600,0.442021200,0.831000,0.353000,0.225000,-29.400000,-10.100000,-5.600000
