meta_label,i
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
41842,805041208,0,616.772558700,0.000000000,0.940000,0.010000,0.363000,3.300000,-5.700000,-1.600000
41843,805060405,19197,616.794756700,0.022198000,0.925000,-0.012000,0.405000,0.800000,-4.000000,-4.400000
41844,805079724,38516,616.810524600,0.037965900,0.899000,-0.030000,0.434000,2.600000,-6.000000,-5.300000
41845,805098860,57652,616.839754100,0.067195400,0.910000,0.003000,0.410000,5.800000,-9.300000,-5.900000
41846,805118149,76941,616.849524700,0.076966000,0.934000,0.013000,0.385000,4.900000,-6.100000,-3.500000
41847,805137346,96138,616.869844600,0.097285900,0.916000,0.012000,0.403000,4.700000,-4.900000,-3.900000
41848,805156513,115305,616.887532700,0.114974000,0.895000,-0.019000,0.412000,2.700000,-5.500000,-6.000000
41849,805175771,134563,616.906609800,0.134051100,0.871000,-0.077000,0.447000,-0.500000,-6.600000,-18.100000
41850,805194998,153790,616.928764300,0.156205600,0.863000,-0.131000,0.528000,2.600000,-15.800000,-30.000000
41851,805214287,173079,616.945295900,0.172737200,1.064000,0.096000,0.317000,-7.600000,-10.800000,-29.500000
41852,805233453,192245,616.964480900,0.191922200,0.930000,0.080000,0.265000,-4.100000,-10.200000,-19.100000
41853,805252620,211412,616.985887600,0.213328900,0.939000,0.129000,0.383000,5.900000,-3.000000,0.900000
41854,805271939,230731,617.002567400,0.230008700,0.965000,0.203000,0.494000,6.500000,-28.500000,30.800000
41855,805291228,250020,617.025376600,0.252817900,0.862000,-0.045000,0.227000,14.600000,-0.600000,8.900000
41856,805310394,269186,617.044339000,0.271780300,0.929000,0.067000,0.451000,0.500000,-23.800000,45.700000
41857,805329683,288475,617.060479000,0.287920300,0.893000,0.024000,0.229000,15.100000,16.800000,11.100000
41858,805348850,307642,617.082887700,0.310329000,0.981000,-0.032000,0.352000,3.800000,10.800000,9.700000
41859,805368047,326839,617.100530900,0.327972200,0.979000,0.047000,0.277000,-14.600000,37.200000,-13.700000
