meta_label,i
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
32085,335084911,0,4648.939531900,0.000000000,0.813000,0.072000,0.558000,-1.500000,0.400000,-3.100000
32086,335104230,19319,4648.959518500,0.019986600,0.825000,0.100000,0.551000,-0.900000,-3.400000,-6.800000
32087,335123518,38607,4648.978514300,0.038982400,0.818000,0.117000,0.538000,-0.800000,-5.800000,-6.300000
32088,335142685,57774,4648.998335200,0.058803300,0.797000,0.093000,0.577000,1.400000,-11.000000,-11.500000
32089,335161913,77002,4649.016656300,0.077124400,0.788000,0.043000,0.622000,7.500000,-21.700000,-13.500000
32090,335181140,96229,4649.036602400,0.097070500,1.037000,0.116000,0.457000,-3.400000,-22.200000,-17.000000
32091,335200337,115426,4649.058192500,0.118660600,0.871000,0.184000,0.407000,-11.100000,-13.300000,-8.400000
32092,335219626,134715,4649.074514700,0.134982800,0.865000,0.121000,0.461000,6.400000,-8.100000,-6.000000
32093,335238792,153881,4649.094363300,0.154831400,0.854000,0.198000,0.473000,10.700000,-7.700000,8.300000
32094,335257989,173078,4649.112454400,0.172922500,0.962000,0.414000,0.472000,-0.900000,-6.800000,55.200000
32095,335277278,192367,4649.132483200,0.192951300,0.777000,0.108000,0.388000,10.700000,14.200000,3.400000
32096,335296506,211595,4649.151506800,0.211974900,0.870000,-0.086000,0.534000,-5.500000,6.200000,-2.500000
32097,335315764,230853,4649.170434500,0.230902600,0.856000,0.033000,0.480000,-18.500000,14.900000,-45.400000
32098,335334930,250019,4649.189404800,0.249872900,0.678000,0.086000,0.737000,-24.100000,11.300000,-47.600000
32099,335354219,269308,4649.209619600,0.270087700,0.990000,0.080000,0.644000,3.600000,-29.100000,-43.200000
32100,335373447,288536,4649.228450800,0.288918900,0.837000,0.376000,0.419000,-10.300000,-22.300000,-20.100000
32101,335392644,307733,4649.247497400,0.307965500,0.847000,0.381000,0.321000,-9.800000,-11.700000,0.900000
32102,335411871,326960,4649.267610600,0.328078700,0.877000,0.201000,0.418000,-13.500000,-0.900000,17.400000
32103,335431160,346249,4649.286513100,0.346981200,0.914000,0.076000,0.427000,-6.500000,-4.600000,6.400000
32104,335450327,365416,4649.305582200,0.366050300,0.852000,0.004000,0.517000,-1.800000,6.200000,-0.300000
32105,335469554,384643,4649.324587100,0.385055200,0.974000,0.252000,0.396000,-4.000000,13.000000,1.400000
32106,335488782,403871,4649.343598300,0.404066400,1.067000,0.412000,0.250000,-59.700000,58.300000,18.900000
32107,335507979,423068,4649.362519800,0.422987900,0.828000,0.220000,0.715000,-58.900000,58.900000,32.300000
32108,335527328,442417,4649.382557100,0.443025200,0.600000,-0.101000,0.822000,-25.800000,17.300000,30.800000
32109,335546465,461554,4649.401440900,0.461909000,0.662000,-0.142000,0.783000,3.200000,-9.500000,10.700000
32110,335565723,480812,4649.424850000,0.485318100,0.760000,0.002000,0.647000,16.400000,-24.800000,-1.200000
32111,335584950,500039,4649.439473300,0.499941400,0.928000,0.118000,0.443000,15.700000,-21.500000,-6.600000
32112,335604239,519328,4649.459442200,0.519910300,0.953000,0.237000,0.393000,6.500000,-4.300000,-0.800000
32113,335623405,538494,4649.478467400,0.538935500,0.939000,0.219000,0.428000,-7.100000,7.100000,11.500000
32114,335642572,557661,4649.497469000,0.557937100,0.848000,0.135000,0.528000,-13.400000,14.400000,15.300000
32115,335661891,576980,4649.520467800,0.580935900,0.761000,0.008000,0.630000,-12.600000,10.000000,13.800000
32116,335681180,596269,4649.536533900,0.597002000,0.783000,-0.031000,0.635000,-2.600000,1.000000,1.400000
32117,335700346,615435,4649.555552200,0.616020300,0.773000,0.025000,0.619000,0.300000,-4.400000,-1.100000
32118,335719574,634663,4649.574429800,0.634897900,0.795000,0.025000,0.599000,7.300000,-14.100000,-5.800000
32119,335738802,653891,4649.593590800,0.654058900,0.908000,0.034000,0.495000,16.900000,-6.800000,-15.900000
32120,335757999,673088,4649.612378200,0.672846300,0.858000,0.137000,0.511000,11.800000,3.100000,-13.500000
32121,335777318,692407,4649.632549100,0.693017200,0.860000,0.165000,0.543000,7.800000,-3.400000,-10.000000
32122,335796454,711543,4649.651425300,0.711893400,0.902000,0.105000,0.502000,6.000000,-2.600000,-6.600000
