meta_label,J
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2196,2795029485,0,2814.249084700,0.000000000,0.840000,0.152000,0.516000,0.300000,-5.600000,0.000000
2197,2795048713,19228,2814.262854200,0.013769500,0.863000,0.165000,0.495000,0.800000,-4.900000,-1.000000
2198,2795067910,38425,2814.282865000,0.033780300,0.857000,0.182000,0.487000,-0.700000,-2.700000,0.400000
2199,2795087229,57744,2814.305688300,0.056603600,0.817000,0.149000,0.526000,-1.600000,-4.500000,0.300000
2200,2795106517,77032,2814.320880800,0.071796100,0.774000,0.066000,0.618000,1.100000,-9.200000,-1.100000
2201,2795125715,96230,2814.339912700,0.090828000,0.983000,0.000000,0.521000,6.300000,-18.600000,-15.500000
2202,2795144881,115396,2814.363899100,0.114814400,0.896000,0.297000,0.460000,-5.900000,-18.300000,-11.400000
2203,2795164170,134685,2814.378877200,0.129792500,0.872000,0.212000,0.315000,-11.000000,-10.500000,-8.600000
2204,2795183397,153912,2814.397796000,0.148711300,0.919000,0.088000,0.586000,-15.700000,-27.400000,-24.200000
2205,2795202594,173109,2814.416725800,0.167641100,0.900000,0.428000,0.283000,-7.800000,-13.300000,-33.700000
2206,2795221822,192337,2814.436806300,0.187721600,0.808000,0.099000,0.518000,-0.700000,5.400000,7.900000
2207,2795241111,211626,2814.455775900,0.206691200,0.807000,0.063000,0.727000,15.700000,6.400000,0.100000
2208,2795260277,230792,2814.474746100,0.225661400,0.802000,0.154000,0.572000,15.500000,2.100000,-2.200000
2209,2795279505,250020,2814.495269500,0.246184800,0.877000,0.253000,0.402000,11.300000,-2.300000,-0.100000
2210,2795298732,269247,2814.512878600,0.263793900,0.920000,0.272000,0.317000,2.400000,-4.600000,2.200000
2211,2795317930,288445,2814.532857100,0.283772400,0.933000,0.344000,0.518000,-8.700000,-7.800000,23.600000
2212,2795337249,307764,2814.551859600,0.302774900,0.824000,-0.050000,0.448000,1.800000,-5.700000,23.400000
2213,2795356537,327052,2814.570857100,0.321772400,0.830000,0.106000,0.552000,10.400000,-6.700000,27.900000
2214,2795375734,346249,2814.589885800,0.340801100,0.827000,0.186000,0.604000,11.200000,-3.500000,21.100000
2215,2795394901,365416,2814.609906600,0.360821900,0.878000,0.235000,0.488000,9.100000,-10.200000,-0.500000
2216,2795414190,384705,2814.628755100,0.379670400,0.865000,0.187000,0.310000,-6.400000,5.400000,8.000000
2217,2795433356,403871,2814.652237400,0.403152700,0.838000,0.104000,0.485000,-1.100000,23.300000,-7.700000
2218,2795452523,423038,2814.666845000,0.417760300,0.944000,0.070000,0.454000,10.200000,12.600000,-6.600000
2219,2795471811,442326,2814.685711400,0.436626700,0.927000,0.304000,0.522000,12.100000,5.700000,-12.500000
2220,2795491008,461523,2814.707622200,0.458537500,0.923000,0.262000,0.384000,-7.000000,9.600000,5.800000
2221,2795510297,480812,2814.724743500,0.475658800,0.857000,0.198000,0.476000,-16.700000,11.800000,9.800000
2222,2795529525,500040,2814.743837700,0.494753000,0.848000,0.156000,0.509000,-15.300000,16.200000,5.700000
2223,2795548752,519267,2814.762754400,0.513669700,0.805000,0.094000,0.566000,-13.100000,14.300000,6.300000
2224,2795567919,538434,2814.782749700,0.533665000,0.810000,0.097000,0.569000,-7.200000,6.400000,-2.300000
2225,2795587269,557784,2814.801988600,0.552903900,0.831000,0.150000,0.531000,-6.000000,2.000000,-3.600000
2226,2795606405,576920,2814.820736700,0.571652000,0.841000,0.184000,0.513000,-4.200000,1.600000,1.200000
2227,2795625602,596117,2814.839832200,0.590747500,0.848000,0.149000,0.518000,-3.700000,-0.700000,3.700000
2228,2795644890,615405,2814.864206500,0.615121800,0.859000,0.129000,0.521000,1.000000,0.400000,3.300000
2229,2795664179,634694,2814.878823700,0.629739000,0.855000,0.138000,0.511000,1.600000,0.200000,3.000000
2230,2795683376,653891,2814.897859700,0.648775000,0.850000,0.154000,0.506000,1.100000,-0.500000,3.300000
2231,2795702543,673058,2814.916789700,0.667705000,0.866000,0.140000,0.497000,-0.200000,0.600000,0.300000
2232,2795721831,692346,2814.935880600,0.686795900,0.861000,0.142000,0.500000,-0.400000,1.500000,0.400000
2233,2795741059,711574,2814.956503100,0.707418400,0.861000,0.125000,0.517000,-1.300000,2.000000,-2.400000
2234,2795760256,730771,2814.974756000,0.725671300,0.854000,0.126000,0.527000,-0.200000,1.500000,-4.700000
2235,2795779483,749998,2814.993782100,0.744697400,0.854000,0.123000,0.517000,0.400000,0.700000,-7.500000
2236,2795798772,769287,2815.012738200,0.763653500,0.861000,0.137000,0.513000,4.600000,0.400000,-8.300000
