meta_label,j
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
39314,2248551458,0,2267.863134900,0.000000000,0.868000,-0.018000,0.503000,4.500000,-3.500000,-4.800000
39315,2248570625,19167,2267.883992400,0.020857500,0.880000,-0.033000,0.492000,2.800000,-6.300000,-5.500000
39316,2248589791,38333,2267.902006400,0.038871500,0.865000,0.000000,0.502000,2.300000,-5.300000,-6.700000
39317,2248609080,57622,2267.921117500,0.057982600,0.877000,0.000000,0.493000,1.800000,-3.800000,-3.700000
39318,2248628307,76849,2267.945518100,0.082383200,0.840000,-0.027000,0.525000,1.400000,-3.900000,-4.600000
39319,2248647566,96108,2267.959088100,0.095953200,0.781000,-0.117000,0.595000,6.800000,-8.300000,-13.900000
39320,2248666732,115274,2267.981999200,0.118864300,0.795000,-0.194000,0.431000,3.300000,-34.500000,-27.800000
39321,2248686021,134563,2267.998042700,0.134907800,1.071000,0.163000,0.390000,0.900000,-14.400000,-19.300000
39322,2248705187,153729,2268.025215500,0.162080600,0.902000,0.092000,0.432000,6.300000,-1.800000,-4.900000
39323,2248724415,172957,2268.036433500,0.173298600,0.904000,0.063000,0.511000,1.300000,-22.900000,20.300000
39324,2248743643,192185,2268.055160800,0.192025900,0.898000,0.003000,0.469000,6.500000,-15.900000,26.500000
39325,2248762840,211382,2268.075004400,0.211869500,0.836000,-0.209000,0.417000,13.300000,-13.900000,26.900000
39326,2248782189,230731,2268.093972300,0.230837400,0.833000,0.078000,0.589000,13.500000,-11.600000,5.400000
39327,2248801325,249867,2268.113034500,0.249899600,0.903000,0.099000,0.471000,8.900000,0.200000,-11.600000
39328,2248820644,269186,2268.134415300,0.271280400,0.806000,0.224000,0.321000,-10.400000,-3.800000,12.700000
39329,2248839811,288353,2268.152153800,0.289018900,0.895000,-0.189000,0.401000,-8.600000,25.700000,21.400000
39330,2248859069,307611,2268.172689300,0.309554400,1.073000,-0.180000,0.362000,-13.400000,27.200000,-41.100000
39331,2248878297,326839,2268.194394800,0.331259900,0.811000,0.134000,0.583000,-24.200000,25.500000,-13.300000
39332,2248897433,345975,2268.209016500,0.345881600,0.636000,-0.191000,0.769000,1.800000,-4.500000,-26.700000
39333,2248916752,365294,2268.229857000,0.366722100,0.976000,-0.156000,0.444000,-10.500000,-27.500000,-25.900000
39334,2248936041,384583,2268.248149400,0.385014500,0.859000,0.165000,0.344000,-26.000000,-17.400000,-3.800000
39335,2248955207,403749,2268.267039800,0.403904900,0.890000,0.031000,0.324000,-8.400000,0.600000,1.800000
39336,2248974435,422977,2268.290040300,0.426905400,0.957000,0.063000,0.458000,-0.400000,3.100000,5.700000
39337,2248993662,442204,2268.305122300,0.441987400,1.061000,0.094000,0.309000,-0.300000,0.000000,4.900000
39338,2249012859,461401,2268.325030400,0.461895500,1.025000,0.339000,0.347000,-34.200000,36.600000,30.600000
39339,2249032148,480690,2268.349605300,0.486470400,0.816000,0.018000,0.506000,-52.900000,62.800000,50.800000
39340,2249051406,499948,2268.363097300,0.499962400,0.684000,-0.151000,0.716000,-40.500000,47.500000,41.800000
39341,2249070664,519206,2268.383294300,0.520159400,0.621000,-0.325000,0.791000,-20.400000,17.900000,35.500000
39342,2249089831,538373,2268.402180200,0.539045300,0.692000,-0.374000,0.739000,7.100000,-13.200000,15.700000
39343,2249109120,557662,2268.421021600,0.557886700,0.796000,-0.217000,0.576000,23.100000,-26.100000,-1.400000
39344,2249128286,576828,2268.446185300,0.583050400,0.879000,-0.047000,0.485000,25.700000,-22.700000,-1.400000
39345,2249147453,595995,2268.459168700,0.596033800,0.961000,0.097000,0.388000,14.900000,-9.100000,9.300000
39346,2249166772,615314,2268.478127100,0.614992200,1.021000,0.064000,0.391000,1.100000,11.100000,22.300000
39347,2249186060,634602,2268.497971900,0.634837000,0.852000,-0.060000,0.519000,-7.000000,16.400000,25.900000
39348,2249205227,653769,2268.517018600,0.653883700,0.794000,-0.172000,0.578000,-11.100000,12.100000,17.500000
39349,2249224455,672997,2268.538696000,0.675561100,0.758000,-0.188000,0.633000,-4.700000,4.800000,9.600000
39350,2249243682,692224,2268.555069800,0.691934900,0.776000,-0.176000,0.623000,3.600000,-4.300000,4.700000
39351,2249262849,711391,2268.575466400,0.712331500,0.865000,-0.208000,0.523000,8.600000,-7.700000,-2.600000
39352,2249282198,730740,2268.594067400,0.730932500,0.854000,-0.114000,0.523000,10.900000,-4.300000,-14.200000
39353,2249301334,749876,2268.613056600,0.749921700,0.847000,-0.071000,0.518000,9.500000,-3.800000,-14.800000
39354,2249320532,769074,2268.635690100,0.772555200,0.870000,-0.002000,0.521000,10.000000,-2.600000,-10.000000
39355,2249339820,788362,2268.651010200,0.787875300,0.915000,-0.047000,0.495000,0.600000,0.000000,-1.200000
39356,2249359109,807651,2268.671118600,0.807983700,0.888000,-0.060000,0.497000,-0.400000,5.100000,-5.600000
39357,2249378245,826787,2268.694445700,0.831310800,0.832000,-0.026000,0.527000,-3.000000,6.000000,0.200000
39358,2249397472,846014,2268.709036100,0.845901200,0.844000,-0.076000,0.557000,-1.500000,3.600000,1.100000
39359,2249416761,865303,2268.728516600,0.865381700,0.879000,-0.114000,0.531000,-0.200000,4.900000,-6.700000
39360,2249435989,884531,2268.750349800,0.887214900,0.839000,-0.081000,0.533000,0.000000,7.300000,-7.600000
39361,2249455216,903758,2268.767026300,0.903891400,0.880000,-0.122000,0.533000,-4.700000,10.500000,-8.800000
39362,2249474413,922955,2268.786116800,0.922981900,0.807000,-0.091000,0.534000,-5.600000,8.800000,-15.800000
39363,2249493702,942244,2268.804947300,0.941812400,0.789000,-0.055000,0.560000,-3.000000,7.400000,-13.600000
39364,2249512869,961411,2268.824044000,0.960909100,0.827000,-0.110000,0.564000,0.400000,5.100000,-12.400000
39365,2249532096,980638,2268.845660000,0.982525100,0.847000,-0.121000,0.583000,5.100000,4.000000,-16.100000
39366,2249551324,999866,2268.863068700,0.999933800,0.880000,-0.137000,0.555000,6.800000,6.500000,-23.800000
39367,2249570521,1019063,2268.881902300,1.018767400,0.838000,-0.055000,0.577000,8.400000,12.500000,-33.700000
