meta_label,j
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5951,4127495481,0,4146.473218500,0.000000000,0.850000,0.032000,0.500000,-6.000000,-4.600000,-5.100000
5952,4127514709,19228,4146.491621400,0.018402900,0.869000,0.030000,0.497000,-3.500000,-5.700000,-4.800000
5953,4127533906,38425,4146.511570300,0.038351800,0.853000,0.006000,0.500000,-1.000000,-6.800000,-2.100000
5954,4127553133,57652,4146.530681000,0.057462500,0.796000,-0.052000,0.578000,2.200000,-12.700000,-6.000000
5955,4127572422,76941,4146.549588500,0.076370000,0.988000,-0.098000,0.566000,16.900000,-31.400000,-10.700000
5956,4127591589,96108,4146.568532200,0.095313700,0.912000,0.083000,0.370000,0.100000,-14.600000,-18.500000
5957,4127610816,115335,4146.588965400,0.115746900,0.905000,0.060000,0.313000,-6.500000,-13.900000,-14.200000
5958,4127630044,134563,4146.607612700,0.134394200,0.896000,0.009000,0.445000,-10.000000,-14.000000,-2.000000
5959,4127649271,153790,4146.626575600,0.153357100,0.945000,0.087000,0.636000,3.300000,-16.500000,-10.500000
5960,4127668560,173079,4146.645588200,0.172369700,0.894000,-0.036000,0.335000,28.700000,-24.900000,10.400000
5961,4127687849,192368,4146.664629800,0.191411300,0.877000,0.114000,0.352000,25.500000,-13.300000,14.200000
5962,4127707046,211565,4146.684574600,0.211356100,0.884000,0.151000,0.433000,17.100000,-5.800000,21.500000
5963,4127726212,230731,4146.706762200,0.233543700,0.857000,0.250000,0.450000,7.100000,-1.600000,16.200000
5964,4127745501,250020,4146.722501500,0.249283000,0.811000,0.089000,0.226000,-7.400000,2.900000,19.500000
5965,4127764668,269187,4146.741826300,0.268607800,0.966000,-0.309000,0.347000,-24.700000,38.300000,1.300000
5966,4127783834,288353,4146.760583800,0.287365300,0.948000,-0.029000,0.492000,-20.500000,44.200000,-50.800000
5967,4127803123,307642,4146.780511300,0.307292800,0.867000,0.147000,0.581000,-23.800000,26.300000,-30.900000
5968,4127822350,326869,4146.800650100,0.327431600,0.682000,-0.017000,0.733000,-13.700000,-1.600000,-26.100000
5969,4127841547,346066,4146.818626600,0.345408100,1.064000,0.124000,0.558000,-14.300000,-13.100000,-21.000000
5970,4127860775,365294,4146.837981800,0.364763300,0.887000,0.161000,0.363000,-33.600000,-24.900000,3.800000
5971,4127880094,384613,4146.857643400,0.384424900,0.905000,0.072000,0.276000,-25.900000,-11.400000,8.800000
