meta_label,K
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
60386,133251399,0,152.939758600,0.000000000,0.858000,-0.183000,0.492000,0.700000,-3.100000,-0.600000
60387,133270566,19167,152.958718600,0.018960000,0.858000,-0.195000,0.489000,3.000000,-2.700000,-3.000000
60388,133289885,38486,152.977754700,0.037996100,0.864000,-0.151000,0.495000,2.700000,-3.400000,-2.400000
60389,133309173,57774,152.997845100,0.058086500,0.857000,-0.176000,0.491000,0.400000,-4.000000,-1.200000
60390,133328340,76941,153.016821600,0.077063000,0.861000,-0.197000,0.484000,1.800000,-5.200000,-2.400000
60391,133347507,96108,153.040000800,0.100242200,0.834000,-0.211000,0.488000,1.100000,-4.400000,-6.500000
60392,133366795,115396,153.054878300,0.115119700,0.822000,-0.210000,0.507000,2.600000,-2.600000,-13.600000
60393,133385931,134532,153.073793000,0.134034400,0.834000,-0.226000,0.528000,1.700000,-2.200000,-18.500000
60394,133405311,153912,153.097465600,0.157707000,0.988000,-0.089000,0.466000,-10.300000,-1.800000,-21.800000
60395,133424447,173048,153.112801300,0.173042700,0.893000,-0.134000,0.423000,-15.600000,-5.200000,-3.300000
60396,133443614,192215,153.134714200,0.194955600,0.876000,-0.091000,0.465000,2.300000,-4.500000,-3.300000
60397,133462964,211565,153.150607900,0.210849300,0.914000,-0.088000,0.541000,1.200000,-15.100000,25.400000
60398,133482100,230701,153.170739600,0.230981000,0.809000,-0.133000,0.511000,4.700000,-36.400000,31.500000
60399,133501358,249959,153.189857500,0.250098900,0.918000,-0.194000,0.402000,22.900000,-37.900000,25.500000
60400,133520585,269186,153.209246400,0.269487800,0.820000,-0.257000,0.454000,5.100000,-2.800000,-1.000000
60401,133539874,288475,153.230209400,0.290450800,0.877000,-0.183000,0.476000,-19.300000,9.100000,-6.300000
60402,133559102,307703,153.247798800,0.308040200,0.819000,-0.345000,0.298000,-25.700000,12.600000,-29.800000
60403,133578299,326900,153.266653600,0.326895000,0.878000,0.000000,0.596000,-25.900000,26.300000,-52.000000
60404,133597526,346127,153.285638100,0.345879500,0.946000,-0.053000,0.472000,-38.900000,14.900000,-32.500000
60405,133616815,365416,153.305565500,0.365806900,0.877000,-0.223000,0.458000,-19.000000,-1.100000,-14.100000
60406,133635982,384583,153.329122700,0.389364100,0.823000,-0.219000,0.491000,-5.000000,-5.100000,0.200000
60407,133655148,403749,153.343753500,0.403994900,0.870000,-0.176000,0.464000,8.700000,-0.300000,-5.700000
60408,133674467,423068,153.363509900,0.423751300,0.868000,-0.091000,0.519000,15.400000,-4.200000,0.500000
60409,133693634,442235,153.386149500,0.446390900,0.781000,-0.142000,0.517000,14.400000,-18.900000,31.100000
60410,133712953,461554,153.400733300,0.460974700,0.955000,-0.392000,0.378000,19.400000,-14.500000,-6.300000
60411,133732089,480690,153.419545900,0.479787300,0.885000,-0.060000,0.415000,15.800000,-0.700000,-2.400000
60412,133751439,500040,153.441465200,0.501706600,0.892000,0.048000,0.445000,-17.600000,3.300000,-1.900000
60413,133770605,519206,153.458531300,0.518772700,0.917000,-0.172000,0.729000,-22.800000,-9.700000,2.100000
60414,133789894,538495,153.479077100,0.539318500,0.813000,-0.050000,0.256000,-12.300000,-22.800000,-9.100000
60415,133808999,557600,153.500111600,0.560353000,0.906000,-0.169000,0.485000,-3.700000,-16.000000,9.800000
60416,133828349,576950,153.516587700,0.576829100,0.882000,-0.158000,0.469000,1.700000,-8.900000,14.300000
60417,133847516,596117,153.535783700,0.596025100,0.866000,-0.240000,0.339000,12.100000,-5.200000,9.700000
60418,133866743,615344,153.554768100,0.615009500,1.025000,-0.113000,0.270000,0.300000,8.600000,4.800000
60419,133886001,634602,153.573794900,0.634036300,0.962000,0.077000,0.399000,-38.100000,32.000000,23.100000
60420,133905168,653769,153.593758400,0.653999800,0.865000,-0.081000,0.527000,-48.300000,41.900000,39.800000
60421,133924457,673058,153.612683700,0.672925100,0.736000,-0.310000,0.624000,-36.300000,23.800000,39.000000
60422,133943623,692224,153.635032400,0.695273800,0.715000,-0.435000,0.612000,-16.900000,-0.700000,26.600000
60423,133962851,711452,153.650736200,0.710977600,0.773000,-0.446000,0.507000,0.900000,-16.000000,2.600000
60424,133982078,730679,153.672087700,0.732329100,0.835000,-0.351000,0.445000,8.100000,-10.000000,-10.200000
60425,134001398,749999,153.689797400,0.750038800,0.869000,-0.211000,0.452000,9.600000,-7.000000,-10.000000
60426,134020625,769226,153.708749700,0.768991100,0.909000,-0.113000,0.449000,7.100000,-3.500000,-4.900000
60427,134039914,788515,153.731140200,0.791381600,0.903000,-0.140000,0.462000,1.200000,-4.500000,2.200000
60428,134059080,807681,153.746804900,0.807046300,0.874000,-0.211000,0.442000,0.000000,-3.600000,6.100000
60429,134078247,826848,153.766710300,0.826951700,0.850000,-0.267000,0.462000,0.900000,-3.100000,3.900000
60430,134097536,846137,153.785769500,0.846010900,0.852000,-0.280000,0.459000,4.900000,-4.400000,1.100000
60431,134116763,865364,153.804864500,0.865105900,0.858000,-0.252000,0.457000,9.800000,-4.600000,-1.100000
60432,134135960,884561,153.823694900,0.883936300,0.884000,-0.207000,0.456000,10.600000,-3.400000,-1.000000
60433,134155188,903789,153.842734300,0.902975700,0.881000,-0.161000,0.449000,4.000000,-0.100000,0.900000
60434,134174476,923077,153.862709100,0.922950500,0.888000,-0.174000,0.449000,-1.800000,4.000000,2.200000
60435,134193643,942244,153.883612300,0.943853700,0.863000,-0.191000,0.467000,-7.700000,5.100000,5.100000
