meta_label,K
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
51167,702031784,0,5015.821176700,0.000000000,0.845000,0.061000,0.502000,-0.300000,1.500000,-5.800000
51168,702051103,19319,5015.841146300,0.019969600,0.829000,0.018000,0.532000,-3.400000,0.200000,-14.400000
51169,702070270,38486,5015.862774700,0.041598000,0.782000,-0.018000,0.597000,-2.100000,-6.100000,-23.900000
51170,702089559,57775,5015.879091000,0.057914300,0.795000,-0.062000,0.629000,5.700000,-21.200000,-36.700000
51171,702108725,76941,5015.898633300,0.077456600,1.018000,0.235000,0.386000,-3.900000,-3.900000,-32.800000
51172,702127892,96108,5015.917403900,0.096227200,0.928000,0.161000,0.419000,-4.200000,-12.400000,-8.900000
51173,702147241,115457,5015.937251000,0.116074300,0.876000,0.124000,0.413000,16.000000,-1.700000,-2.200000
51174,702166377,134593,5015.956587400,0.135410700,0.952000,0.320000,0.690000,23.900000,-10.900000,20.400000
51175,702185697,153913,5015.975169500,0.153992800,0.855000,-0.063000,0.369000,13.900000,-22.300000,35.300000
51176,702204863,173079,5015.994155100,0.172978400,0.806000,0.056000,0.404000,16.600000,-6.300000,21.200000
51177,702224152,192368,5016.014460200,0.193283500,0.874000,0.079000,0.459000,-6.800000,-1.300000,-0.700000
51178,702243379,211595,5016.033206600,0.212029900,0.880000,0.055000,0.481000,-21.800000,-9.100000,-6.300000
51179,702262638,230854,5016.052212500,0.231035800,0.909000,-0.137000,0.339000,-18.000000,0.500000,-46.100000
51180,702281774,249990,5016.071193700,0.250017000,0.859000,0.382000,0.442000,-22.600000,-1.200000,-56.800000
51181,702301093,269309,5016.093569900,0.272393200,0.894000,0.124000,0.545000,-31.300000,-7.800000,-36.300000
51182,702320259,288475,5016.110188200,0.289011500,0.833000,0.020000,0.499000,-18.400000,-7.100000,-9.700000
51183,702339487,307703,5016.129017700,0.307841000,0.881000,-0.060000,0.610000,9.700000,-1.500000,-4.300000
51184,702358715,326931,5016.152296400,0.331119700,0.874000,0.071000,0.510000,27.400000,-6.400000,-3.600000
51185,702377912,346128,5016.167223200,0.346046500,0.829000,0.231000,0.562000,30.100000,-1.000000,32.700000
51186,702397261,365477,5016.187220800,0.366044100,0.877000,-0.060000,0.467000,35.200000,-5.200000,28.600000
51187,702416397,384613,5016.207747800,0.386571100,0.889000,0.284000,0.228000,31.600000,-9.400000,-20.200000
51188,702435655,403871,5016.225077800,0.403901100,0.932000,0.315000,0.441000,-13.700000,3.300000,16.400000
51189,702454883,423099,5016.244499600,0.423322900,0.921000,0.114000,0.549000,-31.300000,-28.400000,14.300000
51190,702474172,442388,5016.264057300,0.442880600,0.850000,0.021000,0.433000,-21.600000,-16.300000,3.700000
51191,702493399,461615,5016.283027700,0.461851000,0.886000,0.022000,0.549000,-6.200000,2.200000,7.600000
51192,702512627,480843,5016.302007100,0.480830400,0.860000,-0.006000,0.384000,-1.900000,7.200000,9.400000
51193,702531824,500040,5016.321098400,0.499921700,0.904000,0.076000,0.464000,2.700000,6.900000,3.100000
51194,702551052,519268,5016.341120500,0.519943800,1.035000,0.109000,0.253000,-18.100000,23.400000,-0.300000
51195,702570249,538465,5016.361959000,0.540782300,0.878000,0.228000,0.478000,-38.700000,48.900000,-1.900000
51196,702589446,557662,5016.379129400,0.557952700,0.750000,0.072000,0.661000,-27.900000,28.500000,9.200000
51197,702608765,576981,5016.402744300,0.581567600,0.754000,-0.083000,0.691000,-9.900000,8.000000,10.500000
51198,702627962,596178,5016.417059100,0.595882400,0.794000,-0.071000,0.609000,6.900000,-6.600000,4.500000
51199,702647251,615467,5016.439240200,0.618063500,0.881000,-0.005000,0.506000,14.200000,-12.200000,4.100000
51200,702666387,634603,5016.456032300,0.634855600,0.953000,0.086000,0.400000,14.100000,-4.600000,-2.000000
51201,702685584,653800,5016.475149600,0.653972900,0.907000,0.179000,0.419000,4.200000,4.100000,4.300000
51202,702704872,673088,5016.498907600,0.677730900,0.857000,0.150000,0.494000,-1.300000,4.900000,10.600000
51203,702724161,692377,5016.514088100,0.692911400,0.858000,0.017000,0.534000,2.900000,-0.500000,9.300000
51204,702743358,711574,5016.533011000,0.711834300,0.838000,0.036000,0.541000,3.800000,-2.000000,9.800000
51205,702762525,730741,5016.553845500,0.732668800,0.825000,0.016000,0.559000,5.200000,-7.100000,9.900000
51206,702781844,750060,5016.571088100,0.749911400,0.866000,-0.015000,0.543000,7.400000,-14.600000,9.200000
51207,702801132,769348,5016.591005800,0.769829100,0.917000,-0.006000,0.451000,9.600000,-10.400000,-3.300000
51208,702820299,788515,5016.610079300,0.788902600,0.872000,0.071000,0.494000,0.400000,-7.900000,-2.900000
51209,702839527,807743,5016.629146200,0.807969500,0.862000,0.070000,0.490000,-2.300000,-10.000000,-4.500000
51210,702858754,826970,5016.648035200,0.826858500,0.892000,0.038000,0.499000,-5.500000,-9.500000,-2.900000
