meta_label,k
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
26826,2008407188,0,2027.761535500,0.000000000,0.880000,-0.245000,0.391000,3.500000,-4.800000,0.200000
26827,2008426324,19136,2027.781345200,0.019809700,0.883000,-0.273000,0.376000,4.100000,-8.600000,3.800000
26828,2008445521,38333,2027.800593700,0.039058200,0.928000,-0.239000,0.368000,6.300000,-8.100000,7.200000
26829,2008464840,57652,2027.819553300,0.058017800,0.921000,-0.245000,0.322000,1.900000,-7.200000,16.900000
26830,2008484037,76849,2027.838851300,0.077315800,0.860000,-0.336000,0.326000,-3.900000,-1.700000,12.000000
26831,2008503326,96138,2027.857553300,0.096017800,0.836000,-0.374000,0.358000,-2.900000,2.000000,-3.900000
26832,2008522615,115427,2027.877653700,0.116118200,0.833000,-0.358000,0.392000,-0.300000,1.100000,-12.900000
26833,2008541812,134624,2027.896422600,0.134887100,0.827000,-0.402000,0.398000,3.400000,-0.400000,-34.200000
26834,2008560978,153790,2027.918269800,0.156734300,0.828000,-0.449000,0.388000,9.000000,-3.500000,-52.200000
26835,2008580267,173079,2027.934562300,0.173026800,1.099000,0.016000,0.393000,-23.600000,-12.800000,-11.900000
26836,2008599434,192246,2027.957158000,0.195622500,0.903000,-0.093000,0.346000,0.700000,-3.900000,0.100000
26837,2008618600,211412,2027.974318900,0.212783400,0.953000,-0.244000,0.490000,15.900000,-23.200000,9.600000
26838,2008637889,230701,2027.992559300,0.231023800,0.870000,-0.261000,0.289000,24.500000,-41.000000,20.000000
26839,2008657208,250020,2028.011482700,0.249947200,0.900000,-0.255000,0.279000,17.400000,-19.100000,15.100000
26840,2008676375,269187,2028.030680400,0.269144900,0.885000,-0.290000,0.304000,1.000000,-6.700000,4.200000
26841,2008695602,288414,2028.050610900,0.289075400,0.912000,-0.325000,0.321000,-16.100000,-3.900000,-2.500000
26842,2008714830,307642,2028.069506500,0.307971000,0.931000,-0.316000,0.144000,-19.100000,22.200000,-22.000000
26843,2008734027,326839,2028.088700600,0.327165100,0.919000,-0.118000,0.453000,-31.600000,27.400000,-36.300000
26844,2008753315,346127,2028.107587600,0.346052100,0.869000,-0.231000,0.356000,-33.100000,18.200000,-21.200000
26845,2008772482,365294,2028.128683100,0.367147600,0.869000,-0.354000,0.380000,-5.000000,1.300000,-3.300000
26846,2008791649,384461,2028.146567900,0.385032400,0.911000,-0.300000,0.388000,11.600000,-0.900000,-3.800000
26847,2008810968,403780,2028.165511600,0.403976100,0.888000,-0.230000,0.411000,19.500000,-17.400000,18.900000
26848,2008830195,423007,2028.184769700,0.423234200,0.881000,-0.306000,0.197000,20.800000,-18.800000,13.800000
26849,2008849453,442265,2028.211415300,0.449879800,0.936000,-0.102000,0.366000,9.800000,-3.100000,-9.600000
26850,2008868620,461432,2028.223533900,0.461998400,0.904000,-0.187000,0.357000,-15.600000,-4.800000,2.400000
26851,2008887909,480721,2028.242631900,0.481096400,0.969000,-0.303000,0.403000,-24.500000,-8.800000,-5.400000
26852,2008907136,499948,2028.261559300,0.500023800,0.914000,-0.205000,0.218000,-21.700000,-21.800000,-10.600000
26853,2008926394,519206,2028.280594500,0.519059000,0.887000,-0.106000,0.361000,-5.600000,-9.200000,-7.400000
26854,2008945561,538373,2028.299544600,0.538009100,0.896000,-0.153000,0.289000,1.000000,-11.100000,7.700000
26855,2008964850,557662,2028.322263000,0.560727500,0.909000,-0.423000,0.272000,9.000000,5.600000,17.800000
26856,2008984016,576828,2028.338598700,0.577063200,1.004000,-0.142000,0.257000,-0.100000,21.700000,6.400000
26857,2009003244,596056,2028.360396800,0.598861300,0.938000,-0.040000,0.399000,-36.500000,29.500000,41.500000
26858,2009022471,615283,2028.376645300,0.615109800,0.906000,-0.280000,0.446000,-36.800000,20.700000,46.900000
26859,2009041668,634480,2028.396507500,0.634972000,0.804000,-0.456000,0.396000,-26.400000,-0.400000,37.100000
26860,2009061018,653830,2028.416102700,0.654567200,0.792000,-0.537000,0.366000,5.400000,-7.800000,12.200000
26861,2009080154,672966,2028.434567600,0.673032100,0.831000,-0.458000,0.317000,18.900000,-8.900000,-0.900000
26862,2009099412,692224,2028.453445500,0.691910000,0.908000,-0.300000,0.339000,19.800000,-3.200000,-2.400000
26863,2009118640,711452,2028.473609500,0.712074000,0.892000,-0.324000,0.341000,20.000000,-2.200000,-2.300000
26864,2009137928,730740,2028.492678400,0.731142900,0.923000,-0.256000,0.357000,21.400000,1.000000,-2.900000
26865,2009157126,749938,2028.514894200,0.753358700,0.910000,-0.221000,0.383000,16.100000,1.200000,3.600000
26866,2009176262,769074,2028.532382800,0.770847300,0.906000,-0.232000,0.373000,12.200000,2.900000,5.600000
26867,2009195581,788393,2028.549650700,0.788115200,0.887000,-0.249000,0.380000,4.900000,0.900000,6.700000
26868,2009214869,807681,2028.571377300,0.809841800,0.924000,-0.300000,0.322000,2.300000,4.100000,5.700000
26869,2009234036,826848,2028.588532200,0.826996700,0.908000,-0.279000,0.328000,-3.200000,10.700000,2.600000
26870,2009253264,846076,2028.607499400,0.845963900,0.889000,-0.324000,0.326000,-10.900000,15.300000,4.400000
26871,2009272491,865303,2028.628389900,0.866854400,0.861000,-0.371000,0.355000,-12.600000,16.100000,-0.900000
26872,2009291688,884500,2028.646543800,0.885008300,0.881000,-0.406000,0.320000,-4.900000,20.000000,-10.900000
26873,2009311007,903819,2028.670057400,0.908521900,0.871000,-0.377000,0.337000,4.800000,20.000000,-18.000000
