meta_label,N
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
62352,2459705715,0,2271.144917900,0.000000000,0.850000,-0.186000,0.514000,0.300000,-2.500000,-0.600000
62353,2459724942,19227,2271.165020600,0.020102700,0.851000,-0.175000,0.518000,0.900000,-1.300000,-1.800000
62354,2459744231,38516,2271.184065600,0.039147700,0.841000,-0.164000,0.522000,1.300000,-1.600000,-1.800000
62355,2459763520,57805,2271.202955900,0.058038000,0.835000,-0.158000,0.523000,0.700000,-2.100000,-0.700000
62356,2459782656,76941,2271.222002800,0.077084900,0.843000,-0.175000,0.529000,0.400000,-2.100000,-1.500000
62357,2459801883,96168,2271.247091800,0.102173900,0.837000,-0.176000,0.523000,-1.500000,-1.700000,-4.300000
62358,2459821172,115457,2271.260943200,0.116025300,0.817000,-0.184000,0.536000,-4.400000,-0.100000,-8.100000
62359,2459840339,134624,2271.280040200,0.135122300,0.799000,-0.250000,0.552000,-3.200000,0.000000,-19.300000
62360,2459859505,153790,2271.301211000,0.156293100,0.922000,-0.183000,0.509000,-5.600000,3.300000,-13.300000
62361,2459878824,173109,2271.318968700,0.174050800,0.836000,-0.107000,0.495000,-2.200000,0.800000,-7.900000
62362,2459898113,192398,2271.338150900,0.193233000,0.862000,-0.087000,0.539000,5.200000,-0.300000,-3.800000
62363,2459917279,211564,2271.357036000,0.212118100,0.833000,-0.104000,0.560000,11.200000,-11.800000,17.400000
62364,2459936507,230792,2271.378427300,0.233509400,0.869000,-0.237000,0.530000,18.500000,-26.500000,33.500000
62365,2459955735,250020,2271.395017600,0.250099700,0.841000,-0.189000,0.469000,18.900000,-17.500000,24.400000
62366,2459974962,269247,2271.418809900,0.273892000,0.849000,-0.066000,0.547000,-1.900000,-0.800000,-3.700000
62367,2459994251,288536,2271.434127600,0.289209700,0.851000,-0.207000,0.530000,-18.300000,-3.700000,-0.700000
62368,2460013387,307672,2271.452956800,0.308038900,0.841000,-0.296000,0.426000,-23.400000,-2.300000,-11.700000
62369,2460032676,326961,2271.472035200,0.327117300,0.843000,-0.110000,0.460000,-16.700000,31.800000,-54.300000
62370,2460051903,346188,2271.498127400,0.353209500,0.817000,-0.170000,0.628000,-32.100000,14.900000,-23.700000
62371,2460071192,365477,2271.511003700,0.366085800,0.842000,-0.087000,0.557000,-15.800000,2.400000,-22.900000
62372,2460090358,384643,2271.530060700,0.385142800,0.844000,-0.208000,0.474000,3.500000,1.700000,-2.100000
62373,2460109525,403810,2271.548937700,0.404019800,0.860000,-0.136000,0.534000,11.000000,-3.100000,4.300000
62374,2460128814,423099,2271.568127800,0.423209900,0.921000,-0.026000,0.498000,19.600000,-34.200000,22.200000
62375,2460148041,442326,2271.587929200,0.443011300,0.789000,-0.146000,0.454000,11.400000,-19.700000,18.400000
62376,2460167269,461554,2271.607126700,0.462208800,0.841000,-0.213000,0.552000,-0.700000,-14.000000,13.400000
62377,2460186466,480751,2271.626002100,0.481084200,0.820000,-0.228000,0.484000,-15.300000,-8.300000,4.400000
62378,2460205755,500040,2271.645035600,0.500117700,0.873000,-0.164000,0.542000,-27.100000,-6.700000,-4.100000
62379,2460224921,519206,2271.664182000,0.519264100,0.832000,-0.218000,0.349000,-26.400000,-0.400000,-24.600000
62380,2460244149,538434,2271.685277000,0.540359100,0.784000,-0.149000,0.486000,-38.000000,20.300000,-35.400000
62381,2460263437,557722,2271.706840200,0.561922300,0.891000,-0.257000,0.559000,-24.500000,15.600000,-18.500000
