meta_label,n
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
31532,2098903536,0,2118.241745700,0.000000000,0.846000,0.067000,0.523000,3.300000,-2.600000,5.400000
31533,2098922794,19258,2118.265067700,0.023322000,0.846000,0.054000,0.530000,3.700000,-5.000000,2.300000
31534,2098942021,38485,2118.280628800,0.038883100,0.888000,0.090000,0.492000,3.800000,-2.100000,9.500000
31535,2098961249,57713,2118.299678100,0.057932400,0.870000,0.059000,0.484000,-0.500000,-1.800000,8.700000
31536,2098980415,76879,2118.320046900,0.078301200,0.832000,0.037000,0.528000,-2.400000,-0.500000,0.700000
31537,2098999582,96046,2118.337600600,0.095854900,0.788000,0.010000,0.577000,-3.700000,-3.900000,-8.500000
31538,2099018901,115365,2118.357745200,0.115999500,0.760000,0.017000,0.629000,-1.100000,-13.700000,-19.300000
31539,2099038068,134532,2118.380723000,0.138977300,0.797000,-0.015000,0.622000,13.700000,-26.200000,-18.500000
31540,2099057417,153881,2118.395809400,0.154063700,1.055000,0.199000,0.335000,-0.800000,-36.100000,-21.300000
31541,2099076553,173017,2118.414722100,0.172976400,0.913000,0.214000,0.312000,-15.700000,-16.400000,8.600000
31542,2099095720,192184,2118.441013700,0.199268000,0.895000,0.023000,0.484000,-2.600000,7.100000,3.900000
31543,2099115009,211473,2118.453754000,0.212008300,0.917000,0.051000,0.580000,4.400000,-7.800000,7.500000
31544,2099134328,230792,2118.473041700,0.231296000,0.874000,0.121000,0.414000,13.800000,-16.700000,22.400000
31545,2099153555,250019,2118.493094800,0.251349100,0.836000,0.072000,0.406000,6.500000,-1.500000,-3.200000
31546,2099172753,269217,2118.511647000,0.269901300,0.869000,0.101000,0.528000,-19.600000,-4.500000,3.700000
31547,2099191950,288414,2118.530560800,0.288815100,0.877000,-0.243000,0.405000,-19.000000,0.000000,-29.900000
31548,2099211177,307641,2118.551261000,0.309515300,0.886000,0.230000,0.538000,-12.300000,-10.000000,-60.900000
31549,2099230435,326899,2118.568583200,0.326837500,0.859000,0.172000,0.436000,-19.000000,-3.500000,-27.200000
31550,2099249663,346127,2118.587551800,0.345806100,0.878000,0.134000,0.478000,-8.900000,-13.100000,-7.100000
31551,2099268891,365355,2118.607588100,0.365842400,0.905000,0.095000,0.558000,3.200000,-12.700000,5.100000
31552,2099288088,384552,2118.626606200,0.384860500,0.864000,0.108000,0.532000,7.500000,-10.000000,2.500000
31553,2099307376,403840,2118.652221800,0.410476100,0.846000,0.223000,0.464000,16.400000,-4.800000,1.800000
31554,2099326543,423007,2118.664681900,0.422936200,0.887000,0.087000,0.262000,14.200000,0.200000,33.600000
31555,2099345709,442173,2118.684078500,0.442332800,0.871000,0.012000,0.475000,2.200000,5.200000,27.000000
31556,2099365059,461523,2118.705001900,0.463256200,0.875000,-0.071000,0.500000,-4.600000,4.900000,0.800000
31557,2099384348,480812,2118.722542200,0.480796500,0.918000,0.046000,0.441000,-4.100000,14.900000,-29.400000
31558,2099403453,499917,2118.741648000,0.499902300,0.971000,0.279000,0.389000,-17.200000,25.100000,0.900000
31559,2099422681,519145,2118.760565600,0.518819900,0.876000,0.236000,0.517000,-20.700000,21.600000,21.000000
31560,2099441969,538433,2118.787371000,0.545625300,0.852000,0.041000,0.556000,-15.500000,15.700000,25.800000
31561,2099461197,557661,2118.799690300,0.557944600,0.821000,-0.064000,0.581000,-7.900000,11.200000,19.800000
31562,2099480455,576919,2118.818585300,0.576839600,0.810000,-0.094000,0.584000,-1.200000,1.800000,6.200000
31563,2099499683,596147,2118.837586600,0.595840900,0.821000,-0.016000,0.550000,3.600000,-2.900000,-5.400000
31564,2099518910,615374,2118.861472900,0.619727200,0.845000,0.060000,0.509000,3.300000,-4.800000,-10.100000
31565,2099538077,634541,2118.876563000,0.634817300,0.900000,0.125000,0.472000,1.300000,-2.700000,-6.400000
31566,2099557305,653769,2118.895757200,0.654011500,0.891000,0.120000,0.474000,-2.400000,0.200000,0.500000
31567,2099576532,672996,2118.914756800,0.673011100,0.908000,0.069000,0.466000,-4.700000,4.300000,0.400000
31568,2099595729,692193,2118.934942400,0.693196700,0.860000,0.082000,0.503000,-6.600000,7.200000,0.100000
31569,2099615079,711543,2118.953649700,0.711904000,0.845000,0.042000,0.523000,-9.400000,7.200000,0.900000
31570,2099634215,730679,2118.972663400,0.730917700,0.827000,0.028000,0.552000,-6.900000,6.400000,-3.700000
31571,2099653534,749998,2118.997239500,0.755493800,0.833000,0.011000,0.555000,-0.300000,0.400000,-5.800000
31572,2099672701,769165,2119.010685800,0.768940100,0.880000,0.000000,0.521000,3.700000,-0.200000,-9.300000
31573,2099691989,788453,2119.030658500,0.788912800,0.850000,0.060000,0.523000,5.200000,-1.100000,-7.900000
31574,2099711217,807681,2119.050787500,0.809041800,0.862000,0.073000,0.517000,8.900000,-2.100000,-7.000000
