meta_label,V
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
46203,2149160473,0,1960.654506900,0.000000000,0.883000,0.005000,0.466000,4.900000,-6.400000,-0.700000
46204,2149179700,19227,1960.673459500,0.018952600,0.909000,-0.017000,0.476000,9.600000,-2.800000,0.800000
46205,2149198897,38424,1960.693482900,0.038976000,0.900000,0.013000,0.472000,14.200000,0.100000,3.200000
46206,2149218216,57743,1960.714692800,0.060185900,0.853000,0.011000,0.488000,9.600000,-0.100000,2.700000
46207,2149237383,76910,1960.731704300,0.077197400,0.886000,0.019000,0.497000,6.400000,0.000000,-2.900000
46208,2149256641,96168,1960.750568800,0.096061900,0.854000,0.015000,0.495000,1.100000,2.400000,-5.100000
46209,2149275869,115396,1960.770527900,0.116021000,0.823000,-0.002000,0.524000,-2.700000,2.100000,-10.900000
46210,2149295127,134654,1960.789503400,0.134996500,0.815000,-0.067000,0.574000,-2.200000,-2.800000,-12.900000
46211,2149314293,153820,1960.811764900,0.157258000,0.813000,-0.096000,0.603000,2.700000,-17.300000,-22.900000
46212,2149333551,173078,1960.827635800,0.173128900,1.012000,0.093000,0.396000,-4.800000,-3.200000,-34.300000
46213,2149352810,192337,1960.847539900,0.193033000,0.920000,0.177000,0.437000,-22.100000,-8.900000,-9.200000
46214,2149371976,211503,1960.866538900,0.212032000,0.882000,0.088000,0.335000,-13.300000,-5.300000,-0.300000
46215,2149391265,230792,1960.885710000,0.231203100,0.899000,-0.014000,0.466000,0.000000,1.100000,2.000000
46216,2149410431,249958,1960.906832500,0.252325600,0.955000,0.164000,0.681000,-5.000000,-37.800000,42.000000
46217,2149429598,269125,1960.923532900,0.269026000,0.840000,0.028000,0.405000,-2.200000,-26.200000,34.500000
46218,2149448917,288444,1960.943607200,0.289100300,0.822000,-0.004000,0.473000,-9.300000,-0.900000,7.300000
46219,2149468145,307672,1960.964443900,0.309937000,0.885000,0.007000,0.543000,-25.200000,-2.600000,1.100000
46220,2149487372,326899,1960.981595200,0.327088300,0.915000,0.010000,0.469000,-40.300000,-11.300000,2.800000
46221,2149506691,346218,1961.001752900,0.347246000,0.907000,-0.163000,0.291000,-30.100000,-4.400000,-24.700000
46222,2149525858,365385,1961.020692600,0.366185700,0.825000,0.070000,0.486000,-39.300000,8.500000,-49.900000
46223,2149545055,384582,1961.039683600,0.385176700,0.893000,-0.011000,0.568000,-23.900000,1.700000,-10.200000
46224,2149564344,403871,1961.061136600,0.406629700,0.868000,-0.065000,0.513000,1.700000,-3.100000,-4.500000
46225,2149583510,423037,1961.077602000,0.423095100,0.882000,0.083000,0.434000,21.300000,-0.100000,-7.500000
46226,2149602768,442295,1961.097511500,0.443004600,0.880000,0.105000,0.447000,17.400000,2.600000,0.600000
46227,2149621996,461523,1961.116576600,0.462069700,0.883000,0.041000,0.483000,15.800000,2.200000,4.900000
46228,2149641285,480812,1961.135661100,0.481154200,0.929000,0.016000,0.462000,12.600000,2.700000,-3.500000
46229,2149660451,499978,1961.158440100,0.503933200,1.000000,0.196000,0.386000,-13.200000,12.000000,13.900000
46230,2149679618,519145,1961.173582600,0.519075700,0.943000,0.163000,0.415000,-32.100000,29.700000,28.400000
46231,2149698937,538464,1961.196955800,0.542448900,0.834000,-0.023000,0.545000,-39.300000,25.100000,28.900000
46232,2149718226,557753,1961.212470200,0.557963300,0.777000,-0.126000,0.609000,-32.000000,11.500000,23.200000
46233,2149737392,576919,1961.231550400,0.577043500,0.766000,-0.187000,0.625000,-20.600000,-0.400000,19.000000
46234,2149756620,596147,1961.250830100,0.596323200,0.802000,-0.220000,0.586000,-2.300000,-9.400000,11.700000
46235,2149775847,615374,1961.270573500,0.616066600,0.868000,-0.113000,0.504000,12.000000,-13.900000,3.100000
46236,2149795075,634602,1961.289935700,0.635428800,0.914000,-0.048000,0.443000,14.300000,-10.400000,0.300000
46237,2149814364,653891,1961.308569800,0.654062900,0.902000,0.004000,0.452000,11.100000,-2.700000,0.800000
46238,2149833500,673027,1961.327585200,0.673078300,0.879000,0.010000,0.491000,7.200000,-1.200000,2.500000
46239,2149852788,692315,1961.347820600,0.693313700,0.862000,-0.010000,0.510000,5.100000,-1.400000,3.300000
46240,2149871985,711512,1961.366811000,0.712304100,0.868000,-0.042000,0.511000,3.400000,-2.900000,0.300000
46241,2149891274,730801,1961.385584000,0.731077100,0.869000,-0.051000,0.486000,2.300000,-2.900000,-3.000000
46242,2149910471,749998,1961.407478400,0.752971500,0.874000,-0.041000,0.487000,1.600000,-3.300000,-3.600000
46243,2149929638,769165,1961.423479400,0.768972500,0.883000,-0.047000,0.473000,0.700000,-2.000000,-3.600000
