meta_label,v
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
42832,3576459811,0,3595.535137700,0.000000000,0.856000,0.099000,0.503000,0.800000,-3.600000,-5.200000
42833,3576479100,19289,3595.554768400,0.019630700,0.822000,0.088000,0.555000,1.400000,-2.900000,-8.800000
42834,3576498266,38455,3595.574074300,0.038936600,0.805000,0.077000,0.583000,6.700000,-9.400000,-8.000000
42835,3576517433,57622,3595.593029700,0.057892000,0.791000,0.086000,0.584000,13.300000,-13.600000,-8.300000
42836,3576536752,76941,3595.612089000,0.076951300,0.798000,0.087000,0.613000,14.600000,-19.600000,-13.900000
42837,3576556041,96230,3595.630947500,0.095809800,0.989000,0.186000,0.442000,-2.400000,-6.700000,-24.300000
42838,3576575207,115396,3595.650582500,0.115444800,0.915000,0.201000,0.506000,-11.100000,-10.900000,-8.800000
42839,3576594435,134624,3595.670118200,0.134980500,0.853000,0.155000,0.405000,-1.600000,-9.800000,0.200000
42840,3576613662,153851,3595.688950700,0.153813000,0.899000,0.146000,0.551000,10.100000,-7.500000,1.500000
42841,3576632829,173018,3595.713442400,0.178304700,0.925000,0.216000,0.483000,4.000000,-25.900000,21.600000
42842,3576652179,192368,3595.726991100,0.191853400,0.723000,0.151000,0.436000,0.500000,-18.400000,23.000000
42843,3576671345,211534,3595.747109200,0.211971500,0.877000,-0.023000,0.594000,-4.600000,3.400000,3.900000
42844,3576690603,230792,3595.770456000,0.235318300,0.850000,0.147000,0.546000,-11.900000,-8.100000,1.500000
42845,3576709831,250020,3595.785116200,0.249978500,0.855000,0.130000,0.477000,-19.600000,-8.500000,5.400000
42846,3576728967,269156,3595.804112900,0.268975200,0.881000,0.005000,0.469000,-23.700000,-5.500000,-20.700000
42847,3576748286,288475,3595.826090100,0.290952400,0.754000,-0.116000,0.452000,-20.100000,6.600000,-61.500000
42848,3576767453,307642,3595.843154700,0.308017000,0.865000,0.241000,0.498000,-10.400000,5.500000,-18.100000
42849,3576786741,326930,3595.862620300,0.327482600,0.852000,0.243000,0.428000,17.400000,10.500000,-0.300000
42850,3576805969,346158,3595.880925600,0.345787900,1.066000,0.362000,0.404000,2.200000,17.200000,30.300000
42851,3576825166,365355,3595.900224500,0.365086800,0.916000,0.209000,0.402000,-20.400000,44.200000,40.600000
42852,3576844394,384583,3595.920046600,0.384908900,0.811000,0.173000,0.546000,-21.700000,34.500000,32.000000
42853,3576863621,403810,3595.938905400,0.403767700,0.793000,-0.024000,0.582000,-36.900000,14.400000,28.700000
42854,3576882818,423007,3595.957938500,0.422800800,0.715000,-0.013000,0.668000,-31.200000,20.600000,12.100000
42855,3576902198,442387,3595.976978800,0.441841100,0.705000,-0.094000,0.720000,-17.100000,9.400000,10.400000
42856,3576921334,461523,3595.998011000,0.462873300,0.725000,-0.107000,0.708000,4.900000,-4.000000,3.800000
42857,3576940532,480721,3596.019849100,0.484711400,0.775000,-0.032000,0.626000,18.900000,-5.800000,-4.100000
42858,3576959820,500009,3596.035070400,0.499932700,0.869000,0.071000,0.545000,23.100000,-3.600000,-5.700000
42859,3576979109,519298,3596.053980500,0.518842800,0.880000,0.166000,0.495000,15.700000,-5.500000,-0.600000
42860,3576998306,538495,3596.072927700,0.537790000,0.874000,0.166000,0.515000,8.200000,-7.700000,7.300000
42861,3577017472,557661,3596.092940100,0.557802400,0.890000,0.101000,0.510000,-1.800000,0.700000,4.400000
42862,3577036761,576950,3596.113131300,0.577993600,0.841000,0.084000,0.556000,-5.900000,0.700000,6.600000
42863,3577055928,596117,3596.130938900,0.595801200,0.817000,0.044000,0.588000,-5.900000,-0.500000,5.700000
42864,3577075094,615283,3596.150053600,0.614915900,0.812000,0.037000,0.588000,-2.800000,-4.200000,5.600000
42865,3577094383,634572,3596.169927600,0.634789900,0.809000,0.049000,0.582000,-1.800000,-6.500000,3.000000
42866,3577113610,653799,3596.189075500,0.653937800,0.842000,0.038000,0.553000,-0.700000,-8.100000,1.300000
42867,3577132869,673058,3596.208275300,0.673137600,0.875000,0.050000,0.529000,1.200000,-3.800000,0.500000
