meta_label,v
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
56509,1550820321,0,2991.636023600,0.000000000,0.838000,-0.139000,0.536000,4.100000,-4.300000,-5.800000
56510,1550839609,19288,2991.654971500,0.018947900,0.865000,-0.081000,0.526000,4.500000,-2.700000,-2.800000
56511,1550858776,38455,2991.674781700,0.038758100,0.853000,-0.084000,0.519000,0.300000,-0.300000,-0.200000
56512,1550878003,57682,2991.693008400,0.056984800,0.827000,-0.133000,0.538000,-3.400000,1.100000,-6.300000
56513,1550897231,76910,2991.712920100,0.076896500,0.798000,-0.189000,0.575000,-3.500000,-3.700000,-14.000000
56514,1550916428,96107,2991.731941500,0.095917900,0.862000,-0.203000,0.528000,-6.400000,1.700000,-21.500000
56515,1550935747,115426,2991.755501800,0.119478200,0.855000,-0.090000,0.496000,-11.500000,-0.300000,-15.700000
56516,1550954975,134654,2991.770185100,0.134161500,0.866000,-0.051000,0.524000,-7.400000,-8.100000,-11.900000
56517,1550974233,153912,2991.790317100,0.154293500,0.851000,-0.080000,0.497000,0.200000,-2.900000,-7.000000
56518,1550993400,173079,2991.811037300,0.175013700,0.868000,-0.080000,0.552000,7.200000,-1.400000,-5.100000
56519,1551012688,192367,2991.829526900,0.193503300,0.902000,0.021000,0.552000,3.500000,-29.500000,13.800000
56520,1551031855,211534,2991.847136600,0.211113000,0.806000,-0.033000,0.569000,0.300000,-18.700000,23.000000
56521,1551051021,230700,2991.866116100,0.230092500,0.827000,-0.150000,0.465000,-10.500000,-12.400000,12.500000
56522,1551070340,250019,2991.885999600,0.249976000,0.825000,-0.129000,0.569000,-16.700000,-10.300000,3.600000
56523,1551089599,269278,2991.910924600,0.274901000,0.877000,-0.178000,0.508000,-29.900000,-10.800000,-4.800000
56524,1551108796,288475,2991.923967000,0.287943400,0.823000,-0.163000,0.429000,-29.800000,8.100000,-33.800000
56525,1551128023,307702,2991.942875900,0.306852300,0.862000,-0.112000,0.560000,-34.200000,15.000000,-15.100000
56526,1551147251,326930,2991.969234500,0.333210900,0.845000,-0.114000,0.518000,-7.600000,1.900000,0.900000
56527,1551166417,346096,2991.982093100,0.346069500,0.846000,-0.066000,0.489000,16.300000,5.100000,14.000000
56528,1551185645,365324,2992.001713600,0.365690000,0.894000,-0.096000,0.566000,14.000000,-3.000000,28.700000
56529,1551204934,384613,2992.023008600,0.386985000,0.921000,-0.114000,0.453000,1.000000,11.700000,24.200000
56530,1551224192,403871,2992.040033700,0.404010100,0.820000,-0.088000,0.518000,-10.000000,12.000000,18.900000
56531,1551243389,423068,2992.063258100,0.427234500,0.815000,-0.164000,0.559000,-17.900000,13.300000,13.100000
56532,1551262586,442265,2992.078093700,0.442070100,0.781000,-0.218000,0.594000,-15.300000,7.300000,9.700000
56533,1551281844,461523,2992.097065200,0.461041600,0.785000,-0.250000,0.588000,-3.100000,-1.100000,5.900000
56534,1551301041,480720,2992.119147900,0.483124300,0.820000,-0.205000,0.561000,5.900000,-5.000000,0.400000
56535,1551320330,500009,2992.136126500,0.500102900,0.853000,-0.138000,0.525000,7.900000,-3.900000,-0.700000
56536,1551339557,519236,2992.155034900,0.519011300,0.857000,-0.102000,0.526000,4.000000,-1.700000,0.600000
56537,1551358785,538464,2992.174180700,0.538157100,0.846000,-0.117000,0.531000,-0.400000,-0.900000,5.500000
56538,1551377982,557661,2992.193032900,0.557009300,0.865000,-0.121000,0.528000,0.100000,-1.700000,7.100000
56539,1551397271,576950,2992.213216300,0.577192700,0.836000,-0.145000,0.543000,-2.500000,0.000000,8.300000
56540,1551416437,596116,2992.232097600,0.596074000,0.821000,-0.176000,0.550000,-1.900000,-1.100000,7.100000
56541,1551435665,615344,2992.253381400,0.617357800,0.821000,-0.189000,0.552000,0.000000,-3.500000,5.500000
