meta_label,Y
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
62331,3951425632,0,3970.433775900,0.000000000,0.832000,-0.264000,0.481000,5.900000,-11.800000,1.300000
62332,3951444798,19166,3970.453844700,0.020068800,0.840000,-0.268000,0.458000,6.300000,-14.600000,6.900000
62333,3951464026,38394,3970.472670000,0.038894100,0.862000,-0.308000,0.417000,4.200000,-9.800000,3.000000
62334,3951483253,57621,3970.495303000,0.061527100,0.823000,-0.336000,0.434000,-3.800000,-2.700000,-6.000000
62335,3951502450,76818,3970.510956700,0.077180800,0.789000,-0.402000,0.442000,-5.300000,2.800000,-22.800000
62336,3951521770,96138,3970.530885600,0.097109700,0.994000,-0.294000,0.409000,-2.400000,1.800000,-33.300000
62337,3951541058,115426,3970.549917900,0.116142000,0.877000,-0.203000,0.529000,-13.200000,-1.600000,-13.300000
62338,3951560255,134623,3970.568761500,0.134985600,0.875000,-0.164000,0.430000,-1.800000,-7.000000,-1.300000
62339,3951579422,153790,3970.587931000,0.154155100,0.852000,-0.169000,0.521000,6.200000,-15.300000,7.500000
62340,3951598711,173079,3970.610906200,0.177130300,0.980000,-0.306000,0.458000,7.500000,-10.900000,6.000000
62341,3951617877,192245,3970.626839100,0.193063200,0.779000,-0.289000,0.402000,-10.800000,-52.900000,8.200000
62342,3951637044,211412,3970.647885000,0.214109100,0.837000,-0.341000,0.301000,-13.400000,-8.100000,-3.300000
62343,3951656332,230700,3970.664851600,0.231075700,0.898000,-0.383000,0.395000,-19.800000,4.000000,-15.400000
62344,3951675560,249928,3970.683823400,0.250047500,0.854000,-0.197000,0.391000,-17.100000,9.900000,-13.800000
62345,3951694788,269156,3970.703897300,0.270121400,0.845000,-0.253000,0.415000,-1.200000,28.800000,-20.000000
62346,3951713985,288353,3970.725939500,0.292163600,0.880000,-0.323000,0.434000,17.300000,17.300000,6.700000
62347,3951733243,307611,3970.741689500,0.307913600,0.866000,-0.282000,0.560000,18.400000,0.500000,17.200000
62348,3951752440,326808,3970.760963500,0.327187600,0.733000,-0.363000,0.500000,15.000000,-6.700000,16.100000
62349,3951771667,346035,3970.780656800,0.346880900,0.900000,-0.320000,0.467000,20.400000,-20.700000,0.000000
62350,3951790956,365324,3970.799798300,0.366022400,0.839000,-0.056000,0.578000,-6.600000,-11.800000,3.600000
62351,3951810214,384582,3970.819768300,0.385992400,0.877000,-0.183000,0.502000,-12.700000,-23.200000,14.500000
62352,3951829411,403779,3970.843702500,0.409926600,0.891000,-0.367000,0.364000,-3.100000,-37.700000,31.100000
62353,3951848700,423068,3970.856853900,0.423078000,0.879000,-0.436000,0.253000,12.700000,-30.700000,23.200000
62354,3951867897,442265,3970.876746000,0.442970100,0.867000,-0.433000,0.209000,22.400000,5.900000,-2.800000
62355,3951887064,461432,3970.898123800,0.464347900,0.856000,-0.339000,0.367000,12.000000,24.900000,-16.500000
62356,3951906352,480720,3970.914875000,0.481099100,0.951000,-0.127000,0.469000,-9.900000,37.600000,-2.300000
62357,3951925580,499948,3970.934392400,0.500616500,0.869000,-0.100000,0.568000,-28.000000,19.800000,20.600000
62358,3951944777,519145,3970.957127900,0.523352000,0.771000,-0.191000,0.604000,-28.000000,-10.200000,24.800000
62359,3951964004,538372,3970.972894200,0.539118300,0.882000,-0.329000,0.415000,-25.100000,-15.500000,26.900000
62360,3951983293,557661,3970.994476600,0.560700700,0.841000,-0.460000,0.363000,-22.200000,-6.600000,24.900000
62361,3952002460,576828,3971.010797600,0.577021700,0.798000,-0.507000,0.377000,-8.100000,-2.700000,8.100000
62362,3952021687,596055,3971.029793600,0.596017700,0.819000,-0.445000,0.385000,5.200000,-1.100000,-2.100000
62363,3952040915,615283,3971.053281500,0.619505600,0.825000,-0.345000,0.435000,14.800000,1.100000,-5.500000
62364,3952060112,634480,3971.068727000,0.634951100,0.858000,-0.288000,0.449000,18.800000,-4.000000,-2.400000
62365,3952079431,653799,3971.087843600,0.654067700,0.882000,-0.253000,0.417000,12.800000,-2.100000,0.300000
62366,3952098720,673088,3971.109277300,0.675501400,0.879000,-0.269000,0.441000,5.700000,2.000000,5.100000
62367,3952117917,692285,3971.126746100,0.692970200,0.875000,-0.316000,0.417000,1.300000,0.200000,7.700000
62368,3952137083,711451,3971.145824000,0.712048100,0.850000,-0.350000,0.416000,0.900000,3.400000,6.000000
62369,3952156372,730740,3971.166556200,0.732780300,0.815000,-0.367000,0.465000,1.400000,0.000000,2.200000
