meta_label,y
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
16595,1579798641,0,1391.393570800,0.000000000,0.895000,-0.134000,0.416000,0.100000,1.700000,-0.600000
16596,1579817960,19319,1391.412474900,0.018904100,0.890000,-0.150000,0.419000,1.300000,-1.200000,0.500000
16597,1579837096,38455,1391.431627300,0.038056500,0.911000,-0.148000,0.410000,1.600000,-3.500000,-2.200000
16598,1579856293,57652,1391.450566600,0.056995800,0.923000,-0.114000,0.381000,0.000000,0.300000,0.100000
16599,1579875582,76941,1391.478021900,0.084451100,0.907000,-0.124000,0.402000,-0.900000,1.000000,-0.700000
16600,1579894901,96260,1391.489652000,0.096081200,0.897000,-0.156000,0.423000,-1.600000,0.500000,-2.100000
16601,1579914068,115427,1391.509596000,0.116025200,0.873000,-0.168000,0.432000,-0.300000,-2.300000,-4.200000
16602,1579933234,134593,1391.530266400,0.136695600,0.853000,-0.228000,0.441000,0.400000,-4.800000,-8.900000
16603,1579952523,153882,1391.546611200,0.153040400,0.810000,-0.341000,0.496000,6.400000,-12.200000,-25.700000
16604,1579971690,173049,1391.569526000,0.175955200,1.060000,-0.135000,0.268000,0.800000,-15.200000,-46.900000
16605,1579990856,192215,1391.585639000,0.192068200,0.936000,0.082000,0.395000,-19.400000,-8.300000,-23.800000
16606,1580010175,211534,1391.604593400,0.211022600,0.904000,0.037000,0.281000,-7.000000,2.400000,-6.200000
16607,1580029464,230823,1391.627235500,0.233664700,0.942000,-0.069000,0.454000,-4.700000,-3.500000,-3.800000
16608,1580048631,249990,1391.648956500,0.255385700,0.920000,-0.038000,0.431000,-6.700000,-23.500000,-11.100000
16609,1580067919,269278,1391.662651700,0.269080900,0.903000,-0.087000,0.390000,-4.800000,-1.700000,0.500000
16610,1580087086,288445,1391.681740900,0.288170100,0.915000,0.009000,0.340000,1.700000,-4.000000,16.200000
16611,1580106313,307672,1391.700480400,0.306909600,0.916000,-0.046000,0.389000,0.500000,-7.500000,16.500000
16612,1580125602,326961,1391.721752800,0.328182000,0.918000,-0.146000,0.297000,-5.500000,12.400000,6.200000
16613,1580144738,346097,1391.739729300,0.346158500,0.874000,-0.188000,0.436000,-20.700000,30.500000,1.200000
16614,1580163935,365294,1391.759573800,0.366003000,0.763000,-0.317000,0.589000,-10.500000,3.800000,-16.800000
16615,1580183224,384583,1391.777704000,0.384133200,1.032000,-0.196000,0.421000,1.100000,-20.400000,-28.900000
16616,1580202543,403902,1391.796631300,0.403060500,0.914000,0.018000,0.341000,-4.000000,-9.300000,-12.200000
16617,1580221709,423068,1391.822255100,0.428684300,0.916000,-0.033000,0.340000,2.500000,-3.600000,-4.000000
16618,1580240876,442235,1391.835442200,0.441871400,0.904000,0.047000,0.617000,-1.700000,-27.900000,27.600000
16619,1580260165,461524,1391.854651700,0.461080900,0.931000,-0.150000,0.337000,20.900000,-42.500000,27.200000
16620,1580279392,480751,1391.873626500,0.480055700,0.927000,-0.020000,0.329000,25.500000,-42.000000,45.000000
16621,1580298620,499979,1391.893684900,0.500114100,0.912000,-0.170000,0.168000,22.400000,-18.100000,28.900000
16622,1580317817,519176,1391.912430600,0.518859800,0.924000,-0.176000,0.332000,-1.400000,-6.100000,2.800000
16623,1580337106,538465,1391.932292500,0.538721700,0.927000,-0.188000,0.364000,-11.800000,9.000000,-2.700000
16624,1580356272,557631,1391.950556600,0.556985800,0.921000,-0.184000,0.303000,-0.700000,17.100000,-12.600000
