meta_label,y
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
49982,2453697010,0,2472.972517400,0.000000000,0.769000,0.348000,0.558000,11.700000,-7.800000,6.400000
49983,2453716207,19197,2472.995094300,0.022576900,0.798000,0.335000,0.549000,1.200000,-10.100000,8.800000
49984,2453735495,38485,2473.010524900,0.038007500,0.800000,0.302000,0.540000,-4.500000,-13.500000,2.200000
49985,2453754692,57682,2473.029482900,0.056965500,0.785000,0.297000,0.546000,-25.300000,-10.700000,-1.900000
49986,2453774012,77002,2473.049530000,0.077012600,0.872000,0.344000,0.669000,-25.800000,-11.200000,3.500000
49987,2453793148,96138,2473.068710300,0.096192900,0.967000,0.318000,0.773000,-109.400000,-35.400000,11.900000
49988,2453812345,115335,2473.092114200,0.119596800,0.913000,0.114000,0.744000,-104.200000,-42.300000,0.300000
49989,2453831633,134623,2473.106627500,0.134110100,0.819000,0.080000,0.692000,-46.100000,-32.700000,-41.400000
49990,2453850861,153851,2473.125725700,0.153208300,0.653000,0.390000,0.639000,-36.000000,-28.600000,-64.900000
49991,2453870119,173109,2473.148585300,0.176067900,0.639000,0.602000,0.490000,-47.100000,-24.900000,-14.300000
49992,2453889286,192276,2473.164579100,0.192061700,0.566000,0.515000,0.231000,-60.900000,-16.500000,7.100000
49993,2453908574,211564,2473.183644700,0.211127300,0.503000,0.354000,0.213000,-61.200000,-8.100000,11.200000
49994,2453927802,230792,2473.205496100,0.232978700,0.388000,0.350000,0.420000,-64.200000,-17.200000,27.600000
49995,2453947029,250019,2473.222703100,0.250185700,0.579000,0.244000,0.589000,-54.000000,-31.700000,55.000000
49996,2453966227,269217,2473.247378200,0.274860800,1.007000,-0.036000,1.062000,-23.200000,-62.600000,49.200000
49997,2453985515,288505,2473.260706500,0.288189100,1.615000,0.091000,0.583000,30.100000,-71.700000,-0.200000
49998,2454004682,307672,2473.279602900,0.307085500,0.826000,0.482000,0.208000,0.300000,-19.400000,-5.700000
49999,2454023909,326899,2473.312452000,0.339934600,0.650000,0.149000,0.433000,-16.900000,0.800000,26.200000
50000,2454043137,346127,2473.318803900,0.346286500,0.928000,0.178000,0.542000,5.000000,-29.800000,2.600000
50001,2454062334,365324,2473.337480100,0.364962700,0.944000,0.268000,0.447000,2.000000,-19.000000,-4.000000
50002,2454081623,384613,2473.358878900,0.386361500,0.827000,0.183000,0.534000,-12.000000,-8.700000,-2.200000
50003,2454100881,403871,2473.375571400,0.403054000,0.805000,0.172000,0.557000,-7.800000,-19.400000,-17.800000
50004,2454120139,423129,2473.395686500,0.423169100,0.844000,0.261000,0.484000,1.800000,-18.600000,-5.700000
50005,2454139305,442295,2473.414704600,0.442187200,0.852000,0.288000,0.512000,-1.900000,-10.100000,5.300000
50006,2454158594,461584,2473.438224800,0.465707400,0.826000,0.212000,0.488000,-1.200000,-10.300000,5.200000
50007,2454177700,480690,2473.452595300,0.480077900,0.848000,0.192000,0.478000,-1.200000,-12.000000,-0.200000
50008,2454196927,499917,2473.472694700,0.500177300,0.831000,0.205000,0.505000,-1.500000,-13.300000,-6.600000
50009,2454216246,519236,2473.495335100,0.522817700,0.784000,0.186000,0.566000,3.000000,-18.600000,-6.700000
50010,2454235535,538525,2473.510539000,0.538021600,0.998000,0.226000,0.468000,-2.300000,-13.900000,-13.300000
50011,2454254702,557692,2473.529820200,0.557302800,0.895000,0.299000,0.440000,-14.600000,-13.900000,-7.900000
50012,2454273929,576919,2473.548713100,0.576195700,0.865000,0.169000,0.376000,-12.300000,-12.500000,-0.800000
50013,2454293157,596147,2473.568638200,0.596120800,0.869000,0.178000,0.442000,4.700000,-7.500000,-7.500000
50014,2454312354,615344,2473.589406200,0.616888800,0.942000,0.401000,0.495000,8.600000,-11.700000,-1.100000
50015,2454331673,634663,2473.606604700,0.634087300,0.861000,0.353000,0.255000,-1.000000,-9.600000,23.100000
50016,2454350809,653799,2473.625595000,0.653077600,0.799000,0.270000,0.316000,-5.800000,9.100000,31.600000
50017,2454369976,672966,2473.651607300,0.679089900,0.857000,0.114000,0.530000,-16.600000,8.900000,6.500000
50018,2454389325,692315,2473.664672200,0.692154800,0.825000,0.010000,0.601000,-17.400000,2.500000,-37.500000
50019,2454408461,711451,2473.684330100,0.711812700,0.834000,0.161000,0.629000,-13.800000,-9.600000,-26.600000
50020,2454427780,730770,2473.703625100,0.731107700,0.886000,0.283000,0.477000,-7.900000,-14.700000,-14.400000
50021,2454446947,749937,2473.721714100,0.749196700,0.862000,0.223000,0.441000,-1.200000,-10.200000,-1.400000
50022,2454466266,769256,2473.741514600,0.768997200,0.881000,0.363000,0.479000,11.900000,-8.000000,7.700000
50023,2454485555,788545,2473.760725100,0.788207700,0.819000,0.203000,0.448000,14.300000,-0.500000,51.900000
50024,2454504721,807711,2473.779719100,0.807201700,0.893000,0.293000,0.371000,16.600000,12.500000,65.000000
50025,2454523949,826939,2473.801252500,0.828735100,0.846000,-0.016000,0.335000,15.200000,19.900000,51.600000
50026,2454543177,846167,2473.818680900,0.846163500,0.899000,0.105000,0.492000,8.700000,7.600000,-16.100000
50027,2454562313,865303,2473.840928100,0.868410700,0.919000,0.146000,0.426000,-18.600000,4.000000,-18.800000
50028,2454581510,884500,2473.860476300,0.887958900,1.016000,0.372000,0.353000,-24.000000,23.300000,-41.300000
