meta_label,Z
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
63650,3744923546,0,3556.136504000,0.000000000,0.837000,0.044000,0.574000,3.000000,-13.000000,1.200000
63651,3744942835,19289,3556.156282000,0.019778000,0.871000,0.077000,0.530000,3.800000,-9.300000,4.100000
63652,3744962002,38456,3556.178559500,0.042055500,0.868000,0.076000,0.525000,1.900000,-4.400000,2.600000
63653,3744981229,57683,3556.194396100,0.057892100,0.854000,0.070000,0.539000,-1.900000,-2.600000,0.900000
63654,3745000518,76972,3556.213944500,0.077440500,0.804000,0.034000,0.603000,-1.300000,-4.300000,1.300000
63655,3745019684,96138,3556.232252400,0.095748400,0.773000,0.040000,0.617000,1.400000,-9.300000,2.000000
63656,3745038942,115396,3556.251380400,0.114876400,0.747000,-0.020000,0.639000,6.200000,-17.200000,1.200000
63657,3745058170,134624,3556.271938900,0.135434900,0.823000,-0.139000,0.635000,20.800000,-32.200000,-3.200000
63658,3745077459,153913,3556.290388800,0.153884800,0.918000,0.110000,0.476000,11.900000,2.500000,-21.700000
63659,3745096625,173079,3556.309405300,0.172901300,0.950000,0.117000,0.462000,-1.000000,-13.000000,-23.400000
63660,3745115853,192307,3556.329047900,0.192543900,0.848000,0.197000,0.344000,-19.100000,-5.300000,-14.600000
63661,3745135111,211565,3556.347276700,0.210772700,0.955000,0.134000,0.571000,-14.600000,-1.000000,-13.900000
63662,3745154400,230854,3556.367419400,0.230915400,0.830000,0.245000,0.482000,-11.000000,-13.400000,-17.900000
63663,3745173566,250020,3556.386368600,0.249864600,0.822000,0.091000,0.546000,-3.000000,-4.900000,5.000000
63664,3745192855,269309,3556.405311500,0.268807500,0.778000,-0.068000,0.702000,3.500000,-5.100000,17.800000
63665,3745212021,288475,3556.428902900,0.292398900,0.803000,-0.030000,0.649000,11.100000,-10.400000,18.100000
63666,3745231188,307642,3556.444477900,0.307973900,0.815000,0.064000,0.447000,5.500000,-6.200000,20.600000
63667,3745250477,326931,3556.463442800,0.326938800,0.895000,0.067000,0.383000,8.100000,-5.200000,14.000000
63668,3745269704,346158,3556.482258900,0.345754900,0.972000,0.206000,0.490000,0.100000,-0.800000,16.000000
63669,3745288962,365416,3556.501392200,0.364888200,0.814000,0.052000,0.569000,-18.700000,-7.000000,28.200000
63670,3745308159,384613,3556.521780900,0.385276900,0.841000,-0.052000,0.482000,-9.300000,-19.600000,3.900000
63671,3745327479,403933,3556.540343100,0.403839100,0.804000,0.035000,0.614000,-6.200000,-4.600000,-16.500000
63672,3745346645,423099,3556.559531600,0.423027600,0.826000,0.105000,0.544000,-5.200000,1.800000,3.600000
63673,3745365812,442266,3556.582216300,0.445712300,0.873000,0.072000,0.476000,4.900000,-0.100000,8.100000
63674,3745385100,461554,3556.597218000,0.460714000,0.927000,0.075000,0.439000,4.400000,12.700000,-4.100000
63675,3745404358,480812,3556.617594100,0.481090100,0.899000,0.110000,0.476000,-24.500000,31.900000,7.000000
63676,3745423556,500010,3556.636211700,0.499707700,0.720000,-0.037000,0.659000,-24.900000,28.700000,10.000000
63677,3745442722,519176,3556.655220300,0.518716300,0.638000,-0.135000,0.779000,-1.400000,3.000000,1.700000
63678,3745462041,538495,3556.674400700,0.537896700,0.674000,-0.144000,0.748000,30.100000,-35.700000,-4.000000
63679,3745481208,557662,3556.693378200,0.556874200,1.006000,-0.074000,0.335000,9.000000,-2.900000,-23.200000
63680,3745500496,576950,3556.713362400,0.576858400,0.884000,0.133000,0.536000,-14.300000,-6.700000,-11.200000
63681,3745519663,596117,3556.732401300,0.595897300,0.856000,0.114000,0.365000,-18.500000,-15.000000,-4.100000
63682,3745538891,615345,3556.751619500,0.615115500,0.874000,0.017000,0.470000,-15.700000,-6.000000,-7.800000
63683,3745558179,634633,3556.770255500,0.633751500,0.956000,0.085000,0.503000,-12.800000,-10.600000,-15.900000
63684,3745577498,653952,3556.790381700,0.653877700,0.854000,0.226000,0.360000,-7.200000,-9.500000,-25.000000
63685,3745596665,673119,3556.809395200,0.672891200,0.826000,0.219000,0.571000,-0.700000,-3.600000,5.900000
