meta_label,z
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
55741,43928057,0,63.631991000,0.000000000,0.855000,-0.034000,0.539000,-1.300000,-1.800000,-5.900000
55742,43947224,19167,63.651135900,0.019144900,0.842000,-0.079000,0.550000,-1.600000,-2.800000,-5.300000
55743,43966390,38333,63.670085200,0.038094200,0.784000,-0.179000,0.583000,6.100000,-4.300000,-6.900000
55744,43985679,57622,63.689942000,0.057951000,0.891000,-0.186000,0.517000,17.000000,-10.900000,-14.800000
55745,44004998,76941,63.711779500,0.079788500,0.916000,0.113000,0.513000,9.900000,2.800000,-22.600000
55746,44024226,96169,63.728073900,0.096082900,0.888000,0.094000,0.468000,-7.500000,3.800000,-10.800000
55747,44043362,115305,63.747096100,0.115105100,0.879000,-0.007000,0.492000,-19.100000,-3.100000,-3.000000
55748,44062681,134624,63.773311600,0.141320600,0.883000,0.109000,0.496000,-8.200000,-5.900000,-23.200000
55749,44081848,153791,63.786117500,0.154126500,0.835000,-0.065000,0.505000,-5.600000,-5.300000,1.500000
55750,44101136,173079,63.805089100,0.173098100,0.875000,-0.168000,0.547000,4.600000,-5.700000,3.900000
55751,44120364,192307,63.825400500,0.193409500,0.801000,-0.069000,0.593000,13.500000,-3.800000,4.900000
55752,44139561,211504,63.844164600,0.212173600,0.828000,-0.071000,0.597000,13.300000,-13.300000,20.200000
55753,44158788,230731,63.863169700,0.231178700,0.877000,0.026000,0.499000,11.100000,-10.500000,16.500000
55754,44178077,250020,63.882802000,0.250811000,0.889000,-0.007000,0.399000,5.400000,-1.400000,-7.400000
55755,44197244,269187,63.901312400,0.269321400,0.864000,-0.009000,0.647000,-14.300000,0.000000,6.600000
55756,44216410,288353,63.925376500,0.293385500,0.765000,-0.030000,0.414000,-12.500000,-18.700000,3.100000
55757,44235729,307672,63.940228500,0.308237500,0.928000,-0.156000,0.526000,-6.000000,-3.000000,1.700000
55758,44254926,326869,63.962180100,0.330189100,0.780000,0.039000,0.458000,-2.500000,-0.900000,-4.400000
55759,44274215,346158,63.978037400,0.346046400,0.874000,-0.055000,0.563000,-2.200000,2.200000,9.000000
55760,44293412,365355,63.997618300,0.365627300,0.893000,-0.067000,0.469000,2.300000,-6.200000,5.000000
55761,44312640,384583,64.017102200,0.385111200,0.921000,-0.022000,0.407000,-13.900000,0.100000,3.600000
55762,44331867,403810,64.036101500,0.404110500,0.809000,-0.009000,0.553000,-28.000000,20.100000,1.700000
55763,44351156,423099,64.063725400,0.431734400,0.744000,-0.128000,0.648000,-25.000000,18.100000,3.300000
55764,44370323,442266,64.073940700,0.441949700,0.701000,-0.199000,0.716000,-5.100000,-3.900000,-0.500000
55765,44389489,461432,64.092958900,0.460967900,0.718000,-0.371000,0.658000,25.000000,-25.200000,-19.300000
55766,44408778,480721,64.123667400,0.491676400,1.079000,0.054000,0.386000,-0.100000,1.900000,-19.800000
55767,44428097,500040,64.131970900,0.499979900,0.869000,0.198000,0.464000,-18.800000,4.300000,-9.000000
55768,44447263,519206,64.152264900,0.520273900,0.879000,-0.156000,0.432000,-16.000000,-10.200000,-0.800000
55769,44466430,538373,64.171843600,0.539852600,0.935000,-0.093000,0.415000,-3.200000,-3.000000,-19.300000
55770,44485719,557662,64.189988400,0.557997400,0.934000,0.216000,0.493000,7.300000,-12.100000,-29.000000
55771,44504916,576859,64.212015900,0.580024900,0.824000,0.206000,0.471000,-4.900000,-5.600000,11.100000
55772,44524204,596147,64.228020400,0.596029400,0.788000,-0.170000,0.597000,4.200000,-9.900000,23.600000
55773,44543371,615314,64.249628500,0.617637500,0.832000,-0.314000,0.542000,5.000000,-4.600000,9.400000
55774,44562568,634511,64.266031300,0.634040300,0.992000,0.064000,0.404000,-24.100000,12.900000,-5.700000
55775,44581887,653830,64.286744400,0.654753400,0.912000,0.152000,0.450000,-46.500000,34.300000,16.200000
55776,44601023,672966,64.307132600,0.675141600,0.848000,0.008000,0.587000,-36.500000,21.000000,25.200000
55777,44620342,692285,64.324097900,0.692106900,0.753000,-0.260000,0.621000,-23.100000,0.500000,23.600000
55778,44639509,711452,64.347552500,0.715561500,0.746000,-0.340000,0.606000,-0.200000,-11.900000,4.300000
55779,44658798,730741,64.363175300,0.731184300,0.825000,-0.215000,0.534000,16.400000,-6.300000,-7.000000
55780,44677995,749938,64.382224400,0.750233400,0.848000,-0.044000,0.542000,14.400000,-1.400000,-4.900000
55781,44697222,769165,64.401054100,0.769063100,0.865000,-0.008000,0.539000,12.000000,-4.400000,1.400000
55782,44716419,788362,64.419959800,0.787968800,0.868000,-0.073000,0.518000,11.000000,-6.900000,6.300000
55783,44735647,807590,64.439038900,0.807047900,0.849000,-0.103000,0.509000,10.700000,-5.500000,4.800000
55784,44754905,826848,64.459287800,0.827296800,0.857000,-0.104000,0.514000,11.200000,-4.300000,0.600000
55785,44774133,846076,64.478012100,0.846021100,0.871000,-0.078000,0.504000,9.700000,-2.100000,-1.200000
55786,44793360,865303,64.498789100,0.866798100,0.860000,-0.078000,0.512000,6.600000,0.300000,-1.500000
55787,44812557,884500,64.516009800,0.884018800,0.858000,-0.096000,0.519000,5.500000,1.300000,-3.400000
