meta_label,z
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
27370,3279125517,0,3298.253278400,0.000000000,0.872000,-0.082000,0.494000,1.800000,-1.100000,-2.300000
27371,3279144745,19228,3298.276641100,0.023362700,0.836000,-0.123000,0.535000,-0.700000,-1.800000,-2.600000
27372,3279163972,38455,3298.292338300,0.039059900,0.815000,-0.155000,0.548000,4.600000,-5.300000,-4.800000
27373,3279183230,57713,3298.317327700,0.064049300,0.775000,-0.182000,0.602000,10.800000,-14.100000,-6.600000
27374,3279202549,77032,3298.330280200,0.077001800,1.013000,-0.180000,0.438000,6.100000,-15.900000,-16.600000
27375,3279221747,96230,3298.350246900,0.096968500,0.907000,0.009000,0.467000,-9.400000,-7.600000,-13.000000
27376,3279240913,115396,3298.370129900,0.116851500,0.875000,-0.026000,0.459000,-7.900000,-5.000000,-12.700000
27377,3279260202,134685,3298.388512700,0.135234300,0.886000,-0.099000,0.484000,-9.200000,-4.200000,-8.100000
27378,3279279368,153851,3298.410780200,0.157501800,0.875000,0.012000,0.488000,-6.500000,-1.700000,-19.300000
27379,3279298657,173140,3298.434597000,0.181318600,0.923000,0.010000,0.464000,-6.700000,-4.800000,-8.600000
27380,3279317854,192337,3298.446401000,0.193122600,0.795000,-0.123000,0.545000,-1.600000,-3.100000,15.000000
27381,3279337143,211626,3298.470445200,0.217166800,0.839000,-0.218000,0.627000,15.500000,-5.600000,14.900000
27382,3279356309,230792,3298.484434600,0.231156200,0.796000,-0.190000,0.505000,19.000000,-8.500000,13.600000
27383,3279375537,250020,3298.503405800,0.250127400,0.894000,-0.102000,0.544000,11.400000,-16.900000,16.900000
27384,3279394764,269247,3298.526551100,0.273272700,0.910000,-0.044000,0.386000,11.300000,-6.000000,-9.700000
27385,3279413992,288475,3298.542534900,0.289256500,0.875000,0.029000,0.470000,-13.200000,-2.500000,9.600000
27386,3279433281,307764,3298.561640200,0.308361800,0.990000,-0.178000,0.545000,-17.900000,-18.400000,-0.100000
27387,3279452417,326900,3298.581492700,0.328214300,0.859000,-0.101000,0.317000,-3.800000,-1.200000,-11.300000
27388,3279471614,346097,3298.600545900,0.347267500,0.820000,-0.090000,0.529000,0.000000,3.300000,2.200000
27389,3279490872,365355,3298.619400300,0.366121900,0.835000,-0.166000,0.540000,8.700000,5.200000,2.600000
27390,3279510130,384613,3298.638396000,0.385117600,0.871000,-0.158000,0.484000,2.600000,11.800000,4.600000
27391,3279529388,403871,3298.657332900,0.404054500,0.900000,-0.047000,0.480000,-13.600000,23.500000,1.300000
27392,3279548555,423038,3298.676509000,0.423230600,0.695000,-0.234000,0.651000,-10.600000,23.100000,8.600000
27393,3279567874,442357,3298.696380900,0.443102500,0.616000,-0.428000,0.783000,15.700000,-18.300000,-12.000000
27394,3279587163,461646,3298.717427600,0.464149200,1.076000,0.019000,0.404000,13.600000,-14.900000,-32.700000
27395,3279606329,480812,3298.735664500,0.482386100,0.941000,0.160000,0.390000,-16.700000,-13.500000,-3.100000
27396,3279625496,499979,3298.753455000,0.500176600,0.859000,0.018000,0.397000,-29.400000,-12.600000,14.900000
27397,3279644784,519267,3298.775827200,0.522548800,0.948000,-0.208000,0.487000,-7.100000,-12.300000,-2.500000
27398,3279663951,538434,3298.792238000,0.538959600,0.900000,-0.065000,0.369000,-1.800000,-2.000000,-8.800000
27399,3279683178,557661,3298.811310500,0.558032100,0.873000,-0.131000,0.545000,8.400000,7.600000,4.400000
27400,3279702406,576889,3298.830671700,0.577393300,0.902000,-0.120000,0.487000,3.900000,9.300000,6.000000
27401,3279721603,596086,3298.849482400,0.596204000,0.922000,0.021000,0.484000,-24.800000,25.300000,20.900000
27402,3279740922,615405,3298.869437300,0.616158900,0.855000,-0.023000,0.522000,-39.600000,35.400000,29.000000
27403,3279760211,634694,3298.888508700,0.635230300,0.776000,-0.179000,0.610000,-31.000000,17.200000,35.200000
27404,3279779408,653891,3298.907458800,0.654180400,0.731000,-0.333000,0.607000,-15.500000,1.200000,25.900000
27405,3279798575,673058,3298.928486900,0.675208500,0.762000,-0.407000,0.565000,1.800000,-8.800000,9.400000
27406,3279817863,692346,3298.946587100,0.693308700,0.809000,-0.300000,0.529000,18.700000,-12.100000,-2.800000
27407,3279837091,711574,3298.965302200,0.712023800,0.864000,-0.165000,0.503000,26.700000,-12.000000,-6.200000
27408,3279856318,730801,3298.984462300,0.731183900,0.883000,-0.075000,0.494000,27.100000,-10.300000,-0.700000
27409,3279875515,749998,3299.003458300,0.750179900,0.946000,-0.003000,0.449000,19.200000,0.300000,12.100000
27410,3279894804,769287,3299.026737200,0.773458800,0.903000,-0.015000,0.469000,-1.000000,7.500000,19.300000
27411,3279913971,788454,3299.042443900,0.789165500,0.849000,-0.123000,0.533000,-3.500000,6.400000,20.500000
27412,3279933198,807681,3299.061300200,0.808021800,0.815000,-0.274000,0.536000,-2.900000,2.100000,11.200000
27413,3279952426,826909,3299.081346200,0.828067800,0.787000,-0.225000,0.560000,2.000000,-1.800000,3.600000
