meta_label,9
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
17529,2858016833,0,40.428300000,0.000000000,0.844000,0.169000,0.517000,3.600000,-5.800000,-2.900000
17530,2858035999,19166,40.446046900,0.017746900,0.856000,0.147000,0.526000,6.300000,-5.000000,-0.100000
17531,2858055166,38333,40.466127800,0.037827800,0.839000,0.137000,0.537000,5.600000,-6.700000,-0.600000
17532,2858074455,57622,40.485007200,0.056707200,0.855000,0.131000,0.531000,5.900000,-6.700000,-2.400000
17533,2858093774,76941,40.504020900,0.075720900,0.848000,0.144000,0.516000,2.600000,-5.500000,-2.700000
17534,2858112910,96077,40.523447200,0.095147200,0.836000,0.137000,0.523000,-0.600000,-4.800000,-6.900000
17535,2858132107,115274,40.541898600,0.113598600,0.832000,0.127000,0.546000,1.700000,-5.300000,-8.200000
17536,2858151395,134562,40.562029900,0.133729900,0.820000,0.126000,0.562000,3.500000,-9.000000,-6.900000
17537,2858170562,153729,40.580948300,0.152648300,0.812000,0.111000,0.551000,2.800000,-13.500000,-16.100000
17538,2858189912,173079,40.600192700,0.171892700,0.810000,0.134000,0.550000,1.500000,-17.100000,-25.100000
17539,2858209078,192245,40.619394100,0.191094100,0.947000,0.174000,0.468000,-7.900000,-20.600000,-25.500000
17540,2858228336,211503,40.643141500,0.214841500,0.882000,0.253000,0.483000,-17.300000,-9.900000,-9.500000
17541,2858247533,230700,40.657982100,0.229682100,0.871000,0.113000,0.427000,-0.900000,-3.600000,-3.600000
17542,2858266853,250020,40.677276400,0.248976400,0.871000,0.184000,0.496000,6.100000,-0.500000,3.000000
17543,2858286019,269186,40.696167100,0.267867100,0.881000,0.308000,0.505000,12.400000,-5.700000,42.600000
17544,2858305186,288353,40.721321800,0.293021800,0.832000,0.087000,0.545000,18.400000,-5.200000,29.000000
17545,2858324474,307641,40.735438500,0.307138500,0.813000,0.076000,0.458000,15.900000,2.500000,17.300000
17546,2858343641,326808,40.759568700,0.331268700,0.840000,0.192000,0.530000,-2.700000,0.600000,-2.400000
17547,2858362930,346097,40.773673000,0.345373000,0.813000,-0.024000,0.514000,-18.700000,-3.000000,-15.400000
17548,2858382127,365294,40.791961300,0.363661300,0.888000,0.236000,0.552000,-12.400000,-1.300000,-36.800000
17549,2858401415,384582,40.812306100,0.384006100,0.862000,0.241000,0.498000,-16.000000,-9.800000,-1.800000
17550,2858420582,403749,40.831120100,0.402820100,0.926000,0.179000,0.471000,-10.500000,-9.100000,-3.400000
17551,2858439871,423038,40.850139800,0.421839800,0.836000,0.271000,0.357000,-16.000000,-16.900000,1.000000
17552,2858459037,442204,40.869247200,0.440947200,0.872000,0.102000,0.560000,-8.300000,-2.200000,7.200000
17553,2858478265,461432,40.898014900,0.469714900,0.815000,0.059000,0.494000,-2.900000,0.200000,-3.100000
17554,2858497553,480720,40.907994900,0.479694900,0.828000,0.071000,0.545000,-2.500000,3.900000,-18.100000
17555,2858516689,499856,40.926973100,0.498673100,0.851000,0.119000,0.508000,-12.500000,12.100000,-24.700000
17556,2858535978,519145,40.946681300,0.518381300,0.810000,0.143000,0.550000,-16.000000,7.500000,-32.500000
17557,2858555206,538373,40.965013200,0.536713200,0.797000,0.200000,0.625000,-10.600000,-8.500000,-27.200000
17558,2858574494,557661,40.985103800,0.556803800,0.959000,0.203000,0.490000,-11.400000,-16.600000,-11.400000
17559,2858593661,576828,41.004056500,0.575756500,0.857000,0.149000,0.445000,-4.100000,-12.800000,-0.800000
17560,2858612919,596086,41.023121300,0.594821300,0.909000,0.276000,0.536000,4.000000,-5.000000,18.200000
17561,2858632147,615314,41.043747100,0.615447100,0.865000,0.205000,0.575000,3.600000,-12.300000,51.400000
17562,2858651435,634602,41.062027100,0.633727100,0.836000,0.109000,0.501000,14.700000,-19.300000,53.400000
17563,2858670602,653769,41.080944400,0.652644400,0.840000,0.097000,0.417000,16.400000,-13.500000,59.300000
17564,2858689890,673057,41.100133500,0.671833500,0.826000,0.027000,0.450000,14.600000,-5.200000,21.700000
17565,2858709057,692224,41.119112600,0.690812600,0.853000,0.173000,0.484000,0.100000,1.900000,-3.600000
17566,2858728223,711390,41.138764700,0.710464700,0.863000,0.109000,0.523000,-10.700000,-3.900000,1.400000
17567,2858747512,730679,41.158010800,0.729710800,0.873000,0.060000,0.463000,-0.500000,1.600000,-11.900000
17568,2858766740,749907,41.177055600,0.748755600,0.850000,0.072000,0.458000,2.200000,3.900000,-28.100000
17569,2858785998,769165,41.196446700,0.768146700,0.880000,0.221000,0.509000,1.200000,0.000000,-8.800000
17570,2858805164,788331,41.215042200,0.786742200,0.923000,0.143000,0.470000,-2.500000,-1.200000,-11.800000
17571,2858824484,807651,41.237213800,0.808913800,0.882000,0.247000,0.437000,-14.500000,9.300000,-7.700000
17572,2858843681,826848,41.254058400,0.825758400,0.801000,0.155000,0.533000,-17.500000,9.400000,3.300000
17573,2858862908,846075,41.273021400,0.844721400,0.740000,0.058000,0.650000,-9.000000,-3.500000,0.500000
17574,2858882166,865333,41.292051100,0.863751100,0.758000,-0.022000,0.682000,8.100000,-18.000000,-3.700000
17575,2858901333,884500,41.311040400,0.882740400,0.963000,0.027000,0.496000,9.600000,-30.500000,-13.500000
17576,2858920622,903789,41.331121200,0.902821200,0.894000,0.280000,0.391000,4.100000,-6.800000,-10.500000
17577,2858939788,922955,41.353187000,0.924887000,0.871000,0.274000,0.350000,-5.300000,-2.200000,0.200000
17578,2858959077,942244,41.369076600,0.940776600,0.925000,0.197000,0.592000,-12.600000,-1.600000,7.400000
17579,2858978213,961380,41.388873500,0.960573500,0.831000,0.069000,0.479000,-16.100000,-11.100000,-5.600000
17580,2858997471,980638,41.408070000,0.979770000,0.842000,0.095000,0.505000,-19.100000,-10.600000,-12.500000
17581,2859016729,999896,41.429979000,1.001679000,0.852000,0.087000,0.454000,-21.000000,0.600000,-23.700000
17582,2859035926,1019093,41.449866500,1.021566500,0.849000,0.123000,0.549000,-8.800000,3.100000,-17.800000
17583,2859055215,1038382,41.465277100,1.036977100,0.861000,0.073000,0.540000,-5.100000,-1.300000,-0.200000
17584,2859074381,1057548,41.487822400,1.059522400,0.853000,0.114000,0.482000,7.500000,-4.200000,-4.500000
17585,2859093639,1076806,41.504468600,1.076168600,0.865000,0.200000,0.476000,18.700000,10.200000,0.600000
17586,2859112867,1096034,41.527810200,1.099510200,0.896000,0.183000,0.566000,17.100000,4.700000,28.000000
