meta_label,A
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
23727,229545955,0,224.791102800,0.000000000,0.875000,0.010000,0.482000,-0.300000,-5.500000,-0.600000
23728,229555661,9706,224.791112500,0.000009700,0.876000,0.001000,0.474000,-0.100000,-3.900000,-1.300000
23729,229564817,18862,224.797156600,0.006053800,0.894000,0.010000,0.472000,-0.400000,-2.500000,-4.600000
23730,229574430,28475,224.812631400,0.021528600,0.895000,0.022000,0.465000,1.700000,-3.000000,-0.400000
23731,229584349,38394,224.821664000,0.030561200,0.887000,0.029000,0.482000,2.700000,-3.100000,-0.700000
23732,229593750,47795,224.827641800,0.036539000,0.871000,0.031000,0.499000,4.700000,-4.300000,0.700000
23733,229603272,57317,224.846575900,0.055473100,0.853000,0.013000,0.503000,6.500000,-6.000000,4.800000
23734,229613435,67480,224.849982900,0.058880100,0.851000,0.004000,0.516000,8.100000,-7.900000,6.600000
23735,229622957,77002,224.865435200,0.074332400,0.838000,-0.012000,0.525000,8.000000,-10.800000,7.500000
23736,229632113,86158,224.872437600,0.081334800,0.823000,-0.040000,0.533000,8.300000,-13.600000,7.000000
23737,229641727,95772,224.872448200,0.081345400,0.932000,-0.054000,0.436000,7.400000,-17.200000,2.400000
23738,229651829,105874,224.894890500,0.103787700,1.087000,-0.039000,0.343000,-4.200000,3.900000,-15.000000
23739,229661290,115335,224.895316600,0.104213800,0.898000,0.183000,0.538000,-7.000000,-12.000000,-16.200000
23740,229670538,124583,224.903301800,0.112199000,0.888000,0.100000,0.408000,-19.500000,-9.400000,-9.100000
23741,229680762,134807,224.922305800,0.131203000,0.892000,0.046000,0.381000,-30.600000,-3.300000,-4.900000
23742,229690223,144268,224.924789300,0.133686500,0.890000,0.045000,0.464000,-29.900000,-8.900000,-5.400000
23743,229699410,153455,224.932513100,0.141410300,0.923000,-0.077000,0.361000,-45.800000,-5.500000,-12.300000
23744,229709024,163069,224.947420400,0.156317600,0.970000,0.063000,0.441000,-39.900000,3.000000,-46.600000
23745,229719095,173140,224.955041100,0.163938300,0.818000,0.094000,0.494000,-32.600000,-7.600000,-67.500000
23746,229728587,182632,224.963019200,0.171916400,0.844000,0.204000,0.436000,-25.900000,-6.400000,-67.100000
23747,229737865,191910,224.979642700,0.188539900,0.825000,0.097000,0.419000,-25.500000,-3.300000,-32.900000
23748,229747845,201890,224.984725900,0.193623100,0.865000,0.117000,0.521000,-23.700000,2.900000,-8.400000
23749,229757489,211534,224.992655500,0.201552700,0.835000,-0.016000,0.547000,-18.200000,-7.400000,0.900000
23750,229766706,220751,225.007208100,0.216105300,0.888000,-0.079000,0.503000,-12.800000,-5.500000,6.400000
23751,229776290,230335,225.007405500,0.216302700,0.903000,-0.135000,0.483000,-11.800000,-4.400000,2.100000
23752,229786300,240345,225.022197800,0.231095000,0.910000,-0.068000,0.448000,-2.900000,-4.200000,-11.600000
23753,229796097,250142,225.030003300,0.238900500,0.891000,0.030000,0.430000,12.200000,-3.700000,-19.100000
23754,229805162,259207,225.037169800,0.246067000,0.888000,0.120000,0.410000,14.000000,-2.600000,-13.600000
23755,229815233,269278,225.055490100,0.264387300,0.978000,0.266000,0.570000,8.400000,-9.100000,5.800000
23756,229824908,278953,225.059601900,0.268499100,0.833000,0.056000,0.632000,5.500000,-2.800000,16.800000
23757,229834095,288140,225.067702600,0.276599800,0.974000,0.203000,0.539000,7.300000,-27.800000,42.500000
23758,229843647,297692,225.081918500,0.290815700,0.813000,-0.002000,0.194000,-7.900000,-27.100000,55.100000
23759,229853780,307825,225.092875600,0.301772800,0.867000,-0.022000,0.342000,27.200000,-0.900000,31.000000
23760,229863302,317347,225.096785000,0.305682200,0.776000,-0.199000,0.401000,4.400000,-27.200000,38.400000
23761,229872489,326534,225.111905200,0.320802400,1.039000,-0.012000,0.520000,21.800000,7.200000,12.000000
23762,229882286,336331,225.119548000,0.328445200,0.834000,-0.073000,0.464000,24.700000,1.900000,-0.600000
23763,229892083,346128,225.131574700,0.340471900,0.843000,0.038000,0.440000,22.800000,-2.700000,-3.700000
23764,229901361,355406,225.142084900,0.350982100,0.900000,0.021000,0.452000,17.600000,9.600000,-6.700000
23765,229910913,364958,225.143905100,0.352802300,0.845000,0.038000,0.502000,9.600000,1.800000,0.200000
23766,229921046,375091,225.157400000,0.366297200,0.905000,-0.037000,0.294000,3.800000,13.200000,-6.700000
23767,229930721,384766,225.168879300,0.377776500,0.979000,0.040000,0.483000,4.400000,25.600000,-16.300000
23768,229939785,393830,225.172009800,0.380907000,0.861000,0.085000,0.547000,-5.200000,24.100000,-18.200000
23769,229949399,403444,225.188174200,0.397071400,0.723000,-0.011000,0.621000,-8.100000,20.300000,-10.000000
23770,229959471,413516,225.194814200,0.403711400,0.693000,-0.124000,0.719000,-1.800000,5.300000,-7.900000
23771,229968871,422916,225.206810000,0.415707200,0.694000,-0.231000,0.748000,10.600000,-14.500000,-4.800000
23772,229978241,432286,225.217272100,0.426169300,1.458000,-0.154000,0.336000,-10.100000,-44.200000,-13.700000
23773,229988343,442388,225.227597800,0.436495000,0.881000,0.111000,0.360000,16.000000,10.200000,-25.700000
23774,229997895,451940,225.244958100,0.453855300,0.804000,0.332000,0.402000,-14.100000,-5.500000,-17.300000
23775,230007051,461096,225.247306700,0.456203900,0.989000,0.134000,0.340000,-24.300000,-6.700000,-10.800000
23776,230016665,470710,225.247646000,0.456543200,0.853000,0.226000,0.382000,-21.400000,-1.300000,-8.200000
23777,230026737,480782,225.269508100,0.478405300,0.863000,0.197000,0.433000,-22.600000,-12.100000,1.300000
23778,230036320,490365,225.270417500,0.479314700,0.980000,0.074000,0.443000,-35.000000,-2.700000,8.300000
23779,230045537,499582,225.278691900,0.487589100,0.952000,0.171000,0.505000,-29.500000,-17.600000,-1.000000
23780,230055822,509867,225.292184400,0.501081600,0.930000,0.047000,0.407000,-25.800000,-21.200000,-1.700000
23781,230065284,519329,225.302045100,0.510942300,1.038000,0.149000,0.535000,-6.900000,4.100000,-1.400000
23782,230074379,528424,225.306961300,0.515858500,0.697000,0.229000,0.541000,-7.000000,-12.800000,1.700000
23783,230084023,538068,225.329443800,0.538341000,0.714000,0.156000,0.408000,6.000000,-20.400000,-0.500000
23784,230094064,548109,225.330430600,0.539327800,0.732000,0.117000,0.426000,11.900000,-4.700000,12.100000
23785,230103739,557784,225.340729700,0.549626900,0.878000,-0.042000,0.539000,10.900000,0.000000,26.700000
23786,230112864,566909,225.353919800,0.562817000,0.969000,-0.046000,0.395000,3.900000,2.900000,24.900000
23787,230123027,577072,225.360091300,0.568988500,1.056000,-0.039000,0.286000,-0.200000,11.300000,5.700000
23788,230132580,586625,225.367215800,0.576113000,0.920000,0.058000,0.389000,-10.900000,32.400000,-2.700000
23789,230141706,595751,225.382328800,0.591226000,0.852000,0.064000,0.478000,-17.300000,31.400000,-0.800000
23790,230151350,605395,225.382870300,0.591767500,0.873000,0.047000,0.509000,-14.800000,27.400000,2.200000
