meta_label,R
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
15550,150924268,0,146.174538800,0.000000000,0.851000,-0.013000,0.514000,-0.600000,-0.400000,-2.100000
15551,150933424,9156,146.188364400,0.013825600,0.845000,-0.031000,0.523000,0.300000,-1.300000,-1.400000
15552,150942947,18679,146.188922800,0.014384000,0.846000,-0.031000,0.521000,0.600000,-1.700000,-4.200000
15553,150952927,28659,146.205102900,0.030564100,0.838000,-0.026000,0.526000,-1.000000,0.600000,-7.300000
15554,150962754,38486,146.210724600,0.036185800,0.831000,-0.008000,0.557000,1.200000,-4.800000,-10.800000
15555,150971758,47490,146.219949700,0.045410900,0.826000,0.006000,0.557000,0.300000,-10.300000,-6.900000
15556,150981371,57103,146.233837100,0.059298300,0.830000,-0.007000,0.557000,-0.500000,-14.600000,-7.000000
15557,150991473,67205,146.242978000,0.068439200,0.826000,-0.034000,0.559000,-0.600000,-17.800000,-5.600000
15558,151000904,76636,146.248402900,0.073864100,0.820000,-0.060000,0.551000,3.000000,-21.800000,-4.200000
15559,151010213,85945,146.263166700,0.088627900,0.941000,-0.042000,0.343000,-5.000000,-23.500000,-9.800000
15560,151020467,96199,146.270955800,0.096417000,1.110000,0.072000,0.412000,5.400000,0.100000,-7.600000
15561,151029868,105600,146.282081700,0.107542900,0.862000,0.118000,0.463000,-0.900000,-10.700000,-5.200000
15562,151039085,114817,146.293407100,0.118868300,0.902000,0.083000,0.374000,2.600000,1.500000,-5.300000
15563,151048698,124430,146.302756900,0.128218100,0.873000,0.260000,0.621000,17.900000,-7.900000,2.100000
15564,151058770,134502,146.308333600,0.133794800,0.950000,0.134000,0.562000,0.800000,-17.200000,24.700000
15565,151068292,144024,146.316916900,0.142378100,0.846000,0.034000,0.462000,3.900000,-20.500000,38.200000
15566,151077631,153363,146.343616300,0.169077500,0.860000,-0.137000,0.373000,7.100000,-18.600000,36.600000
15567,151087672,163404,146.343958100,0.169419300,0.869000,-0.065000,0.574000,7.800000,-8.900000,18.000000
15568,151097164,172896,146.360745600,0.186206800,0.807000,-0.192000,0.360000,1.200000,2.700000,-6.800000
15569,151106412,182144,146.360758500,0.186219700,0.898000,-0.074000,0.561000,1.400000,1.800000,-18.300000
15570,151116026,191758,146.379771600,0.205232800,0.844000,-0.030000,0.665000,-16.500000,-6.200000,-12.000000
15571,151126006,201738,146.379783600,0.205244800,0.708000,-0.169000,0.260000,-41.100000,6.000000,-18.800000
15572,151135741,211473,146.391009800,0.216471000,0.881000,-0.160000,0.522000,-13.300000,27.300000,-51.500000
15573,151144836,220568,146.398337800,0.223799000,0.863000,0.168000,0.548000,5.500000,20.000000,-69.000000
15574,151154511,230243,146.405690700,0.231151900,0.994000,0.359000,0.635000,-1.600000,17.700000,-54.200000
15575,151164644,240376,146.416708000,0.242169200,0.700000,0.168000,0.499000,-28.700000,-6.600000,-9.300000
15576,151173708,249440,146.428858000,0.254319200,1.012000,0.165000,0.327000,-40.500000,1.700000,-8.100000
15577,151183383,259115,146.428874300,0.254335500,0.909000,0.106000,0.579000,-28.600000,-7.300000,-14.100000
15578,151193485,269217,146.443415700,0.268876900,0.944000,-0.009000,0.434000,-25.700000,-14.000000,-2.400000
