meta_label,t
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
26231,253621566,0,248.850403400,0.000000000,0.871000,0.032000,0.488000,1.100000,-4.900000,-2.600000
26232,253631119,9553,248.865514200,0.015110800,0.883000,0.048000,0.481000,2.900000,-4.600000,-3.800000
26233,253641251,19685,248.873047500,0.022644100,0.877000,0.049000,0.480000,3.600000,-5.500000,-0.900000
26234,253650773,29207,248.884030900,0.033627500,0.850000,0.041000,0.494000,4.400000,-7.000000,1.500000
26235,253659960,38394,248.895399000,0.044995600,0.842000,0.018000,0.511000,6.500000,-9.300000,0.400000
26236,253670123,48557,248.902706800,0.052303400,0.838000,-0.008000,0.524000,9.500000,-12.200000,0.900000
26237,253679645,58079,248.909926900,0.059523500,0.829000,-0.063000,0.548000,10.500000,-17.500000,0.700000
26238,253688801,67235,248.925392800,0.074989400,1.068000,-0.082000,0.375000,5.800000,-25.700000,-10.200000
26239,253698446,76880,248.925748900,0.075345500,0.992000,-0.011000,0.423000,9.100000,-1.400000,-13.300000
26240,253708548,86982,248.940467900,0.090064500,0.884000,0.120000,0.404000,-17.900000,-13.200000,-7.700000
26241,253718131,96565,248.947615800,0.097212400,0.930000,0.098000,0.349000,-34.700000,-2.100000,-3.500000
26242,253727318,105752,248.962249700,0.111846300,0.890000,0.031000,0.403000,-36.600000,1.700000,-2.800000
26243,253737420,115854,248.978010600,0.127607200,0.900000,-0.040000,0.461000,-34.400000,-1.700000,-9.100000
26244,253746881,125315,248.978384100,0.127980700,0.921000,0.075000,0.449000,-33.300000,-2.800000,-16.500000
26245,253756128,134562,248.984891300,0.134487900,0.904000,0.147000,0.487000,-28.400000,-12.700000,-25.500000
26246,253765712,144146,249.000994800,0.150591400,0.973000,0.200000,0.415000,-45.200000,-9.000000,-18.100000
26247,253775966,154400,249.008966100,0.158562700,0.866000,0.144000,0.390000,-34.700000,-16.200000,-17.400000
26248,253785489,163923,249.015779100,0.165375700,0.924000,0.337000,0.329000,-15.100000,-10.700000,-8.500000
26249,253794584,173018,249.031944200,0.181540800,0.883000,0.161000,0.470000,-9.400000,0.300000,3.400000
26250,253804197,182631,249.037584200,0.187180800,0.819000,0.130000,0.459000,-6.000000,-1.400000,20.100000
26251,253814269,192703,249.045660200,0.195256800,0.841000,0.052000,0.327000,11.400000,19.100000,32.500000
26252,253823456,201890,249.060634300,0.210230900,0.915000,-0.108000,0.600000,17.200000,12.500000,18.400000
26253,253833130,211564,249.060658200,0.210254800,0.880000,-0.079000,0.445000,40.300000,-5.000000,-2.800000
26254,253843233,221667,249.075515400,0.225112000,0.894000,-0.061000,0.355000,36.500000,-5.000000,-4.200000
26255,253852846,231280,249.083328200,0.232924800,0.946000,0.044000,0.468000,19.600000,14.600000,-3.400000
26256,253861911,240345,249.090240200,0.239836800,0.837000,0.016000,0.507000,-5.000000,23.000000,-5.200000
26257,253871555,249989,249.105820000,0.255416600,0.783000,-0.051000,0.575000,-13.300000,21.000000,-5.800000
26258,253881627,260061,249.113119700,0.262716300,0.790000,-0.057000,0.654000,-2.600000,9.200000,-11.000000
26259,253890966,269400,249.119688600,0.269285200,0.756000,-0.067000,0.680000,8.700000,-13.400000,-15.200000
26260,253900335,278769,249.135054600,0.284651200,1.027000,-0.038000,0.384000,14.700000,-34.600000,-9.500000
26261,253910529,288963,249.150264200,0.299860800,1.114000,0.006000,0.445000,21.600000,-27.400000,-13.700000
26262,253920021,298455,249.150273600,0.299870200,0.859000,0.217000,0.316000,4.900000,-8.300000,-11.900000
26263,253929207,307641,249.170324900,0.319921500,0.925000,0.162000,0.338000,-2.300000,-15.300000,1.700000
26264,253938882,317316,249.170334500,0.319931100,0.943000,0.399000,0.434000,-3.600000,7.700000,14.400000
26265,253948801,327235,249.184769300,0.334365900,0.892000,0.133000,0.530000,-18.300000,-14.300000,46.900000
26266,253958415,336849,249.187528700,0.337125300,0.899000,-0.013000,0.456000,-22.200000,-18.900000,57.500000
26267,253967663,346097,249.195487000,0.345083600,1.019000,-0.019000,0.559000,18.400000,-17.300000,22.400000
26268,253977856,356290,249.210079800,0.359676400,0.701000,-0.219000,0.242000,11.900000,-38.200000,10.700000
26269,253987378,365812,249.217689300,0.367285900,0.914000,-0.004000,0.431000,6.800000,-1.500000,-9.200000
26270,253996504,374938,249.225409200,0.375005800,0.826000,0.082000,0.489000,-11.300000,-1.100000,-14.500000
26271,254006087,384521,249.241663200,0.391259800,0.917000,0.048000,0.454000,-28.900000,-9.700000,-5.200000
26272,254016159,394593,249.247329200,0.396925800,0.994000,0.022000,0.480000,-39.500000,2.600000,3.900000
26273,254025773,404207,249.254814200,0.404410800,0.873000,0.150000,0.457000,-40.100000,-5.500000,8.000000
26274,254034959,413393,249.270902800,0.420499400,0.995000,-0.030000,0.392000,-11.600000,-32.000000,-9.800000
26275,254045092,423526,249.281193300,0.430789900,0.932000,0.010000,0.281000,-5.200000,-9.400000,-3.400000
26276,254054736,433170,249.285047000,0.434643600,0.840000,0.224000,0.358000,2.800000,-13.100000,-3.000000
26277,254063831,442265,249.300932700,0.450529300,0.718000,0.168000,0.375000,13.100000,-2.600000,3.600000
26278,254073414,451848,249.300942400,0.450539000,0.985000,0.000000,0.497000,6.900000,22.200000,14.100000
26279,254083455,461889,249.318416700,0.468013300,0.860000,0.055000,0.436000,3.300000,-3.900000,10.600000
26280,254093130,471564,249.322991900,0.472588500,0.960000,-0.155000,0.422000,15.000000,7.400000,3.000000
26281,254102317,480751,249.329764500,0.479361100,0.982000,-0.022000,0.234000,14.000000,3.600000,-11.000000
26282,254112449,490883,249.345772600,0.495369200,1.035000,0.100000,0.379000,9.200000,15.900000,-20.200000
26283,254122002,500436,249.355121100,0.504717700,0.881000,0.113000,0.386000,-15.600000,29.600000,-3.500000
26284,254131189,509623,249.360491000,0.510087600,0.902000,0.124000,0.443000,-32.400000,38.000000,8.800000
26285,254140711,519145,249.375413900,0.525010500,0.867000,0.045000,0.517000,-29.900000,38.500000,8.400000
26286,254150813,529247,249.382933200,0.532529800,0.820000,-0.008000,0.579000,-24.200000,26.200000,7.900000
26287,254160305,538739,249.392472800,0.542069400,0.782000,-0.071000,0.598000,-15.400000,15.300000,8.100000
26288,254169583,548017,249.405722400,0.555319000,0.782000,-0.110000,0.604000,-8.600000,4.500000,2.100000
26289,254179166,557600,249.413706500,0.563303100,0.828000,-0.151000,0.564000,0.100000,-5.000000,0.400000
26290,254189238,567672,249.419960500,0.569557100,0.858000,-0.112000,0.527000,12.600000,-9.400000,-6.200000
26291,254198577,577011,249.436100200,0.585696800,0.883000,-0.038000,0.486000,13.200000,-9.000000,-9.800000
26292,254208038,586472,249.436428500,0.586025100,0.911000,0.018000,0.452000,9.300000,-4.600000,-6.500000
26293,254217988,596422,249.450337100,0.599933700,0.918000,0.058000,0.433000,4.000000,0.900000,-2.000000
26294,254227785,606219,249.457795400,0.607392000,0.905000,0.096000,0.436000,2.000000,2.200000,-0.900000
26295,254236849,615283,249.465236200,0.614832800,0.918000,0.069000,0.445000,0.100000,3.000000,2.100000
