meta_label,f
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
16677,161759845,0,157.011294400,0.000000000,0.847000,0.019000,0.536000,0.300000,-6.900000,-1.100000
16678,161769947,10102,157.018435200,0.007140800,0.830000,0.014000,0.553000,0.500000,-9.600000,-3.700000
16679,161779561,19716,157.026454700,0.015160300,0.824000,0.000000,0.562000,-1.900000,-12.400000,-2.700000
16680,161788625,28780,157.041108600,0.029814200,0.824000,-0.015000,0.569000,-3.800000,-16.100000,-5.800000
16681,161798239,38394,157.041692100,0.030397700,0.827000,-0.018000,0.544000,-5.200000,-18.200000,-8.800000
16682,161808372,48527,157.055917800,0.044623400,0.960000,0.047000,0.368000,-9.300000,-7.900000,-8.400000
16683,161817925,58080,157.064044600,0.052750200,0.839000,0.066000,0.565000,-15.600000,-3.700000,-8.000000
16684,161827111,67266,157.073478800,0.062184400,0.841000,0.073000,0.435000,-22.200000,-7.500000,-16.300000
16685,161837305,77460,157.086759100,0.075464700,0.833000,-0.029000,0.467000,-17.700000,1.900000,-15.700000
16686,161846766,86921,157.094351600,0.083057200,0.873000,0.070000,0.542000,-9.100000,2.400000,-17.800000
16687,161855983,96138,157.100878100,0.089583700,0.876000,0.089000,0.545000,-0.700000,1.000000,-14.400000
16688,161865597,105752,157.116210200,0.104915800,0.848000,0.058000,0.616000,-8.800000,-2.900000,1.300000
16689,161875638,115793,157.124459600,0.113165200,0.847000,0.045000,0.538000,-15.400000,-5.000000,2.600000
16690,161885069,125224,157.134788400,0.123494000,0.801000,-0.021000,0.534000,-10.200000,-2.800000,-3.000000
16691,161894469,134624,157.149075500,0.137781100,0.711000,-0.124000,0.428000,3.900000,10.000000,-8.400000
16692,161904144,144299,157.153658000,0.142363600,0.818000,0.027000,0.632000,8.400000,-1.200000,-11.200000
16693,161914185,154340,157.161649000,0.150354600,1.039000,-0.017000,0.478000,3.200000,1.500000,-8.000000
16694,161923310,163465,157.176133700,0.164839300,0.882000,0.018000,0.575000,0.600000,-1.400000,-1.800000
16695,161932863,173018,157.176604700,0.165310300,0.878000,0.064000,0.451000,3.000000,-5.900000,0.000000
16696,161943057,183212,157.191157700,0.179863300,0.858000,0.156000,0.387000,1.500000,0.000000,5.000000
16697,161952640,192795,157.199255100,0.187960700,0.938000,0.102000,0.547000,12.600000,-3.400000,11.900000
16698,161961735,201890,157.208488600,0.197194200,0.851000,0.261000,0.622000,-7.000000,-15.900000,28.600000
16699,161971959,212114,157.228268000,0.216973600,0.878000,0.111000,0.348000,-16.000000,-15.400000,38.000000
16700,161981390,221545,157.228277700,0.216983300,0.953000,0.037000,0.511000,4.600000,-4.300000,25.900000
