meta_label,i
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
15131,146895476,0,142.145520100,0.000000000,0.858000,-0.003000,0.505000,-8.700000,-1.100000,-4.900000
15132,146904968,9492,142.157160500,0.011640400,0.847000,-0.007000,0.526000,-8.300000,-2.000000,-7.500000
15133,146914307,18831,142.168138400,0.022618300,0.832000,-0.018000,0.529000,-8.600000,-3.900000,-5.300000
15134,146924317,28841,142.177263300,0.031743200,0.829000,-0.024000,0.541000,-8.600000,-4.200000,-4.900000
15135,146933778,38302,142.183035700,0.037515600,0.813000,-0.025000,0.559000,-9.800000,-8.600000,-8.400000
15136,146943087,47611,142.199573500,0.054053400,0.793000,-0.074000,0.568000,-11.200000,-11.500000,-9.700000
15137,146952701,57225,142.199583300,0.054063200,0.793000,-0.140000,0.589000,0.000000,-16.700000,-13.400000
15138,146962742,67266,142.214159700,0.068639600,0.819000,-0.133000,0.539000,8.600000,-23.300000,-11.600000
15139,146972295,76819,142.221318500,0.075798400,1.242000,-0.120000,0.197000,2.900000,-8.900000,-13.700000
15140,146981573,86097,142.233025200,0.087505100,0.927000,0.155000,0.485000,-1.600000,7.600000,-19.400000
15141,146991583,96107,142.243277700,0.097757600,0.937000,0.168000,0.401000,-0.200000,-10.400000,-21.700000
15142,147001258,105782,142.252663300,0.107143200,0.914000,0.223000,0.438000,14.800000,-1.500000,-11.900000
15143,147010414,114938,142.258371700,0.112851600,0.889000,0.492000,0.739000,9.400000,-25.200000,2.400000
15144,147020058,124582,142.273865800,0.128345700,0.917000,-0.011000,0.164000,-17.000000,-26.200000,34.800000
15145,147030130,134654,142.280509600,0.134989500,0.910000,0.227000,0.862000,-8.100000,-15.000000,28.500000
15146,147039744,144268,142.290427200,0.144907100,0.800000,-0.161000,0.214000,-18.400000,-7.500000,12.600000
15147,147048839,153363,142.305059700,0.159539600,0.758000,0.027000,0.359000,16.700000,-8.900000,10.000000
15148,147058636,163160,142.312663700,0.167143600,0.994000,-0.087000,0.544000,11.400000,0.600000,2.700000
15149,147068555,173079,142.318180200,0.172660100,0.747000,-0.120000,0.433000,2.900000,4.100000,0.100000
15150,147077772,182296,142.333858400,0.188338300,0.911000,-0.106000,0.462000,-6.200000,10.300000,-8.400000
15151,147087325,191849,142.333866800,0.188346700,0.900000,-0.134000,0.245000,-18.500000,24.200000,-20.000000
