meta_label,3
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
59214,1200881762,0,1207.028162900,0.000000000,-0.752000,-0.644000,0.267000,-6.900000,-1.800000,-9.500000
59215,1200891804,10042,1207.035911600,0.007748700,-0.768000,-0.641000,0.272000,-12.400000,-5.200000,-7.400000
59216,1200901204,19442,1207.042661000,0.014498100,-0.794000,-0.619000,0.263000,-17.900000,-7.200000,-4.100000
59217,1200910573,28811,1207.057506300,0.029343400,-0.830000,-0.586000,0.277000,-22.400000,-7.300000,-1.000000
59218,1200920614,38852,1207.066690500,0.038527600,-0.816000,-0.513000,0.310000,-24.700000,-6.500000,0.000000
59219,1200930381,48619,1207.072833200,0.044670300,-0.797000,-0.451000,0.366000,-20.600000,-6.300000,-0.400000
59220,1200939415,57653,1207.090436500,0.062273600,-0.819000,-0.458000,0.436000,-12.600000,-5.300000,-1.900000
59221,1200948998,67236,1207.090446100,0.062283200,-0.846000,-0.499000,0.488000,-9.000000,1.800000,-6.400000
59222,1200959070,77308,1207.103367900,0.075205000,-0.860000,-0.534000,0.489000,-16.400000,10.100000,-9.900000
59223,1200968683,86921,1207.111544400,0.083381500,-0.853000,-0.522000,0.480000,-23.500000,18.600000,-13.500000
59224,1200977870,96108,1207.117972200,0.089809300,-0.806000,-0.469000,0.507000,-24.400000,25.700000,-18.200000
59225,1200988064,106302,1207.132925000,0.104762100,-0.759000,-0.391000,0.510000,-13.200000,32.000000,-28.400000
59226,1200997616,115854,1207.139913600,0.111750700,-0.708000,-0.279000,0.048000,5.400000,36.900000,-38.400000
59227,1201006711,124949,1207.148383500,0.120220600,0.039000,-1.033000,0.241000,60.900000,-57.300000,-3.400000
59228,1201016325,134563,1207.167010400,0.138847500,-0.645000,-0.902000,0.166000,23.600000,-99.300000,-12.200000
59229,1201026427,144665,1207.177631200,0.149468300,-1.705000,-1.107000,0.081000,27.300000,-39.400000,26.700000
59230,1201036011,154249,1207.178235300,0.150072400,-0.650000,-0.966000,0.258000,9.200000,-4.800000,21.500000
59231,1201045167,163405,1207.192926500,0.164763600,-0.363000,-0.154000,0.409000,47.100000,-21.500000,12.100000
59232,1201054780,173018,1207.204634200,0.176471300,-0.817000,-0.820000,0.274000,119.500000,-21.200000,-12.700000
59233,1201064943,183181,1207.207623600,0.179460700,-0.808000,-0.880000,0.273000,160.500000,20.600000,-14.200000
59234,1201074008,192246,1207.222952900,0.194790000,-0.761000,-1.322000,0.241000,167.300000,46.000000,3.800000
59235,1201083622,201860,1207.231510700,0.203347800,-0.704000,-1.583000,0.179000,102.800000,63.000000,32.600000
59236,1201093754,211992,1207.238060900,0.209898000,-0.414000,-1.598000,0.213000,43.000000,54.100000,66.300000
59237,1201103338,221576,1207.252846700,0.224683800,-0.354000,-1.418000,0.185000,-23.300000,39.500000,98.100000
59238,1201112463,230701,1207.253205300,0.225042400,-0.473000,-1.036000,0.257000,-87.600000,26.900000,134.500000
59239,1201122565,240803,1207.268112100,0.239949200,-0.446000,-0.356000,0.373000,-119.300000,6.100000,154.900000
59240,1201132271,250509,1207.275992400,0.247829500,-0.456000,0.270000,0.416000,-120.900000,-18.100000,143.900000
59241,1201141335,259573,1207.283106400,0.254943500,-0.632000,0.697000,0.436000,-101.900000,-37.700000,110.500000
59242,1201150979,269217,1207.300264400,0.272101500,-0.786000,0.892000,0.433000,-72.100000,-51.700000,63.100000
59243,1201161020,279258,1207.305637400,0.277474500,-1.002000,0.912000,0.414000,-36.100000,-58.000000,11.200000
59244,1201170573,288811,1207.314535600,0.286372700,-1.221000,0.601000,0.338000,-9.000000,-49.600000,-48.100000
59245,1201179760,297998,1207.327645700,0.299482800,-1.255000,0.220000,0.306000,-14.900000,-29.200000,-68.700000
59246,1201189435,307673,1207.338663300,0.310500400,-1.133000,0.056000,0.356000,-28.800000,-13.600000,-82.800000
59247,1201199384,317622,1207.343605600,0.315442700,-1.105000,-0.140000,0.347000,-28.900000,-7.200000,-87.900000
59248,1201208693,326931,1207.359153000,0.330990100,-1.048000,-0.325000,0.324000,-15.100000,1.100000,-83.400000
59249,1201218245,336483,1207.359414700,0.331251800,-0.929000,-0.531000,0.300000,0.200000,6.700000,-77.500000
59250,1201228134,346372,1207.375626500,0.347463600,-0.775000,-0.644000,0.333000,25.700000,6.700000,-67.500000
59251,1201238144,356382,1207.380207200,0.352044300,-0.601000,-0.905000,0.339000,58.800000,-0.500000,-53.200000
59252,1201247087,365325,1207.389458000,0.361295100,-0.521000,-1.269000,0.286000,75.200000,-7.300000,-29.700000
59253,1201256731,374969,1207.402734600,0.374571700,-0.724000,-1.519000,0.160000,59.000000,0.800000,0.900000
59254,1201266803,385041,1207.417571700,0.389408800,-0.552000,-1.487000,0.196000,34.500000,13.800000,29.000000
59255,1201275959,394197,1207.418179500,0.390016600,-0.524000,-1.371000,0.209000,18.900000,17.100000,62.300000
59256,1201285512,403750,1207.439870500,0.411707600,-0.501000,-1.213000,0.200000,9.900000,20.600000,86.300000
59257,1201298757,416995,1207.440449000,0.412286100,-0.497000,-0.924000,0.203000,-0.200000,27.100000,111.200000
59258,1201305380,423618,1207.451353700,0.423190800,-0.495000,-0.823000,0.216000,-3.400000,26.100000,112.500000
59259,1201314383,432621,1207.466625900,0.438463000,-0.603000,-0.617000,0.231000,-11.600000,26.400000,114.000000
59260,1201323997,442235,1207.466753900,0.438591000,-0.716000,-0.430000,0.258000,-18.200000,26.600000,113.800000
59261,1201333855,452093,1207.478186100,0.450023200,-0.799000,-0.219000,0.291000,-25.600000,25.400000,108.000000
59262,1201343652,461890,1207.489522300,0.461359400,-0.823000,-0.003000,0.362000,-26.700000,18.600000,96.500000
59263,1201352839,471077,1207.492435400,0.464272500,-0.838000,0.180000,0.411000,-25.100000,5.500000,75.800000
59264,1201363032,481270,1207.509561600,0.481398700,-0.938000,0.335000,0.450000,-21.700000,-8.400000,53.200000
59265,1201372494,490732,1207.523201300,0.495038400,-1.105000,0.422000,0.482000,-14.000000,-23.000000,29.600000
59266,1201381741,499979,1207.523814400,0.495651500,-1.336000,0.323000,0.436000,-8.800000,-27.800000,5.600000
59267,1201391355,509593,1207.537941200,0.509778300,-1.358000,0.221000,0.452000,-19.900000,-22.900000,-17.300000
59268,1201401365,519603,1207.553128000,0.524965100,-1.304000,0.191000,0.498000,-30.500000,-26.600000,-40.600000
59269,1201411071,529309,1207.553350600,0.525187700,-1.362000,0.036000,0.479000,-40.800000,-29.700000,-77.300000
59270,1201420196,538434,1207.568453000,0.540290100,-1.424000,-0.075000,0.466000,-46.900000,-27.500000,-99.900000
59271,1201429871,548109,1207.575332100,0.547169200,-1.423000,-0.276000,0.452000,-44.800000,-22.700000,-115.000000
59272,1201439912,558150,1207.587116400,0.558953500,-1.396000,-0.467000,0.418000,-31.200000,-10.000000,-121.300000
59273,1201448977,567215,1207.599660200,0.571497300,-1.321000,-0.632000,0.378000,-21.800000,-1.400000,-121.900000
59274,1201458621,576859,1207.599677500,0.571514600,-1.147000,-0.782000,0.332000,17.100000,5.100000,-117.800000
59275,1201468784,587022,1207.613039600,0.584876700,-1.038000,-0.929000,0.279000,44.100000,12.600000,-109.900000
59276,1201478428,596666,1207.620340400,0.592177500,-0.817000,-1.323000,0.271000,53.100000,11.200000,-94.800000
59277,1201487493,605731,1207.627682100,0.599519200,-0.456000,-1.422000,0.161000,47.200000,-10.900000,-77.700000
59278,1201497656,615894,1207.644955900,0.616793000,-0.418000,-1.457000,-0.347000,39.400000,-36.800000,-57.300000
59279,1201507087,625325,1207.653349700,0.625186800,-0.547000,-1.530000,-0.542000,22.100000,-45.200000,-16.000000
59280,1201516304,634542,1207.662424700,0.634261800,-0.482000,-1.321000,-0.259000,8.000000,-58.800000,25.800000
59281,1201525948,644186,1207.672858900,0.644696000,-0.679000,-1.117000,-0.006000,2.500000,-62.300000,50.300000
59282,1201535989,654227,1207.680469000,0.652306100,-0.706000,-0.868000,0.159000,-0.400000,-51.400000,51.100000
59283,1201545572,663810,1207.687954300,0.659791400,-0.677000,-0.621000,0.238000,1.400000,-42.300000,46.200000
59284,1201554728,672966,1207.703204100,0.675041200,-0.719000,-0.510000,0.261000,5.000000,-31.400000,39.900000
59285,1201564373,682611,1207.703613400,0.675450500,-0.682000,-0.421000,0.285000,6.800000,-20.100000,34.100000
59286,1201574414,692652,1207.718798600,0.690635700,-0.659000,-0.360000,0.313000,6.900000,-15.900000,31.200000
59287,1201583936,702174,1207.725066900,0.696904000,-0.690000,-0.339000,0.365000,3.600000,-10.500000,26.900000
59288,1201593214,711452,1207.738316100,0.710153200,-0.665000,-0.285000,0.404000,1.200000,-6.800000,23.700000
59289,1201603316,721554,1207.748045000,0.719882100,-0.606000,-0.194000,0.440000,2.800000,-6.700000,16.900000
59290,1201613022,731260,1207.756050500,0.727887600,-0.593000,-0.212000,0.464000,5.900000,-7.700000,11.900000
59291,1201622056,740294,1207.763097700,0.734934800,-0.662000,-0.267000,0.511000,8.900000,-7.300000,6.500000
59292,1201631700,749938,1207.777677300,0.749514400,-0.731000,-0.347000,0.545000,9.100000,-4.900000,4.400000
59293,1201641649,759887,1207.785404800,0.757241900,-0.772000,-0.403000,0.554000,7.300000,-0.800000,6.000000
59294,1201651202,769440,1207.792965500,0.764802600,-0.796000,-0.432000,0.546000,5.900000,2.000000,10.300000
59295,1201660541,778779,1207.813139800,0.784976900,-0.813000,-0.436000,0.539000,5.100000,5.300000,12.000000
59296,1201670552,788790,1207.816012700,0.787849800,-0.813000,-0.430000,0.528000,6.300000,8.900000,9.800000
59297,1201680318,798556,1207.822682200,0.794519300,-0.793000,-0.429000,0.503000,7.800000,11.700000,4.500000
59298,1201689383,807621,1207.837771200,0.809608300,-0.777000,-0.460000,0.456000,6.100000,10.500000,-2.000000
59299,1201698996,817234,1207.838090100,0.809927200,-0.810000,-0.483000,0.435000,1.100000,11.600000,-8.000000
59300,1201708946,827184,1207.860221600,0.832058700,-0.837000,-0.482000,0.442000,-0.300000,14.000000,-11.400000
59301,1201718712,836950,1207.871596200,0.843433300,-0.831000,-0.495000,0.434000,-1.600000,15.400000,-16.700000
59302,1201727807,846045,1207.871605200,0.843442300,-0.831000,-0.515000,0.432000,-3.000000,16.300000,-21.000000
59303,1201737818,856056,1207.890688600,0.862525700,-0.837000,-0.531000,0.436000,-4.100000,16.900000,-22.500000
59304,1201748805,867043,1207.890698000,0.862535100,-0.856000,-0.543000,0.423000,-6.200000,18.500000,-22.900000
59305,1201757015,875253,1207.898474000,0.870311100,-0.844000,-0.548000,0.403000,-7.300000,19.200000,-22.500000
59306,1201766293,884531,1207.913341300,0.885178400,-0.822000,-0.554000,0.386000,-9.100000,19.100000,-22.700000
59307,1201776456,894694,1207.922055900,0.893893000,-0.800000,-0.558000,0.350000,-12.300000,17.600000,-22.800000
59308,1201785948,904186,1207.929820800,0.901657900,-0.800000,-0.548000,0.338000,-14.800000,15.500000,-20.300000
