meta_label,4
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
21369,206873716,0,235.925425400,0.000000000,-0.463000,-0.883000,0.291000,5.500000,14.100000,-19.100000
21370,206884062,10346,235.947408600,0.021983200,-0.441000,-0.892000,0.297000,8.800000,12.400000,-12.400000
21371,206892638,18922,235.947899300,0.022473900,-0.392000,-0.915000,0.262000,11.000000,11.000000,-15.800000
21372,206902252,28536,235.948606300,0.023180900,-0.421000,-0.921000,0.246000,14.000000,8.300000,-8.800000
21373,206912629,38913,235.970355600,0.044930200,-0.436000,-0.914000,0.277000,26.500000,5.700000,3.800000
21374,206929079,55363,235.970810800,0.045385400,-0.440000,-0.882000,0.372000,48.400000,2.200000,16.500000
21375,206932924,59208,235.978567600,0.053142200,-0.434000,-0.904000,0.393000,56.700000,0.500000,28.100000
21376,206941226,67510,235.998250000,0.072824600,-0.412000,-0.931000,0.416000,64.400000,2.000000,15.900000
21377,206951542,77826,236.000269600,0.074844200,-0.470000,-1.045000,0.403000,57.000000,12.300000,7.500000
21378,206960179,86463,236.001067800,0.075642400,-0.460000,-1.086000,0.320000,31.000000,27.400000,1.100000
21379,206969548,95832,236.018200800,0.092775400,-0.057000,-1.143000,-0.315000,-12.400000,-15.800000,46.600000
21380,206979711,105995,236.022735500,0.097310100,-0.272000,-0.976000,0.124000,-47.800000,-27.200000,99.600000
21381,206989112,115396,236.030980400,0.105555000,-0.746000,-1.055000,0.249000,-54.800000,-34.600000,89.600000
21382,206998390,124674,236.045047200,0.119621800,-0.517000,-0.224000,0.269000,-47.900000,-20.100000,62.600000
21383,207008492,134776,236.054710000,0.129284600,-0.522000,-0.007000,0.260000,-13.500000,-21.300000,2.200000
21384,207018045,144329,236.060696200,0.135270800,-0.741000,-0.569000,0.072000,0.900000,5.900000,-11.100000
