meta_label,4
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
52986,510870831,0,557.154535700,0.000000000,-0.327000,-0.887000,0.189000,-0.600000,-2.300000,-3.200000
52987,510880994,10163,557.154562900,0.000027200,-0.353000,-0.889000,0.209000,12.900000,2.900000,-4.200000
52988,510890577,19746,557.155586900,0.001051200,-0.360000,-0.936000,0.229000,22.400000,8.500000,-4.800000
52989,510899794,28963,557.176704400,0.022168700,-0.364000,-0.999000,0.239000,26.600000,13.300000,-4.600000
52990,510913437,42606,557.183970600,0.029434900,-0.327000,-1.084000,0.233000,26.500000,15.600000,2.400000
52991,510919358,48527,557.185945300,0.031409600,-0.319000,-1.109000,0.233000,25.100000,14.700000,7.600000
52992,510928910,58079,557.211755800,0.057220100,-0.300000,-1.155000,0.250000,19.500000,9.900000,14.800000
52993,510943529,72698,557.211972100,0.057436400,-0.316000,-1.092000,0.320000,11.300000,7.800000,22.500000
52994,510948138,77307,557.214582000,0.060046300,-0.333000,-1.041000,0.346000,12.500000,9.400000,23.800000
52995,510957782,86951,557.232379000,0.077843300,-0.354000,-0.956000,0.410000,15.900000,15.400000,21.300000
52996,510966969,96138,557.232388400,0.077852700,-0.364000,-0.881000,-0.309000,11.400000,2.300000,21.900000
52997,510976583,105752,557.237249200,0.082713500,0.177000,-0.949000,0.037000,-28.500000,-42.700000,42.600000
52998,510986532,115701,557.252418200,0.097882500,-0.401000,-0.859000,0.178000,-43.700000,-28.700000,57.100000
52999,510995993,125162,557.259476400,0.104940700,-0.422000,-0.481000,0.205000,-34.100000,-19.100000,48.900000
53000,511005454,134623,557.274125600,0.119589900,-0.228000,-0.250000,0.204000,-8.300000,-21.500000,22.700000
53001,511015496,144665,557.283073100,0.128537400,-0.261000,-0.396000,0.174000,17.500000,-27.000000,-6.100000
53002,511025231,154400,557.289448700,0.134913000,-0.852000,-1.330000,-0.082000,-11.600000,-11.400000,4.000000
53003,511034326,163495,557.307488900,0.152953200,-0.692000,-0.999000,0.055000,-88.200000,32.900000,15.300000
53004,511043940,173109,557.307504900,0.152969200,-0.238000,-0.493000,0.229000,-100.200000,36.400000,8.600000
53005,511054012,183181,557.320871800,0.166336100,-0.126000,-0.219000,0.246000,-70.200000,14.000000,-13.400000
53006,511063534,192703,557.334327900,0.179792200,-0.177000,-0.201000,0.193000,-5.900000,4.400000,-32.300000
53007,511072812,201981,557.334908300,0.180372600,-0.331000,-0.516000,0.127000,15.500000,6.200000,-43.500000
53008,511082945,212114,557.349915000,0.195379300,-0.261000,-0.692000,0.177000,37.300000,1.600000,-52.000000
53009,511092589,221758,557.371972800,0.217437100,-0.090000,-0.819000,0.237000,70.500000,-14.700000,-55.500000
53010,511101654,230823,557.372295200,0.217759500,-0.049000,-1.275000,0.253000,103.400000,-35.000000,-47.900000
53011,511111206,240375,557.382623600,0.228087900,-0.602000,-1.802000,0.029000,87.100000,-32.700000,-21.700000
53012,511121339,250508,557.386797600,0.232261900,-0.507000,-1.827000,0.068000,46.700000,-3.800000,6.200000
53013,511130800,259969,557.401883000,0.247347300,-0.508000,-1.711000,0.075000,21.200000,7.900000,34.100000
53014,511140078,269247,557.402510600,0.247974900,-0.487000,-1.495000,0.110000,7.000000,26.800000,49.800000
53015,511150150,279319,557.424586200,0.270050500,-0.497000,-1.340000,0.135000,2.900000,39.600000,56.500000
53016,511159764,288933,557.432181100,0.277645400,-0.466000,-1.284000,0.161000,-0.400000,49.600000,56.700000
53017,511169133,298302,557.432190300,0.277654600,-0.487000,-1.203000,0.177000,-5.100000,60.100000,59.300000
53018,511178564,307733,557.457541400,0.303005700,-0.512000,-1.106000,0.190000,-9.300000,62.000000,61.400000
53019,511188605,317774,557.460038500,0.305502800,-0.531000,-0.996000,0.215000,-11.800000,63.400000,60.000000
53020,511198432,327601,557.462552900,0.308017200,-0.522000,-0.910000,0.233000,-11.800000,60.900000,54.500000
53021,511207405,336574,557.478263900,0.323728200,-0.492000,-0.880000,0.234000,-15.800000,54.500000,45.100000
