meta_label,A
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
22190,214767988,0,261.085411400,0.000000000,-0.630000,-0.808000,0.251000,5.600000,-15.100000,-2.400000
22191,214777327,9339,261.100658600,0.015247200,-0.639000,-0.801000,0.268000,1.400000,-12.600000,-1.800000
22192,214786544,18556,261.111521800,0.026110400,-0.657000,-0.776000,0.286000,-1.000000,-9.000000,-2.100000
22193,214796189,28201,261.117861000,0.032449600,-0.649000,-0.728000,0.279000,-0.200000,-5.200000,-2.800000
22194,214806260,38272,261.135491000,0.050079600,-0.596000,-0.716000,0.273000,4.200000,-4.100000,-5.400000
22195,214815569,47581,261.135503200,0.050091800,-0.549000,-0.768000,0.263000,6.300000,-4.600000,-7.600000
22196,214824969,56981,261.138220600,0.052809200,-0.567000,-0.827000,0.280000,1.800000,-4.800000,-5.300000
22197,214835041,67053,261.156423200,0.071011800,-0.591000,-0.846000,0.326000,-7.700000,-2.200000,-0.800000
22198,214844777,76789,261.160526300,0.075114900,-0.591000,-0.790000,0.362000,-15.800000,3.300000,5.800000
22199,214853841,85853,261.172870500,0.087459100,-0.568000,-0.716000,0.408000,-19.900000,9.000000,7.000000
22200,214863485,95497,261.183588200,0.098176800,-0.574000,-0.689000,0.457000,-24.400000,16.200000,1.100000
22201,214873648,105660,261.194521200,0.109109800,-0.621000,-0.672000,0.511000,-36.800000,37.900000,-7.100000
22202,214882927,114939,261.197998200,0.112586800,-0.619000,-0.664000,0.522000,-43.000000,53.800000,-13.700000
22203,214892327,124339,261.213371000,0.127959600,0.533000,-0.060000,-0.168000,36.600000,-73.500000,7.000000
22204,214902490,134502,261.230028000,0.144616600,-0.341000,-1.173000,0.170000,25.700000,-81.500000,24.600000
22205,214911951,143963,261.230279600,0.144868200,-1.481000,-1.330000,0.191000,22.800000,-38.200000,43.000000
22206,214921199,153211,261.251267300,0.165855900,-0.884000,-1.147000,0.208000,5.500000,-23.500000,53.300000
22207,214930751,162763,261.251278700,0.165867300,-1.159000,-1.116000,0.218000,-7.100000,0.100000,42.200000
22208,214940701,172713,261.274046800,0.188635400,-1.218000,-1.080000,0.203000,-13.900000,21.300000,35.900000
22209,214950406,182418,261.274390400,0.188979000,-0.738000,-0.149000,0.466000,54.600000,37.100000,1.400000
22210,214959623,191635,261.281951800,0.196540400,-0.664000,-1.084000,0.369000,134.600000,9.500000,-34.900000
22211,214969664,201676,261.296444400,0.211033000,-0.836000,-1.604000,0.286000,127.100000,18.500000,-36.700000
22212,214980621,212633,261.296745500,0.211334100,-0.521000,-1.583000,0.315000,91.400000,9.800000,-12.500000
22213,214988709,220721,261.308068500,0.222657100,-0.511000,-1.591000,0.293000,83.900000,5.100000,17.600000
22214,214998078,230090,261.318581500,0.233170100,-0.390000,-1.490000,0.260000,63.600000,-3.300000,54.500000
22215,215008150,240162,261.325900500,0.240489100,-0.281000,-1.172000,0.237000,41.500000,-14.300000,81.600000
22216,215017886,249898,261.333529700,0.248118300,-0.261000,-0.716000,0.168000,25.500000,-20.900000,88.700000
22217,215026950,258962,261.348547600,0.263136200,-0.339000,-0.286000,0.202000,25.800000,-22.100000,80.800000
22218,215036686,268698,261.356321100,0.270909700,-0.306000,0.056000,0.173000,35.600000,-27.200000,61.100000
22219,215046666,278678,261.364588700,0.279177300,-0.429000,-0.001000,0.119000,30.600000,-25.600000,43.600000
22220,215055822,287834,261.386008300,0.300596900,-0.472000,-0.025000,0.137000,7.900000,-22.100000,35.400000
22221,215065375,297387,261.408505300,0.323093900,-0.309000,0.300000,0.259000,0.300000,-31.000000,21.800000
22222,215075691,307703,261.409053400,0.323642000,-0.376000,0.424000,0.232000,27.400000,-45.000000,-9.800000
22223,215085060,317072,261.409547200,0.324135800,-0.995000,-0.219000,-0.064000,36.700000,-20.600000,-34.700000
22224,215094247,326259,261.434223800,0.348812400,-0.766000,-0.421000,0.001000,-7.700000,29.100000,-23.400000
22225,215115580,347592,261.434244000,0.348832600,-0.360000,-0.354000,0.207000,-26.100000,32.300000,-37.500000
22226,215119395,351407,261.436882100,0.351470700,-0.365000,-0.354000,0.207000,-24.600000,31.600000,-39.100000
22227,215123638,355650,261.457198300,0.371786900,-0.425000,-0.465000,0.208000,-25.200000,33.200000,-38.900000
22228,215138104,370116,261.457338400,0.371927000,-0.613000,-0.832000,0.260000,-36.200000,43.100000,-29.300000
22229,215142896,374908,261.461262700,0.375851300,-0.601000,-0.892000,0.260000,-38.300000,42.700000,-26.300000
22230,215152418,384430,261.476869400,0.391458000,-0.672000,-1.061000,0.332000,-40.700000,41.300000,-17.400000
22231,215161574,393586,261.483439700,0.398028300,-0.807000,-1.085000,0.379000,-36.500000,40.700000,-7.400000
22232,215171157,403169,261.483843600,0.398432200,-0.951000,-1.119000,0.408000,-25.700000,39.300000,2.600000
22233,215181382,413394,261.498974600,0.413563200,-1.144000,-1.139000,0.413000,-18.600000,40.700000,11.200000
22234,215190660,422672,261.505711300,0.420299900,-1.152000,-1.063000,0.435000,-11.300000,38.100000,13.100000
22235,215199999,432011,261.514160500,0.428749100,-1.141000,-0.961000,0.440000,-0.300000,32.700000,10.800000
22236,215210131,442143,261.536637300,0.451225900,-1.047000,-0.907000,0.416000,14.500000,21.900000,1.700000
22237,215219623,451635,261.536646600,0.451235200,-1.179000,-1.104000,0.220000,18.900000,13.800000,-8.500000
22238,215228840,460852,261.558430400,0.473019000,-0.437000,-0.963000,0.322000,8.800000,-3.100000,-8.900000
22239,215238454,470466,261.559196200,0.473784800,-0.187000,-0.855000,0.077000,41.600000,-89.000000,-3.300000
22240,215248587,480599,261.571354400,0.485943000,-0.723000,-1.209000,0.133000,43.500000,-152.400000,21.300000
22241,215258048,490060,261.580656600,0.495245200,-0.894000,-1.090000,0.447000,25.700000,-153.800000,38.900000
22242,215267265,499277,261.582093200,0.496681800,-1.204000,-0.925000,0.653000,5.000000,-112.200000,41.200000
22243,215277336,509348,261.596264700,0.510853300,-1.135000,-0.493000,0.852000,-1.200000,-62.000000,4.900000
22244,215287133,519145,261.603600100,0.518188700,-0.823000,-0.347000,0.848000,-3.200000,-29.800000,-38.100000
22245,215296167,528179,261.611022400,0.525611000,-0.820000,-0.538000,0.779000,-19.900000,6.500000,-62.900000
22246,215305751,537763,261.627458400,0.542047000,-0.590000,-0.523000,0.695000,-36.000000,42.100000,-74.300000
22247,215316005,548017,261.648222900,0.562811500,-0.164000,-0.393000,0.340000,-35.300000,70.500000,-75.300000
22248,215325375,557387,261.648937100,0.563525700,0.911000,-1.067000,0.004000,8.700000,-35.600000,-25.100000
22249,215334592,566604,261.655747300,0.570335900,-1.286000,-1.459000,-0.053000,-10.600000,-39.500000,70.000000
22250,215344236,576248,261.665941400,0.580530000,0.078000,-0.920000,0.283000,-35.900000,8.000000,73.600000
22251,215354399,586411,261.679262200,0.593850800,-0.121000,-0.530000,0.281000,-23.600000,-25.400000,55.400000
22252,215363464,595476,261.680004100,0.594592700,-0.770000,-0.068000,0.139000,45.200000,10.100000,18.500000
22253,215373017,605029,261.685909000,0.600497600,-0.783000,-0.815000,0.168000,83.300000,39.000000,28.200000
22254,215383149,615161,261.704729100,0.619317700,-0.728000,-1.087000,0.229000,84.300000,59.400000,34.000000
22255,215392794,624806,261.716963400,0.631552000,-0.529000,-1.237000,0.247000,64.300000,63.100000,40.100000
22256,215401919,633931,261.716974100,0.631562700,-0.391000,-1.145000,0.293000,49.600000,55.600000,50.000000
22257,215412082,644094,261.731745700,0.646334300,-0.405000,-0.977000,0.283000,41.500000,47.300000,57.700000
22258,215421543,653555,261.738263400,0.652852000,-0.446000,-0.957000,0.263000,19.900000,37.600000,65.800000
22259,215430822,662834,261.747989400,0.662578000,-0.494000,-0.613000,0.290000,0.900000,23.100000,73.000000
22260,215440344,672356,261.760858500,0.675447100,-0.597000,-0.229000,0.273000,0.800000,7.200000,64.200000
22261,215450415,682427,261.768361300,0.682949900,-0.776000,-0.027000,0.170000,10.700000,-4.900000,43.100000
22262,215460029,692041,261.783305400,0.697894000,-0.796000,-0.014000,-0.038000,18.500000,-19.600000,20.000000
22263,215469246,701258,261.791221200,0.705809800,-0.928000,-0.080000,-0.091000,22.500000,-45.000000,6.900000
22264,215478830,710842,261.802780400,0.717369000,-1.200000,-0.219000,0.026000,21.600000,-55.000000,-4.900000
