meta_label,a
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
671,1268119367,0,1284.946840000,0.000000000,-0.470000,-1.031000,0.146000,9.800000,-19.800000,11.400000
672,1268129012,9645,1284.959756100,0.012916100,-0.555000,-1.037000,0.166000,3.300000,-12.600000,15.600000
673,1268139205,19838,1284.974623600,0.027783600,-0.537000,-0.945000,0.157000,0.600000,-2.100000,22.400000
674,1268148392,29025,1284.975009600,0.028169600,-0.545000,-0.954000,0.136000,-0.400000,4.300000,27.100000
675,1268157884,38517,1284.989768500,0.042928500,-0.550000,-0.954000,0.155000,-1.900000,14.600000,36.600000
676,1268167833,48466,1284.997635900,0.050795900,-0.499000,-0.835000,0.203000,2.900000,14.700000,39.400000
677,1268177722,58355,1285.008932900,0.062092900,-0.463000,-0.690000,0.225000,38.000000,12.300000,32.700000
678,1268186694,67327,1285.019693600,0.072853600,-0.516000,-0.697000,0.243000,60.100000,11.100000,30.500000
679,1268196339,76972,1285.020600600,0.073760600,-0.512000,-0.721000,0.254000,72.600000,9.300000,23.300000
680,1268206410,87043,1285.034794100,0.087954100,-0.488000,-0.763000,0.271000,74.400000,5.900000,8.100000
681,1268216055,96688,1285.042528200,0.095688200,-0.410000,-0.826000,0.282000,68.600000,-2.000000,-5.700000
682,1268225211,105844,1285.050182800,0.103342800,-0.376000,-0.881000,0.293000,54.300000,-12.800000,-13.500000
683,1268235374,116007,1285.067100400,0.120260400,-0.326000,-0.895000,0.288000,36.400000,-27.000000,-18.900000
684,1268244927,125560,1285.072152400,0.125312400,-0.380000,-0.930000,0.249000,13.200000,-38.300000,-16.600000
685,1268254022,134655,1285.080252200,0.133412200,-0.421000,-0.912000,0.204000,-13.500000,-42.900000,-13.900000
686,1268263666,144299,1285.095249100,0.148409100,-0.457000,-0.854000,0.176000,-36.900000,-41.400000,-7.400000
687,1268273707,154340,1285.105332200,0.158492200,-0.539000,-0.801000,0.161000,-56.000000,-28.600000,-5.800000
688,1268283199,163832,1285.109631700,0.162791700,-0.551000,-0.714000,0.154000,-67.100000,-15.300000,-10.700000
689,1268292446,173079,1285.124877700,0.178037700,-0.502000,-0.684000,0.144000,-66.500000,-3.600000,-15.600000
690,1268302579,183212,1285.132497800,0.185657800,-0.527000,-0.744000,0.125000,-69.300000,10.800000,-18.500000
691,1268312162,192795,1285.141839900,0.194999900,-0.523000,-0.808000,0.093000,-63.900000,26.800000,-22.000000
692,1268321379,202012,1285.156049600,0.209209600,-0.482000,-0.982000,0.067000,-56.700000,41.700000,-21.100000
