meta_label,a
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
42320,1668574943,0,1685.334025600,0.000000000,-0.497000,-0.848000,0.368000,-7.100000,10.600000,-9.000000
42321,1668584465,9522,1685.341463800,0.007438200,-0.508000,-0.871000,0.358000,-12.500000,9.900000,-10.800000
42322,1668593804,18861,1685.347897500,0.013871900,-0.525000,-0.852000,0.345000,-17.600000,10.300000,-9.800000
42323,1668603906,28963,1685.362951600,0.028926000,-0.520000,-0.767000,0.377000,-16.600000,14.700000,-11.200000
42324,1668613398,38455,1685.371912100,0.037886500,-0.523000,-0.688000,0.420000,-1.000000,20.400000,-14.500000
42325,1668622584,47641,1685.378590200,0.044564600,-0.508000,-0.692000,0.441000,11.000000,26.400000,-17.300000
42326,1668632229,57286,1685.399769700,0.065744100,-0.488000,-0.789000,0.417000,16.200000,30.500000,-15.400000
42327,1668642270,67327,1685.400243000,0.066217400,-0.457000,-0.853000,0.369000,16.100000,32.000000,-11.000000
42328,1668651731,76788,1685.409718600,0.075693000,-0.440000,-0.929000,0.368000,12.800000,30.800000,-2.800000
42329,1668661100,86157,1685.423468300,0.089442700,-0.440000,-0.967000,0.375000,8.800000,27.900000,6.500000
42330,1668671172,96229,1685.433844300,0.099818700,-0.454000,-0.982000,0.380000,3.300000,25.100000,16.500000
42331,1668680694,105751,1685.438007300,0.103981700,-0.454000,-0.968000,0.398000,-1.200000,22.600000,25.500000
42332,1668689881,114938,1685.452997500,0.118971900,-0.453000,-0.917000,0.395000,-5.500000,18.700000,30.400000
42333,1668699556,124613,1685.453368500,0.119342900,-0.484000,-0.809000,0.401000,-6.400000,15.100000,33.000000
42334,1668709475,134532,1685.472686300,0.138660700,-0.438000,-0.571000,0.082000,0.500000,13.700000,32.800000
42335,1668719272,144329,1685.475528400,0.141502800,-0.081000,-0.855000,-0.154000,18.700000,-44.800000,33.500000
42336,1668728428,153485,1685.482658100,0.148632500,-0.572000,-0.864000,0.274000,13.100000,-37.600000,38.300000
42337,1668738377,163434,1685.497978500,0.163952900,-0.864000,-0.796000,0.307000,7.600000,-21.400000,18.100000
42338,1668748052,173109,1685.511483400,0.177457800,-0.592000,-0.567000,0.338000,9.300000,-22.600000,6.500000
42339,1668757238,182295,1685.513784800,0.179759200,-0.588000,-0.587000,0.348000,7.300000,-26.600000,-11.400000
42340,1668766883,191940,1685.530706900,0.196681300,-0.498000,-0.602000,0.333000,1.700000,-36.600000,-21.600000
42341,1668777107,202164,1685.535122200,0.201096600,-0.506000,-0.656000,0.264000,-10.300000,-41.100000,-28.300000
42342,1668786538,211595,1685.543480000,0.209454400,-0.597000,-0.651000,0.237000,-23.100000,-36.100000,-27.300000
42343,1668795663,220720,1685.558780900,0.224755300,-0.524000,-0.602000,0.245000,-27.400000,-27.000000,-29.200000
42344,1668805491,230548,1685.558791300,0.224765700,-0.519000,-0.593000,0.254000,-23.300000,-17.200000,-34.500000
42345,1668815410,240467,1685.573195500,0.239169900,-0.486000,-0.626000,0.257000,-12.200000,-2.300000,-41.400000
42346,1668824596,249653,1685.581628500,0.247602900,-0.365000,-0.781000,0.273000,2.400000,11.400000,-49.400000
42347,1668834179,259236,1685.587469200,0.253443600,-0.313000,-1.118000,0.260000,5.700000,18.900000,-38.300000
42348,1668844129,269186,1685.604371500,0.270345900,-0.296000,-1.368000,0.253000,-5.700000,25.300000,-20.700000
42349,1668853804,278861,1685.610110900,0.276085300,-0.287000,-1.468000,0.260000,-31.200000,36.400000,0.900000
42350,1668862990,288047,1685.618896000,0.284870400,-0.279000,-1.451000,0.279000,-41.500000,42.000000,23.500000
42351,1668872635,297692,1685.632836900,0.298811300,-0.244000,-1.353000,0.353000,-38.600000,41.400000,47.400000
42352,1668882676,307733,1685.644955100,0.310929500,-0.255000,-1.275000,0.411000,-26.900000,37.100000,60.000000
42353,1668892045,317102,1685.648289200,0.314263600,-0.280000,-1.089000,0.454000,-8.300000,28.100000,66.000000
42354,1668901415,326472,1685.664495200,0.330469600,-0.287000,-0.875000,0.514000,18.600000,10.700000,66.600000
42355,1668911548,336605,1685.670103400,0.336077800,-0.333000,-0.698000,0.514000,49.800000,-10.900000,56.200000
42356,1668921253,346310,1685.682361700,0.348336100,-0.420000,-0.602000,0.502000,79.400000,-30.300000,39.000000
42357,1668930317,355374,1685.692917200,0.358891600,-0.488000,-0.693000,0.434000,94.400000,-46.100000,19.100000
42358,1668939931,364988,1685.694309700,0.360284100,-0.635000,-0.871000,0.311000,78.500000,-57.800000,10.600000
42359,1668950033,375090,1685.708516600,0.374491000,-0.776000,-0.938000,0.183000,38.100000,-57.800000,32.800000
42360,1668959647,384704,1685.719333700,0.385308100,-0.859000,-0.802000,0.167000,-6.300000,-38.700000,46.700000
42361,1668968742,393799,1685.722594200,0.388568600,-0.790000,-0.582000,0.187000,-43.000000,-32.000000,41.500000
42362,1668978997,404054,1685.737919000,0.403893400,-0.596000,0.046000,0.379000,-37.100000,-23.000000,7.100000
42363,1668988427,413484,1685.745076600,0.411051000,-0.538000,0.083000,0.380000,21.200000,-21.900000,-21.700000
