meta_label,a
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
45424,438162241,0,453.747065500,0.000000000,-0.511000,-0.874000,0.197000,4.900000,2.100000,3.500000
45425,438171886,9645,453.747429600,0.000364100,-0.525000,-0.874000,0.213000,6.200000,2.800000,4.400000
45426,438181927,19686,453.769901000,0.022835500,-0.547000,-0.889000,0.244000,6.100000,9.200000,9.500000
45427,438191327,29086,453.770594800,0.023529300,-0.576000,-0.872000,0.280000,6.200000,18.600000,15.400000
45428,438200666,38425,453.779607800,0.032542300,-0.568000,-0.846000,0.334000,10.900000,29.800000,19.000000
45429,438210768,48527,453.793272900,0.046207400,-0.511000,-0.838000,0.334000,21.700000,38.100000,21.100000
45430,438220351,58110,453.799934300,0.052868800,-0.458000,-0.854000,0.297000,30.000000,37.200000,34.000000
45431,438229538,67297,453.807170300,0.060104800,-0.422000,-0.906000,0.308000,33.200000,31.600000,39.600000
45432,438239152,76911,453.822485100,0.075419600,-0.449000,-0.984000,0.338000,30.000000,28.000000,43.300000
45433,438249193,86952,453.831546700,0.084481200,-0.526000,-0.995000,0.369000,22.800000,27.100000,51.900000
45434,438258623,96382,453.837435800,0.090370300,-0.574000,-0.929000,0.397000,15.900000,27.900000,62.600000
45435,438267993,105752,453.855636800,0.108571300,-0.556000,-0.853000,0.419000,12.600000,28.400000,66.400000
45436,438277943,115702,453.867144300,0.120078800,-0.057000,-1.342000,-0.502000,-6.900000,9.000000,47.900000
45437,438287709,125468,453.869613600,0.122548100,-0.884000,-0.485000,0.247000,-54.900000,-17.900000,92.900000
45438,438297018,134777,453.882370600,0.135305100,-0.565000,-0.554000,0.305000,-39.600000,-24.700000,62.400000
45439,438306418,144177,453.882886700,0.135821200,-0.976000,-0.416000,0.265000,-22.300000,-23.300000,33.100000
45440,438316459,154218,453.897489100,0.150423600,-0.806000,-0.238000,0.278000,-5.400000,-11.600000,3.100000
45441,438326103,163862,453.904905200,0.157839700,-0.572000,-0.274000,0.345000,15.400000,-26.800000,-27.600000
45442,438335290,173049,453.912949600,0.165884100,-0.684000,-0.417000,0.280000,14.900000,-28.900000,-57.800000
45443,438345331,183090,453.931615800,0.184550300,-0.701000,-0.525000,0.185000,1.600000,-21.400000,-68.800000
45444,438355067,192826,453.934438500,0.187373000,-0.704000,-0.730000,0.129000,-19.900000,-9.000000,-64.300000
45445,438364131,201890,453.942632200,0.195566700,-0.672000,-0.697000,0.107000,-40.100000,6.300000,-61.400000
45446,438373745,211504,453.957627600,0.210562100,-0.450000,-0.709000,0.118000,-49.500000,17.000000,-61.200000
45447,438383969,221728,453.967192700,0.220127200,-0.357000,-0.738000,0.115000,-53.100000,22.400000,-59.700000
45448,438393369,231128,453.972675400,0.225609900,-0.258000,-0.747000,0.100000,-43.800000,23.400000,-57.200000
45449,438402617,240376,453.994975400,0.247909900,-0.223000,-0.789000,0.087000,-27.600000,23.200000,-57.600000
45450,438412322,250081,453.994985100,0.247919600,-0.272000,-0.990000,0.081000,-14.500000,22.300000,-51.000000
45451,438422272,260031,454.007609700,0.260544200,-0.328000,-1.163000,0.084000,-10.600000,24.000000,-27.300000
45452,438431458,269217,454.027334700,0.280269200,-0.383000,-1.282000,0.097000,-9.200000,26.700000,-7.000000
45453,438441102,278861,454.027638300,0.280572800,-0.497000,-1.352000,0.112000,-10.500000,27.300000,21.200000
45454,438451144,288903,454.032360500,0.285295000,-0.526000,-1.307000,0.148000,-5.700000,27.500000,38.700000
45455,438460910,298669,454.048353500,0.301288000,-0.620000,-1.259000,0.157000,0.100000,30.900000,48.300000
45456,438469883,307642,454.048363000,0.301297500,-0.595000,-1.177000,0.202000,10.200000,26.900000,46.300000
45457,438479558,317317,454.063964100,0.316898600,-0.598000,-1.086000,0.235000,21.800000,17.500000,42.100000
45458,438489721,327480,454.069673300,0.322607800,-0.599000,-1.038000,0.241000,28.000000,6.200000,33.900000
45459,438498877,336636,454.078576600,0.331511100,-0.624000,-0.947000,0.258000,36.500000,-4.900000,28.700000
45460,438508399,346158,454.092790300,0.345724800,-0.605000,-0.821000,0.281000,48.400000,-17.800000,19.600000
45461,438518745,356504,454.102163300,0.355097800,-0.607000,-0.692000,0.289000,61.500000,-30.500000,6.800000
45462,438528084,365843,454.107326700,0.360261200,-0.674000,-0.712000,0.271000,68.300000,-38.400000,-7.200000
45463,438537210,374969,454.123896300,0.376830800,-0.767000,-0.848000,0.209000,54.300000,-36.800000,-3.800000
45464,438546854,384613,454.129679300,0.382613800,-0.801000,-0.841000,0.168000,24.200000,-25.900000,16.300000
45465,438556865,394624,454.140559800,0.393494300,-0.844000,-0.832000,0.132000,-10.600000,0.300000,24.800000
45466,438566479,404238,454.144681500,0.397616000,-0.908000,-0.627000,0.110000,-49.500000,24.600000,29.700000
45467,438575635,413394,454.153660400,0.406594900,-0.433000,-0.114000,0.224000,-21.200000,21.600000,4.800000
45468,438585828,423587,454.167744000,0.420678500,-0.357000,-0.150000,0.212000,8.300000,13.300000,-19.300000
45469,438595473,433232,454.181976200,0.434910700,-0.295000,-0.303000,0.213000,32.700000,2.900000,-40.600000
45470,438604537,442296,454.190034900,0.442969400,-0.247000,-0.457000,0.216000,52.000000,-8.600000,-53.900000
45471,438614151,451910,454.197526700,0.450461200,-0.348000,-0.627000,0.209000,64.300000,-18.900000,-63.000000
45472,438624192,461951,454.204471800,0.457406300,-1.456000,-1.625000,-0.328000,25.100000,16.700000,-65.600000
45473,438633623,471382,454.220229700,0.473164200,-0.882000,-1.308000,0.086000,-83.900000,112.300000,7.400000
45474,438642962,480721,454.220689600,0.473624100,-0.205000,-0.624000,0.288000,-70.700000,103.300000,30.000000
45475,438653064,490823,454.235934100,0.488868600,-0.390000,-0.862000,0.199000,-51.300000,92.000000,8.100000
45476,438662678,500437,454.257397300,0.510331800,-0.261000,-0.735000,0.229000,-42.900000,74.100000,5.400000
45477,438671864,509623,454.257786200,0.510720700,-0.418000,-0.760000,0.193000,-32.900000,58.400000,5.200000
45478,438681478,519237,454.274465000,0.527399500,-0.444000,-0.726000,0.179000,-24.100000,37.300000,1.400000
45479,438691428,529187,454.279651300,0.532585800,-0.377000,-0.618000,0.105000,-3.300000,13.100000,-7.700000
45480,438701224,538983,454.287428300,0.540362800,-0.321000,-0.653000,-0.262000,27.500000,-23.000000,-11.400000
45481,438710289,548048,454.292781900,0.545716400,-0.284000,-0.667000,-0.229000,49.600000,-63.900000,-10.600000
45482,438720238,557997,454.311609300,0.564543800,-0.598000,-0.885000,-0.027000,59.100000,-80.900000,-7.500000
45483,438731409,569168,454.311618900,0.564553400,-0.847000,-1.057000,0.125000,56.400000,-82.300000,-2.200000
45484,438739466,577225,454.317570600,0.570505100,-0.851000,-1.031000,0.202000,51.300000,-79.700000,0.100000
45485,438748744,586503,454.339275400,0.592209900,-0.877000,-1.044000,0.219000,42.000000,-68.800000,4.900000
45486,438758694,596453,454.340619200,0.593553700,-0.809000,-1.024000,0.218000,30.700000,-56.500000,10.000000
45487,438768582,606341,454.349507000,0.602441500,-0.751000,-0.973000,0.241000,20.000000,-44.800000,7.600000
45488,438777585,615344,454.371536000,0.624470500,-0.712000,-0.948000,0.281000,10.400000,-32.300000,6.300000
45489,438787504,625263,454.371552400,0.624486900,-0.663000,-0.929000,0.320000,0.500000,-20.500000,0.800000
45490,438797423,635182,454.377369400,0.630303900,-0.587000,-0.875000,0.360000,-7.800000,-9.100000,-3.300000
45491,438806396,644155,454.400463300,0.653397800,-0.523000,-0.808000,0.377000,-11.900000,-4.100000,-8.400000
45492,438816041,653800,454.401033300,0.653967800,-0.489000,-0.759000,0.382000,-12.800000,-1.200000,-13.100000
45493,438826204,663963,454.407270800,0.660205300,-0.468000,-0.719000,0.378000,-9.500000,0.500000,-15.400000
45494,438835726,673485,454.426062000,0.678996500,-0.457000,-0.719000,0.345000,-7.800000,2.200000,-19.300000
45495,438844913,682672,454.429772700,0.682707200,-0.457000,-0.740000,0.311000,-6.300000,3.300000,-21.400000
45496,438854526,692285,454.430083200,0.683017700,-0.468000,-0.743000,0.264000,-5.800000,4.200000,-22.700000
45497,438864415,702174,454.445145300,0.698079800,-0.435000,-0.728000,0.227000,-5.200000,3.500000,-24.800000
45498,438873968,711727,454.452291300,0.705225800,-0.449000,-0.737000,0.227000,-3.500000,1.500000,-27.900000
45499,438883337,721096,454.467166500,0.720101000,-0.485000,-0.771000,0.228000,-2.800000,1.900000,-32.100000
45500,438893470,731229,454.476362600,0.729297100,-0.522000,-0.822000,0.241000,-3.600000,4.100000,-35.100000
45501,438903175,740934,454.482730500,0.735665000,-0.548000,-0.866000,0.245000,-6.900000,7.600000,-35.600000
