meta_label,E
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
19613,820118424,0,826.332076000,0.000000000,-0.276000,-1.050000,0.163000,25.600000,-13.500000,-13.400000
19614,820127702,9278,826.342495000,0.010419000,-0.303000,-1.037000,0.245000,26.000000,-12.700000,-13.600000
19615,820137346,18922,826.350273300,0.018197300,-0.334000,-0.989000,0.317000,33.800000,-4.700000,-15.600000
19616,820147387,28963,826.357398000,0.025322000,-0.336000,-0.966000,0.410000,43.000000,7.600000,-18.600000
19617,820156696,38272,826.373029000,0.040953000,-0.343000,-0.977000,0.436000,53.600000,22.700000,-20.900000
19618,820166249,47825,826.380567300,0.048491300,-0.304000,-1.019000,0.454000,63.000000,36.200000,-21.400000
19619,820176381,57957,826.390820300,0.058744300,-0.198000,-1.071000,0.457000,70.200000,45.900000,-21.100000
19620,820186087,67663,826.395127700,0.063051700,-0.118000,-1.166000,0.394000,68.700000,51.800000,-16.500000
19621,820195029,76605,826.408040900,0.075964900,-0.056000,-1.240000,0.287000,56.700000,51.300000,0.300000
19622,820204643,86219,826.417694100,0.085618100,-0.052000,-1.307000,0.221000,30.000000,48.700000,22.700000
19623,820214836,96412,826.425378200,0.093302200,-0.103000,-1.281000,0.231000,-8.400000,50.300000,56.900000
19624,820224175,105751,826.432431600,0.100355600,-0.196000,-1.147000,0.307000,-51.900000,58.600000,77.900000
19625,820233454,115030,826.447765000,0.115689000,-0.308000,-0.964000,0.385000,-94.500000,73.900000,91.100000
19626,820243556,125132,826.455220400,0.123144400,0.573000,-0.115000,-0.260000,-113.800000,-61.200000,78.200000
19627,820253139,134715,826.463632000,0.131556000,0.366000,-0.308000,0.346000,-75.600000,-107.700000,64.500000
19628,820262325,143901,826.477753200,0.145677200,-0.922000,-1.006000,0.067000,-131.100000,-69.200000,90.300000
19629,820272000,153576,826.478106000,0.146030000,-0.991000,-0.139000,0.253000,-136.400000,-28.300000,48.700000
19630,820281950,163526,826.502182200,0.170106200,-0.607000,-0.003000,0.200000,-135.200000,-15.500000,12.400000
19631,820291533,173109,826.502568900,0.170492900,-0.604000,0.362000,0.233000,-110.300000,1.700000,-38.100000
19632,820300781,182357,826.507890200,0.175814200,-0.542000,0.428000,0.179000,-57.500000,8.100000,-83.500000
19633,820310852,192428,826.523462700,0.191386700,-0.538000,0.111000,0.076000,3.100000,22.400000,-121.800000
19634,820320466,202042,826.530110200,0.198034200,-0.388000,-0.385000,0.042000,47.000000,40.100000,-143.900000
19635,820329622,211198,826.541578600,0.209502600,-0.048000,-0.873000,0.053000,78.000000,45.100000,-152.000000
19636,820339205,220781,826.553624300,0.221548300,0.169000,-1.284000,0.032000,93.200000,41.300000,-144.800000
19637,820349277,230853,826.559958400,0.227882400,0.383000,-1.526000,0.051000,112.400000,35.900000,-107.400000
19638,820358982,240558,826.577364900,0.245288900,0.394000,-1.949000,0.004000,120.300000,27.900000,-64.100000
19639,820368077,249653,826.582748400,0.250672400,0.214000,-1.998000,-0.095000,81.900000,36.700000,-10.500000
19640,820377783,259359,826.591591200,0.259515200,0.352000,-1.998000,-0.036000,8.000000,35.100000,45.300000
19641,820387946,269522,826.604767100,0.272691100,0.235000,-1.998000,-0.014000,-34.600000,37.200000,95.800000
19642,820396949,278525,826.615646000,0.283570000,0.165000,-1.992000,0.076000,-64.400000,34.400000,133.000000
19643,820406532,288108,826.615661300,0.283585300,0.088000,-1.710000,0.160000,-84.900000,22.700000,155.100000
19644,820416726,298302,826.629234100,0.297158100,-0.133000,-1.371000,0.205000,-101.400000,11.400000,171.100000
19645,820426370,307946,826.637066600,0.304990600,-0.545000,-0.823000,0.224000,-101.100000,8.300000,174.500000
19646,820435435,317011,826.642853200,0.310777200,-0.701000,-0.316000,0.281000,-76.200000,7.300000,155.900000
19647,820445568,327144,826.657868200,0.325792200,-0.959000,-0.039000,0.298000,-34.700000,7.700000,118.200000
19648,820455029,336605,826.664876700,0.332800700,-1.080000,-0.069000,0.324000,3.200000,6.800000,74.600000
19649,820464307,345883,826.672791200,0.340715200,-1.116000,-0.203000,0.323000,33.200000,7.100000,31.100000
19650,820473829,355405,826.689416400,0.357340400,-0.886000,-0.290000,0.306000,59.000000,-5.700000,-24.100000
19651,820483901,365477,826.694988900,0.362912900,-0.391000,-0.456000,0.115000,95.800000,-86.200000,-52.300000
19652,820493576,375152,826.702889100,0.370813100,-0.476000,-0.938000,-0.085000,105.500000,-138.000000,-51.600000
19653,820502701,384277,826.726228100,0.394152100,-0.670000,-1.180000,0.072000,92.000000,-166.300000,-36.500000
19654,820512284,393860,826.726249500,0.394173500,-0.808000,-1.134000,0.343000,81.600000,-168.900000,-24.100000
19655,820522386,403962,826.732775400,0.400699400,-0.959000,-1.092000,0.630000,65.200000,-143.900000,-24.200000
19656,820531695,413271,826.747980600,0.415904600,-0.943000,-1.014000,0.698000,39.400000,-105.000000,-31.000000
19657,820541187,422763,826.748424400,0.416348400,-0.804000,-0.955000,0.703000,9.300000,-67.300000,-46.300000
19658,820551136,432712,826.767977800,0.435901800,-0.518000,-0.843000,0.678000,-9.800000,-35.900000,-60.100000
19659,820561025,442601,826.770201100,0.438125100,-0.342000,-0.783000,0.652000,-14.800000,-1.600000,-66.600000
19660,820569967,451543,826.777499100,0.445423100,-0.042000,-0.797000,0.532000,-8.400000,26.700000,-67.800000
19661,820579581,461157,826.793142800,0.461066800,0.194000,-0.855000,0.379000,1.500000,42.900000,-62.000000
19662,820589744,471320,826.801953300,0.469877300,0.278000,-0.993000,0.364000,7.900000,58.500000,-34.300000
19663,820599053,480629,826.808807100,0.476731100,0.639000,-1.128000,-0.116000,15.200000,78.800000,31.400000
19664,820608453,490029,826.824115900,0.492039900,0.996000,-1.243000,-0.009000,19.200000,-83.600000,100.400000
19665,820618463,500039,826.830191900,0.498115900,-0.433000,-1.472000,-0.074000,-2.800000,-43.100000,135.300000
19666,820628230,509806,826.838363400,0.506287400,0.054000,-0.610000,-0.059000,60.400000,-21.500000,92.800000
19667,820637325,518901,826.854158100,0.522082100,-0.418000,-0.868000,-0.143000,75.800000,18.300000,61.500000
19668,820646939,528515,826.854643200,0.522567200,-0.568000,-0.960000,0.007000,87.400000,61.200000,56.200000
19669,820656888,538464,826.868096600,0.536020600,-0.454000,-1.484000,0.134000,64.800000,81.900000,71.200000
19670,820666532,548108,826.877214200,0.545138200,-0.431000,-1.458000,0.209000,32.500000,91.400000,93.800000
19671,820675749,557325,826.883099000,0.551023000,-0.396000,-1.226000,0.262000,2.300000,89.900000,116.700000
19672,820685790,567366,826.901331800,0.569255800,-0.349000,-0.890000,0.330000,-8.800000,82.700000,123.900000
19673,820695435,577011,826.905266700,0.573190700,-0.450000,-0.503000,0.370000,-6.700000,67.300000,115.900000
19674,820704652,586228,826.913912400,0.581836400,-0.572000,-0.325000,0.398000,2.300000,52.300000,101.300000
19675,820714205,595781,826.927657200,0.595581200,-0.670000,-0.208000,0.405000,15.400000,38.900000,70.700000
19676,820724276,605852,826.938904800,0.606828800,-0.706000,-0.156000,0.371000,28.100000,13.700000,42.900000
19677,820733859,615435,826.942988300,0.610912300,-0.701000,-0.247000,0.276000,31.100000,-11.500000,23.100000
19678,820743077,624653,826.958323700,0.626247700,-0.660000,-0.409000,0.068000,17.100000,-48.000000,13.500000
19679,820752843,634419,826.965022500,0.632946500,-0.782000,-0.414000,0.018000,-26.300000,-75.800000,7.200000
19680,820762884,644460,826.972483500,0.640407500,-0.958000,-0.322000,0.304000,-57.000000,-87.500000,-7.000000
19681,820771918,653494,826.989101500,0.657025500,-1.069000,-0.091000,0.507000,-72.900000,-81.400000,-36.500000
19682,820781501,663077,826.989110900,0.657034900,-1.047000,0.125000,0.565000,-78.000000,-65.600000,-77.900000
19683,820791542,673118,827.002808300,0.670732300,-0.766000,0.074000,0.597000,-77.100000,-50.100000,-126.700000
19684,820801339,682915,827.014298400,0.682222400,-0.594000,-0.120000,0.637000,-65.700000,-33.200000,-167.900000
19685,820810404,691980,827.017739100,0.685663100,-0.396000,-0.464000,0.620000,-40.600000,-8.500000,-188.500000
19686,820819987,701563,827.033273000,0.701197000,-0.070000,-1.026000,0.481000,-15.000000,12.400000,-181.700000
19687,820830211,711787,827.040021800,0.707945800,0.196000,-1.593000,0.359000,-11.000000,20.200000,-124.300000
19688,820839306,720882,827.052162700,0.720086700,0.258000,-1.888000,0.399000,-19.300000,29.400000,-68.600000
19689,820848828,730404,827.062738800,0.730662800,0.265000,-1.892000,0.538000,-23.500000,50.500000,-28.800000
19690,820858930,740506,827.075789000,0.743713000,0.262000,-1.834000,0.631000,-21.400000,94.700000,-2.200000
19691,820868514,750090,827.077951300,0.745875300,1.320000,-0.986000,0.128000,75.000000,-127.500000,-6.000000
19692,820877700,759276,827.093710900,0.761634900,0.131000,-1.958000,-0.085000,16.600000,-110.200000,140.400000
19693,820887375,768951,827.093720500,0.761644500,-1.432000,-1.857000,-0.063000,12.600000,10.900000,133.700000
19694,820897477,779053,827.110233700,0.778157700,-0.175000,-1.188000,0.006000,47.300000,30.300000,130.800000
19695,820906908,788484,827.115088900,0.783012900,-0.556000,-1.317000,0.134000,75.000000,71.600000,115.100000
19696,820916155,797731,827.123707200,0.791631200,-0.395000,-1.377000,0.237000,80.300000,74.800000,109.500000
19697,820926349,807925,827.138001800,0.805925800,-0.359000,-1.612000,0.253000,58.900000,68.700000,104.600000
19698,820935780,817356,827.146162300,0.814086300,-0.472000,-1.461000,0.206000,16.900000,67.500000,118.300000
