meta_label,E
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
38272,2259782166,0,2276.434995100,0.000000000,-0.475000,-1.002000,0.204000,-3.000000,10.900000,6.100000
38273,2259791261,9095,2276.450617200,0.015622100,-0.445000,-0.982000,0.213000,-0.400000,7.700000,8.300000
38274,2259800905,18739,2276.450632800,0.015637700,-0.406000,-0.898000,0.242000,7.000000,2.100000,9.100000
38275,2259810977,28811,2276.469553600,0.034558500,-0.417000,-0.835000,0.321000,21.000000,-3.200000,10.900000
38276,2259820560,38394,2276.472368800,0.037373700,-0.455000,-0.792000,0.398000,41.300000,-4.700000,9.900000
38277,2259829777,47611,2276.480900100,0.045905000,-0.481000,-0.787000,0.453000,64.200000,-1.200000,7.200000
38278,2259839849,57683,2276.495383500,0.060388400,-0.481000,-0.835000,0.491000,84.200000,2.800000,1.000000
38279,2259849462,67296,2276.505017900,0.070022800,-0.541000,-0.942000,0.516000,94.500000,10.800000,-1.400000
38280,2259858557,76391,2276.510389100,0.075394000,-0.655000,-1.098000,0.512000,87.100000,30.900000,2.600000
38281,2259868232,86066,2276.524774700,0.089779600,-0.635000,-1.197000,0.455000,65.200000,54.100000,11.200000
38282,2259878334,96168,2276.532704900,0.097709800,-0.612000,-1.221000,0.396000,30.800000,82.900000,25.400000
38283,2259887735,105569,2276.545017300,0.110022200,0.266000,-1.110000,-0.113000,-39.900000,-80.800000,63.800000
38284,2259897013,114847,2276.562833700,0.127838600,-0.508000,-1.075000,-0.004000,-53.600000,-63.800000,84.500000
38285,2259907054,124888,2276.562844000,0.127848900,-1.014000,-0.732000,0.245000,-43.600000,-37.400000,81.400000
38286,2259916820,134654,2276.570220200,0.135225100,-0.400000,-0.090000,0.216000,-15.300000,-36.000000,41.300000
38287,2259925915,143749,2276.585778200,0.150783100,-0.760000,-0.639000,-0.036000,-38.500000,-6.000000,12.000000
38288,2259935529,153363,2276.585790600,0.150795500,-0.682000,-0.324000,0.173000,-68.300000,31.900000,-2.800000
38289,2259945478,163312,2276.600971500,0.165976400,-0.538000,-0.213000,0.235000,-69.400000,36.800000,-25.800000
38290,2259955123,172957,2276.607357200,0.172362100,-0.575000,-0.275000,0.171000,-69.600000,48.300000,-40.900000
38291,2259964309,182143,2276.618917600,0.183922500,-0.357000,-0.236000,0.205000,-62.400000,51.400000,-52.600000
38292,2259974381,192215,2276.638494900,0.203499800,-0.233000,-0.377000,0.188000,-40.600000,41.200000,-71.100000
38293,2259984208,202042,2276.638503600,0.203508500,-0.205000,-0.546000,0.137000,-22.200000,30.600000,-82.800000
38294,2259993517,211351,2276.645131100,0.210136000,0.022000,-0.718000,0.153000,10.100000,8.600000,-80.200000
38295,2260002856,220690,2276.660244500,0.225249400,0.057000,-1.072000,0.147000,48.200000,-14.100000,-70.100000
38296,2260012958,230792,2276.667268600,0.232273500,-0.080000,-1.455000,0.147000,78.000000,-28.600000,-46.100000
38297,2260022541,240375,2276.675867200,0.240872100,-0.404000,-1.829000,0.047000,66.000000,-22.700000,-6.400000
38298,2260031667,249501,2276.689772700,0.254777600,-0.632000,-1.920000,0.036000,44.200000,-2.300000,30.500000
38299,2260041433,259267,2276.698427900,0.263432800,-0.641000,-1.745000,0.066000,29.300000,17.700000,60.100000
38300,2260051352,269186,2276.704512500,0.269517400,-0.682000,-1.575000,0.106000,22.700000,37.200000,78.800000
38301,2260060478,278312,2276.719522900,0.284527800,-0.734000,-1.447000,0.151000,18.100000,54.100000,87.700000
38302,2260070092,287926,2276.720035200,0.285040100,-0.757000,-1.335000,0.196000,7.700000,66.300000,92.400000
38303,2260080011,297845,2276.735844100,0.300849000,-0.784000,-1.220000,0.250000,-11.900000,73.300000,93.300000
38304,2260089868,307702,2276.742255700,0.307260600,-0.905000,-1.013000,0.257000,-33.200000,80.000000,89.000000
38305,2260098994,316828,2276.752301400,0.317306300,-0.839000,-0.805000,0.325000,-48.700000,83.300000,86.400000
38306,2260108577,326411,2276.766130900,0.331135800,-0.668000,-0.517000,0.387000,-47.400000,72.300000,68.900000
38307,2260118618,336452,2276.772498600,0.337503500,-0.519000,-0.264000,0.388000,-28.900000,28.500000,46.700000
38308,2260128018,345852,2276.780212400,0.345217300,-0.318000,-0.146000,0.356000,26.900000,-23.900000,22.000000
38309,2260137419,355253,2276.795157300,0.360162200,0.025000,-0.242000,0.176000,56.800000,-102.900000,0.900000
38310,2260147490,365324,2276.803529700,0.368534600,-0.355000,-0.676000,0.069000,45.200000,-145.200000,-3.700000
38311,2260157226,375060,2276.810047600,0.375052500,-0.821000,-0.823000,0.401000,24.200000,-155.000000,-0.600000
38312,2260166291,384125,2276.825646500,0.390651400,-0.862000,-0.637000,0.626000,18.700000,-161.200000,-7.200000
38313,2260175843,393677,2276.828344300,0.393349200,-0.947000,-0.505000,0.668000,22.500000,-154.000000,-20.200000
38314,2260185793,403627,2276.842592300,0.407597200,-0.952000,-0.499000,0.601000,21.900000,-133.900000,-36.400000
38315,2260195407,413241,2276.848391100,0.413396000,-1.003000,-0.563000,0.496000,10.000000,-105.200000,-35.300000
38316,2260204685,422519,2276.854870900,0.419875800,-0.907000,-0.655000,0.461000,-5.000000,-65.900000,-38.500000
38317,2260214787,432621,2276.870349300,0.435354200,-0.693000,-0.682000,0.510000,-8.500000,-28.800000,-41.000000
38318,2260224614,442448,2276.877230500,0.442235400,-0.383000,-0.757000,0.493000,3.000000,4.400000,-47.500000
38319,2260233557,451391,2276.885018700,0.450023600,-0.268000,-0.911000,0.487000,15.900000,15.100000,-42.900000
38320,2260243170,461004,2276.903568500,0.468573400,-0.311000,-1.045000,0.543000,22.500000,57.700000,-26.900000
38321,2260253242,471076,2276.906908100,0.471913000,0.282000,-1.210000,-0.101000,39.900000,-53.300000,29.800000
38322,2260262764,480598,2276.914955800,0.479960700,-0.037000,-1.191000,-0.427000,32.700000,-54.400000,49.000000
