meta_label,E
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
12766,754284617,0,759.108061300,0.000000000,-0.334000,-0.919000,0.203000,3.600000,-9.500000,-6.300000
12767,754293803,9186,759.109483900,0.001422600,-0.339000,-0.933000,0.207000,5.700000,-11.500000,-7.900000
12768,754303783,19166,759.123226600,0.015165300,-0.347000,-0.944000,0.230000,10.100000,-10.500000,-7.200000
12769,754313672,29055,759.134766800,0.026705500,-0.341000,-0.956000,0.286000,11.200000,-8.200000,-5.500000
12770,754322645,38028,759.137487000,0.029425700,-0.338000,-0.946000,0.324000,12.600000,-3.100000,-5.200000
12771,754332258,47641,759.155046000,0.046984700,-0.321000,-0.923000,0.365000,14.700000,4.000000,-7.100000
12772,754342361,57744,759.167784800,0.059723500,-0.312000,-0.923000,0.422000,19.000000,14.400000,-10.200000
12773,754352066,67449,759.168638300,0.060577000,-0.304000,-0.987000,0.467000,19.500000,27.000000,-12.600000
12774,754361130,76513,759.182299800,0.074238500,-0.298000,-1.053000,0.487000,10.900000,41.300000,-12.100000
12775,754370897,86280,759.190124100,0.082062800,-0.295000,-1.059000,0.537000,-3.500000,58.600000,-7.800000
12776,754380938,96321,759.197351500,0.089290200,-0.241000,-1.024000,0.544000,-17.900000,76.800000,3.300000
12777,754390002,105385,759.212587800,0.104526500,0.727000,-0.974000,-0.202000,-22.600000,64.100000,-21.900000
12778,754399555,114938,759.213011500,0.104950200,0.019000,-0.568000,0.240000,-11.700000,-38.900000,47.300000
12779,754409596,124979,759.228607300,0.120546000,-0.191000,-1.126000,0.190000,-0.500000,-63.800000,64.600000
12780,754419363,134746,759.235099900,0.127038600,-0.599000,-0.867000,0.204000,-10.000000,-49.000000,43.800000
12781,754428427,143810,759.246880600,0.138819300,-0.406000,-0.488000,0.189000,-3.400000,-41.300000,19.100000
12782,754438041,153424,759.257489100,0.149427800,-0.790000,-1.210000,0.038000,-75.400000,-16.500000,16.000000
12783,754448204,163587,759.265992700,0.157931400,-0.884000,-0.838000,0.260000,-117.300000,9.500000,20.200000
12784,754457360,172743,759.272536300,0.164475000,-0.564000,-0.253000,0.244000,-105.800000,17.800000,-19.800000
12785,754466882,182265,759.287487400,0.179426100,-0.517000,-0.184000,0.193000,-85.300000,26.300000,-49.400000
12786,754476954,192337,759.295872200,0.187810900,-0.387000,-0.345000,0.155000,-59.000000,30.600000,-65.300000
12787,754486629,202012,759.309419900,0.201358600,-0.278000,-0.538000,0.117000,-44.200000,34.200000,-70.700000
12788,754495693,211076,759.318664600,0.210603300,-0.089000,-0.582000,0.089000,-18.100000,34.800000,-77.300000
12789,754505307,220690,759.319212100,0.211150800,0.078000,-0.653000,0.072000,21.900000,30.900000,-81.200000
12790,754515531,230914,759.332995300,0.224934000,0.245000,-0.910000,0.055000,68.500000,18.700000,-78.800000
12791,754524962,240345,759.342592700,0.234531400,0.242000,-1.426000,0.011000,95.100000,17.400000,-61.100000
12792,754534179,249562,759.347529700,0.239468400,0.108000,-1.899000,-0.040000,80.900000,24.500000,-25.000000
12793,754544342,259725,759.363226200,0.255164900,0.206000,-1.978000,0.021000,42.400000,21.200000,11.400000
12794,754553834,269217,759.370237500,0.262176200,0.074000,-1.993000,0.058000,13.800000,18.900000,41.200000
12795,754563020,278403,759.385289700,0.277228400,-0.092000,-1.878000,0.106000,-12.900000,19.400000,67.700000
12796,754572634,288017,759.395800800,0.287739500,-0.266000,-1.592000,0.165000,-39.100000,19.800000,86.800000
12797,754582706,298089,759.407669400,0.299608100,-0.455000,-1.307000,0.209000,-60.500000,21.000000,95.800000
12798,754592228,307611,759.416545000,0.308483700,-0.741000,-0.960000,0.259000,-71.700000,25.100000,97.600000
12799,754601536,316919,759.416568200,0.308506900,-0.878000,-0.537000,0.280000,-69.200000,32.100000,84.300000
12800,754611547,326930,759.438576700,0.330515400,-0.915000,-0.176000,0.306000,-48.300000,39.300000,56.400000
12801,754622321,337704,759.456957000,0.348895700,-0.895000,-0.063000,0.306000,2.800000,44.400000,0.000000
12802,754630347,345730,759.456965800,0.348904500,-0.800000,-0.244000,0.273000,17.400000,43.700000,-15.600000
12803,754639992,355375,759.467571200,0.359509900,-0.744000,-0.587000,0.131000,36.300000,42.200000,-41.100000
