meta_label,e
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
27000,891144110,0,897.346552800,0.000000000,-0.790000,-0.614000,0.327000,-12.400000,-3.500000,-3.500000
27001,891153754,9644,897.354113900,0.007561100,-0.788000,-0.563000,0.322000,-16.100000,-1.600000,-4.800000
27002,891163826,19716,897.361642800,0.015090000,-0.759000,-0.535000,0.305000,-16.500000,-1.500000,-7.500000
27003,891173043,28933,897.376760200,0.030207400,-0.746000,-0.550000,0.292000,-16.400000,-3.300000,-7.900000
27004,891182535,38425,897.376989400,0.030436600,-0.743000,-0.551000,0.297000,-17.500000,-5.300000,-8.400000
27005,891192515,48405,897.392579700,0.046026900,-0.735000,-0.540000,0.313000,-17.700000,-7.700000,-8.600000
27006,891202373,58263,897.398966800,0.052414000,-0.760000,-0.548000,0.357000,-20.400000,-7.200000,-12.300000
27007,891211437,67327,897.410265700,0.063712900,-0.787000,-0.546000,0.413000,-25.100000,-0.400000,-17.900000
27008,891221051,76941,897.422686100,0.076133300,-0.752000,-0.557000,0.443000,-28.000000,14.100000,-25.900000
27009,891231153,87043,897.429295100,0.082742300,-0.713000,-0.618000,0.408000,-35.100000,24.800000,-32.200000
27010,891240553,96443,897.436882500,0.090329700,-0.654000,-0.685000,0.271000,-43.900000,32.900000,-34.400000
27011,891249862,105752,897.451966600,0.105413800,-0.581000,-0.708000,0.203000,-50.400000,36.500000,-31.000000
27012,891259994,115884,897.459375600,0.112822800,-0.533000,-0.703000,0.187000,-52.100000,38.300000,-23.600000
27013,891269578,125468,897.466940600,0.120387800,-0.517000,-0.187000,-0.512000,-44.000000,37.300000,-21.600000
27014,891278673,134563,897.481623300,0.135070500,0.138000,-0.759000,0.262000,43.700000,-86.500000,-1.300000
27015,891288286,144176,897.489412400,0.142859600,-0.860000,-1.531000,0.154000,39.500000,-85.000000,19.800000
27016,891298419,154309,897.496864100,0.150311300,-1.040000,-1.244000,0.023000,9.600000,-64.900000,29.200000
27017,891307941,163831,897.506174100,0.159621300,-0.982000,-1.115000,0.064000,-15.900000,-18.100000,34.700000
27018,891317189,173079,897.511818400,0.165265600,-0.829000,-0.824000,0.100000,-15.200000,-0.100000,31.300000
27019,891327352,183242,897.526995700,0.180442900,-0.841000,-0.756000,0.118000,7.700000,20.700000,21.900000
27020,891336783,192673,897.534208700,0.187655900,-0.763000,-0.844000,0.185000,32.700000,32.000000,18.200000
27021,891346000,201890,897.548362200,0.201809400,-0.759000,-1.010000,0.219000,51.200000,32.300000,23.900000
27022,891355613,211503,897.561972000,0.215419200,-0.714000,-1.150000,0.254000,52.300000,23.900000,34.800000
27023,891365685,221575,897.564011900,0.217459100,-0.657000,-1.169000,0.287000,41.100000,8.300000,44.500000
27024,891375360,231250,897.572155400,0.225602600,-0.701000,-1.006000,0.307000,24.200000,-6.300000,55.100000
