meta_label,e
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
22123,1474380394,0,1491.169113400,0.000000000,-0.688000,-0.794000,0.336000,-20.000000,14.900000,16.500000
22124,1474390405,10011,1491.183985500,0.014872100,-0.661000,-0.746000,0.323000,-26.900000,15.600000,17.900000
22125,1474400110,19716,1491.192075200,0.022961800,-0.627000,-0.677000,0.322000,-30.700000,14.400000,16.400000
22126,1474409266,28872,1491.199636300,0.030522900,-0.593000,-0.590000,0.326000,-27.700000,11.700000,13.200000
22127,1474418819,38425,1491.215311100,0.046197700,-0.565000,-0.548000,0.330000,-19.800000,8.500000,8.500000
22128,1474428860,48466,1491.237047600,0.067934200,-0.574000,-0.562000,0.327000,-12.700000,6.800000,-0.700000
22129,1474438474,58080,1491.237610100,0.068496700,-0.601000,-0.619000,0.316000,-9.000000,7.400000,-3.200000
22130,1474447660,67266,1491.256476400,0.087363000,-0.608000,-0.678000,0.309000,-9.600000,9.500000,-5.900000
22131,1474457427,77033,1491.256489600,0.087376200,-0.610000,-0.714000,0.298000,-12.400000,14.400000,-6.200000
22132,1474467590,87196,1491.278112100,0.108998700,-0.614000,-0.712000,0.301000,-19.000000,20.900000,-5.400000
22133,1474476532,96138,1491.278122600,0.109009200,-0.606000,-0.691000,0.328000,-19.900000,29.600000,-6.900000
22134,1474486146,105752,1491.278126200,0.109012800,-0.604000,-0.666000,0.336000,-17.400000,40.100000,-11.900000
22135,1474496340,115946,1491.308114000,0.139000600,-0.601000,-0.651000,0.329000,-12.600000,53.800000,-17.900000
22136,1474506381,125987,1491.308349000,0.139235600,0.434000,-0.338000,-0.210000,19.200000,3.900000,-37.700000
22137,1474515018,134624,1491.308591500,0.139478100,-0.321000,-1.156000,0.123000,41.400000,-70.300000,-27.600000
22138,1474524571,144177,1491.333199400,0.164086000,-1.151000,-1.175000,0.122000,22.100000,-59.600000,5.500000
22139,1474536382,155988,1491.333408800,0.164295400,-1.389000,-0.962000,-0.009000,10.200000,28.600000,9.900000
22140,1474544134,163740,1491.333812400,0.164699000,-0.697000,-1.019000,0.204000,5.900000,36.800000,10.000000
22141,1474553473,173079,1491.350216300,0.181102900,-0.628000,-0.952000,0.232000,9.900000,37.800000,10.600000
22142,1474563545,183151,1491.356653100,0.187539700,-0.615000,-0.949000,0.266000,21.800000,37.500000,19.600000
22143,1474573220,192826,1491.368206800,0.199093400,-0.627000,-0.959000,0.289000,34.800000,33.600000,26.000000
22144,1474582284,201890,1491.378719900,0.209606500,-0.684000,-1.066000,0.292000,40.300000,30.800000,36.700000
22145,1474591959,211565,1491.379495100,0.210381700,-0.555000,-1.097000,0.334000,31.600000,16.000000,46.900000
22146,1474601969,221575,1491.394172400,0.225059000,-0.523000,-1.039000,0.370000,28.700000,-2.400000,52.700000
22147,1474611461,231067,1491.406436000,0.237322600,-0.661000,-0.990000,0.349000,22.600000,-13.600000,61.000000
22148,1474620831,240437,1491.408850600,0.239737200,-0.712000,-0.863000,0.348000,14.400000,-22.000000,71.300000
22149,1474630902,250508,1491.431460200,0.262346800,-0.711000,-0.724000,0.356000,7.600000,-31.200000,72.800000
22150,1474640425,260031,1491.431849300,0.262735900,-0.803000,-0.578000,0.348000,-0.400000,-36.300000,69.700000
22151,1474649611,269217,1491.444100800,0.274987400,-0.877000,-0.455000,0.339000,-9.200000,-35.300000,64.400000
22152,1474659225,278831,1491.454135100,0.285021700,-0.878000,-0.321000,0.338000,-17.600000,-31.400000,52.900000
22153,1474669297,288903,1491.462620100,0.293506700,-0.797000,-0.182000,0.371000,-19.900000,-30.100000,34.400000
22154,1474678819,298425,1491.483746000,0.314632600,-0.753000,-0.134000,0.361000,-19.200000,-33.000000,-3.200000
22155,1474688036,307642,1491.484548600,0.315435200,-0.766000,-0.168000,0.332000,-23.000000,-31.900000,-25.600000
22156,1474697802,317408,1491.491609500,0.322496100,-0.736000,-0.204000,0.291000,-33.400000,-28.900000,-44.300000
22157,1474707874,327480,1491.506785000,0.337671600,-0.677000,-0.194000,0.229000,-50.300000,-15.500000,-63.500000
22158,1474716908,336514,1491.507224200,0.338110800,-0.585000,-0.158000,0.206000,-49.500000,-7.200000,-81.100000
22159,1474726583,346189,1491.515216400,0.346103000,-0.485000,-0.219000,0.173000,-37.400000,-2.700000,-95.700000
22160,1474736593,356199,1491.528775400,0.359662000,-0.482000,-0.379000,0.122000,-23.900000,4.900000,-101.100000
