meta_label,e
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
29587,1546146709,0,1550.825950400,0.000000000,-0.601000,-0.687000,0.297000,-13.100000,27.300000,-12.100000
29588,1546156384,9675,1550.827900200,0.001949800,-0.569000,-0.726000,0.295000,-8.800000,28.500000,-12.200000
29589,1546166334,19625,1550.847580200,0.021629800,-0.546000,-0.807000,0.284000,-5.500000,26.500000,-9.200000
29590,1546176100,29391,1550.849580800,0.023630400,-0.539000,-0.885000,0.243000,-7.100000,21.200000,-4.200000
29591,1546185256,38547,1550.857695400,0.031745000,-0.554000,-0.904000,0.192000,-11.500000,13.200000,0.900000
29592,1546195175,48466,1550.883177200,0.057226800,-0.606000,-0.885000,0.194000,-15.000000,4.700000,11.900000
29593,1546204880,58171,1550.883187000,0.057236600,-0.663000,-0.853000,0.211000,-19.400000,-3.100000,13.900000
29594,1546214372,67663,1550.886488900,0.060538500,-0.710000,-0.837000,0.233000,-31.000000,-5.700000,13.600000
29595,1546223711,77002,1550.901518700,0.075568300,-0.758000,-0.798000,0.253000,-42.400000,-5.500000,13.400000
29596,1546233874,87165,1550.908943100,0.082992700,-0.729000,-0.657000,0.115000,-41.800000,-12.200000,10.700000
29597,1546243366,96657,1550.923971600,0.098021200,-0.352000,-0.622000,0.294000,-26.300000,-41.000000,5.200000
29598,1546252492,105783,1550.931404100,0.105453700,-0.868000,-0.536000,0.183000,-16.800000,-25.600000,5.700000
29599,1546262258,115549,1550.939240100,0.113289700,-0.865000,-0.416000,0.188000,3.600000,-7.000000,-11.200000
29600,1546272208,125499,1550.954064300,0.128113900,-0.682000,-0.439000,0.145000,26.300000,5.500000,-30.000000
29601,1546281333,134624,1550.960324000,0.134373600,-0.507000,-0.624000,0.188000,49.900000,15.400000,-48.800000
29602,1546291008,144299,1550.980718600,0.154768200,-0.371000,-0.861000,0.240000,53.400000,7.900000,-45.200000
29603,1546301018,154309,1550.980727000,0.154776600,-0.447000,-0.968000,0.197000,48.500000,1.900000,-39.800000
29604,1546310602,163893,1550.996567400,0.170617000,-0.783000,-1.146000,0.035000,41.500000,18.600000,-32.400000
29605,1546319819,173110,1551.000066600,0.174116200,-0.488000,-1.300000,0.144000,29.800000,34.000000,0.900000
29606,1546329463,182754,1551.006453400,0.180503000,-0.464000,-1.279000,0.185000,19.700000,33.800000,23.800000
29607,1546339413,192704,1551.021302100,0.195351700,-0.352000,-1.245000,0.242000,8.700000,22.000000,38.800000
29608,1546348782,202073,1551.021638300,0.195687900,-0.385000,-1.148000,0.259000,6.300000,8.800000,49.900000
29609,1546358243,211534,1551.029930300,0.203979900,-0.481000,-1.023000,0.293000,10.500000,-2.100000,59.400000
29610,1546368315,221606,1551.043843700,0.217893300,-0.564000,-0.878000,0.308000,19.600000,-10.700000,61.600000
29611,1546377990,231281,1551.055840100,0.229889700,-0.654000,-0.728000,0.323000,27.400000,-17.700000,58.600000
29612,1546387146,240437,1551.058637400,0.232687000,-0.753000,-0.648000,0.340000,27.700000,-21.700000,51.400000
29613,1546396760,250051,1551.073757500,0.247807100,-0.913000,-0.648000,0.341000,18.400000,-22.900000,41.500000
29614,1546406862,260153,1551.081081100,0.255130700,-1.033000,-0.643000,0.316000,-3.400000,-17.700000,34.200000
29615,1546416354,269645,1551.091634700,0.265684300,-1.125000,-0.489000,0.293000,-31.900000,-3.300000,28.300000
29616,1546425571,278862,1551.105394600,0.279444200,-0.648000,-0.072000,0.479000,-27.700000,1.800000,13.500000
29617,1546435795,289086,1551.113149100,0.287198700,-0.494000,-0.076000,0.449000,-1.800000,-39.500000,-31.100000
29618,1546445286,298577,1551.119014900,0.293064500,-0.772000,-0.253000,0.329000,-5.600000,-43.800000,-48.700000
29619,1546454504,307795,1551.133756800,0.307806400,-0.754000,-0.252000,0.278000,-19.700000,-36.600000,-64.200000
29620,1546464087,317378,1551.134394600,0.308444200,-0.760000,-0.320000,0.210000,-32.200000,-22.800000,-75.100000
29621,1546474219,327510,1551.156480200,0.330529800,-0.670000,-0.338000,0.163000,-28.900000,-8.400000,-79.500000
29622,1546483711,337002,1551.156741700,0.330791300,-0.535000,-0.516000,0.140000,-20.300000,0.700000,-76.300000
29623,1546492928,346219,1551.167600400,0.341650000,-0.450000,-0.763000,0.105000,-20.300000,8.500000,-71.500000
29624,1546502878,356169,1551.179169500,0.353219100,-0.336000,-0.858000,0.092000,-8.900000,14.600000,-69.100000
29625,1546512522,365813,1551.190293700,0.364343300,-0.240000,-1.021000,0.081000,6.300000,17.100000,-59.000000
29626,1546521709,375000,1551.194108000,0.368157600,-0.331000,-1.204000,0.062000,14.900000,22.000000,-42.400000
29627,1546531322,384613,1551.209625200,0.383674800,-0.574000,-1.388000,-0.002000,7.400000,42.300000,-15.200000
29628,1546541394,394685,1551.216494100,0.390543700,-0.526000,-1.327000,0.054000,0.800000,67.000000,19.100000
29629,1546550916,404207,1551.231682600,0.405732200,-0.486000,-1.263000,0.133000,2.100000,81.400000,55.900000
29630,1546560255,413546,1551.238773500,0.412823100,-0.420000,-1.218000,0.214000,7.600000,82.300000,69.400000
29631,1546569930,423221,1551.246674600,0.420724200,-0.433000,-1.220000,0.257000,9.400000,72.600000,81.100000
29632,1546579971,433262,1551.263140300,0.437189900,-0.539000,-1.163000,0.261000,6.000000,56.200000,93.300000
29633,1546589036,442327,1551.263149600,0.437199200,-0.577000,-0.925000,0.269000,15.100000,45.200000,97.000000
29634,1546598649,451940,1551.269047200,0.443096800,-0.580000,-0.635000,0.296000,34.500000,30.300000,89.500000
29635,1546608874,462165,1551.286340800,0.460390400,-0.605000,-0.538000,0.316000,49.300000,13.900000,75.200000
29636,1546618365,471656,1551.298778400,0.472828000,-0.748000,-0.664000,0.304000,51.200000,3.400000,59.500000
29637,1546627430,480721,1551.299672600,0.473722200,-0.863000,-0.743000,0.257000,41.600000,-1.200000,52.000000
29638,1546637074,490365,1551.318956900,0.493006500,-0.938000,-0.750000,0.178000,28.600000,0.300000,50.100000
29639,1546647146,500437,1551.321162700,0.495212300,-0.819000,-0.795000,0.001000,12.800000,-1.400000,47.500000
29640,1546656454,509745,1551.328473700,0.502523300,-0.709000,-0.831000,-0.211000,-10.000000,-20.500000,50.000000
29641,1546666007,519298,1551.343872900,0.517922500,-0.843000,-0.789000,-0.124000,-32.300000,-38.400000,54.700000
29642,1546676109,529400,1551.353402500,0.527452100,-0.955000,-0.704000,0.031000,-50.200000,-44.400000,52.500000
29643,1546685662,538953,1551.366381800,0.540431400,-0.976000,-0.540000,0.151000,-63.700000,-36.700000,43.200000
29644,1546694787,548078,1551.377958600,0.552008200,-0.948000,-0.346000,0.269000,-66.300000,-33.400000,26.300000
29645,1546704432,557723,1551.377967000,0.552016600,-0.866000,-0.224000,0.339000,-57.400000,-23.500000,9.700000
29646,1546714412,567703,1551.397064500,0.571114100,-0.775000,-0.267000,0.344000,-42.500000,-18.900000,-15.700000
29647,1546723873,577164,1551.398818100,0.572867700,-0.740000,-0.321000,0.394000,-34.600000,-14.600000,-29.600000
29648,1546733304,586595,1551.403895700,0.577945300,-0.689000,-0.391000,0.407000,-25.700000,-11.400000,-39.600000
29649,1546743467,596758,1551.419055500,0.593105100,-0.616000,-0.498000,0.401000,-18.100000,-8.600000,-48.500000
29650,1546752898,606189,1551.436789600,0.610839200,-0.586000,-0.576000,0.379000,-12.200000,-6.600000,-51.800000
29651,1546762084,615375,1551.436800000,0.610849600,-0.562000,-0.643000,0.372000,-8.700000,-5.000000,-52.000000
29652,1546771698,624989,1551.456616400,0.630666000,-0.573000,-0.701000,0.362000,-6.500000,-3.900000,-48.000000
29653,1546783845,637136,1551.456946500,0.630996100,-0.578000,-0.755000,0.322000,-8.700000,0.100000,-50.600000
29654,1546791566,644857,1551.463618400,0.637668000,-0.583000,-0.753000,0.272000,-9.000000,1.300000,-48.700000
29655,1546800539,653830,1551.479007700,0.653057300,-0.573000,-0.739000,0.221000,-8.000000,2.200000,-46.100000
29656,1546810580,663871,1551.486443100,0.660492700,-0.592000,-0.755000,0.195000,-4.600000,1.400000,-45.500000
29657,1546820316,673607,1551.495652900,0.669702500,-0.620000,-0.772000,0.167000,-2.600000,2.000000,-45.000000
29658,1546829442,682733,1551.513001300,0.687050900,-0.615000,-0.779000,0.126000,-2.000000,0.400000,-43.900000
29659,1546839056,692347,1551.513011000,0.687060600,-0.613000,-0.783000,0.098000,0.400000,-2.400000,-43.600000
29660,1546849005,702296,1551.529578300,0.703627900,-0.626000,-0.792000,0.113000,3.200000,-5.300000,-42.300000
29661,1546858527,711818,1551.531833200,0.705882800,-0.648000,-0.844000,0.134000,4.200000,-7.200000,-41.000000
29662,1546867836,721127,1551.538931900,0.712981500,-0.665000,-0.862000,0.149000,3.000000,-7.500000,-40.700000
29663,1546878121,731412,1551.561943000,0.735992600,-0.646000,-0.839000,0.138000,3.300000,-9.000000,-38.600000
29664,1546887643,740934,1551.561953400,0.736003000,-0.610000,-0.836000,0.134000,4.500000,-11.700000,-36.900000
29665,1546897074,750365,1551.569225500,0.743275100,-0.607000,-0.849000,0.150000,5.800000,-15.100000,-36.600000
29666,1546906291,759582,1551.589635800,0.763685400,-0.613000,-0.873000,0.170000,5.200000,-17.600000,-35.600000
29667,1546916515,769806,1551.591830000,0.765879600,-0.613000,-0.883000,0.183000,2.900000,-19.100000,-34.000000
29668,1546925976,779267,1551.599677000,0.773726600,-0.600000,-0.868000,0.186000,1.300000,-20.700000,-29.400000
29669,1546935194,788485,1551.613924400,0.787974000,-0.619000,-0.836000,0.217000,2.000000,-22.000000,-18.000000
29670,1546944990,798281,1551.626028500,0.800078100,-0.617000,-0.860000,0.231000,3.200000,-21.300000,-16.200000
29671,1546954879,808170,1551.630091700,0.804141300,-0.633000,-0.851000,0.256000,3.200000,-18.400000,-15.500000
