meta_label,G
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
27451,265351867,0,270.433205000,0.000000000,-0.486000,-0.823000,0.198000,11.500000,13.600000,-2.000000
27452,265361450,9583,270.435394300,0.002189300,-0.445000,-0.823000,0.175000,20.500000,16.000000,-3.400000
27453,265371522,19655,270.447925400,0.014720400,-0.407000,-0.921000,0.179000,25.700000,16.700000,-2.400000
27454,265381074,29207,270.455708800,0.022503800,-0.397000,-0.978000,0.202000,25.000000,17.700000,1.300000
27455,265390291,38424,270.472930600,0.039725600,-0.396000,-1.009000,0.234000,22.400000,18.900000,6.100000
27456,265400058,48191,270.478452900,0.045247900,-0.406000,-0.991000,0.268000,20.300000,21.600000,9.400000
27457,265410038,58171,270.485408100,0.052203100,-0.412000,-0.983000,0.299000,20.200000,26.900000,13.500000
27458,265419194,67327,270.501383500,0.068178500,-0.407000,-0.971000,0.316000,24.600000,32.200000,13.000000
27459,265428716,76849,270.509766800,0.076561800,-0.407000,-1.010000,0.314000,27.800000,35.700000,13.300000
27460,265438818,86951,270.515153100,0.081948100,-0.401000,-1.044000,0.290000,24.300000,33.600000,15.500000
27461,265448554,96687,270.528423700,0.095218700,-0.419000,-0.991000,0.273000,20.400000,28.200000,19.400000
27462,265457619,105752,270.530724000,0.097519000,-0.448000,-0.911000,0.311000,22.800000,24.700000,19.400000
27463,265467873,116006,270.547596500,0.114391500,-0.482000,-0.884000,0.342000,27.000000,20.500000,21.200000
27464,265477273,125406,270.552782400,0.119577400,-0.483000,-0.846000,-0.618000,21.400000,2.700000,16.800000
27465,265486490,134623,270.562099000,0.128894000,-0.321000,-1.279000,0.322000,-35.400000,-50.000000,58.100000
27466,265496043,144176,270.575654200,0.142449200,-0.295000,-0.730000,0.326000,-13.700000,-68.200000,55.300000
27467,265506237,154370,270.590974500,0.157769500,-1.037000,-0.595000,0.232000,-16.900000,-48.600000,28.900000
27468,265515759,163892,270.590984100,0.157779100,-0.841000,-0.283000,0.286000,-17.000000,-42.800000,4.700000
27469,265524915,173048,270.613140900,0.179935900,-0.874000,-0.363000,0.260000,-18.000000,-38.800000,-26.900000
27470,265534529,182662,270.613411400,0.180206400,-0.851000,-0.391000,0.235000,-27.600000,-33.700000,-53.800000
27471,265544723,192856,270.623685100,0.190480100,-0.819000,-0.401000,0.178000,-40.700000,-24.300000,-70.200000
27472,265554031,202164,270.637983500,0.204778500,-0.716000,-0.361000,0.132000,-54.500000,-9.100000,-71.900000
27473,265563370,211503,270.638551000,0.205346000,-0.474000,-0.253000,0.116000,-56.100000,4.500000,-79.900000
27474,265573411,221544,270.659475700,0.226270700,-0.271000,-0.276000,0.093000,-52.000000,12.900000,-86.900000
27475,265583239,231372,270.665531500,0.232326500,-0.173000,-0.430000,0.039000,-60.700000,16.400000,-90.200000
27476,265592242,240375,270.666060400,0.232855400,-0.085000,-0.507000,0.026000,-70.200000,20.300000,-88.900000
27477,265601826,249959,270.695755200,0.262550200,-0.010000,-0.586000,-0.023000,-76.800000,26.400000,-85.900000
27478,265611867,260000,270.702584000,0.269379000,0.004000,-0.671000,-0.024000,-77.500000,35.900000,-81.100000
27479,265621328,269461,270.703669200,0.270464200,0.140000,-0.729000,-0.029000,-63.300000,42.100000,-76.700000
27480,265630667,278800,270.725266800,0.292061800,0.244000,-0.917000,-0.040000,-38.700000,44.000000,-71.100000
27481,265643943,292076,270.725543400,0.292338400,0.290000,-1.262000,-0.044000,-9.500000,41.300000,-54.300000
27482,265650413,298546,270.726535500,0.293330500,0.328000,-1.359000,-0.025000,2.000000,37.900000,-46.000000
27483,265659936,308069,270.748303700,0.315098700,0.236000,-1.620000,-0.020000,26.800000,29.200000,-26.700000
27484,265674005,322138,270.756628100,0.323423100,-0.005000,-1.870000,0.008000,41.300000,28.000000,15.900000
27485,265679560,327693,270.763241800,0.330036800,-0.044000,-1.895000,0.036000,44.900000,27.800000,35.000000
27486,265688685,336818,270.771488400,0.338283400,-0.169000,-1.944000,0.086000,46.500000,21.100000,48.800000
27487,265697994,346127,270.772684600,0.339479600,-0.315000,-1.939000,0.128000,40.800000,15.000000,60.700000
27488,265707852,355985,270.798771400,0.365566400,-0.464000,-1.862000,0.164000,29.400000,8.500000,71.700000
27489,265719022,367155,270.798780100,0.365575100,-0.691000,-1.624000,0.218000,19.200000,0.600000,77.800000
27490,265727354,375487,270.800760400,0.367555400,-0.776000,-1.401000,0.243000,8.500000,-5.900000,79.300000
27491,265736419,384552,270.816618800,0.383413800,-0.943000,-1.093000,0.269000,-0.700000,-9.600000,75.900000
27492,265746643,394776,270.822624200,0.389419200,-1.093000,-0.878000,0.285000,-10.000000,-11.600000,65.500000
27493,265756013,404146,270.832826300,0.399621300,-1.289000,-0.611000,0.299000,-22.700000,-10.300000,50.000000
27494,265765260,413393,270.854410700,0.421205700,-1.329000,-0.292000,0.310000,-38.000000,-7.200000,28.600000
27495,265774996,423129,270.854425700,0.421220700,-1.087000,0.071000,0.356000,-35.000000,-7.900000,-4.000000
27496,265785068,433201,270.860475500,0.427270500,-0.776000,0.232000,0.364000,-8.900000,-31.800000,-70.800000
27497,265794163,442296,270.884391500,0.451186500,-0.957000,-0.049000,0.251000,0.500000,-38.100000,-88.400000
27498,265803746,451879,270.885402300,0.452197300,-0.893000,-0.213000,0.144000,3.700000,-25.100000,-112.100000
27499,265813878,462011,270.890579600,0.457374600,-0.575000,-0.379000,0.091000,14.800000,1.600000,-118.800000
27500,265823309,471442,270.909501900,0.476296900,-0.263000,-0.644000,0.029000,35.000000,14.200000,-113.000000
27501,265832587,480720,270.909516300,0.476311300,0.037000,-0.944000,-0.008000,42.900000,22.200000,-94.300000
27502,265842232,490365,270.921704900,0.488499900,0.254000,-1.239000,-0.056000,39.700000,27.400000,-66.700000
27503,265852273,500406,270.929541300,0.496336300,0.359000,-1.420000,-0.049000,29.100000,33.600000,-34.900000
27504,265861490,509623,270.935288200,0.502083200,0.763000,-1.440000,0.117000,7.400000,2.400000,-0.300000
27505,265871012,519145,270.950547800,0.517342800,0.849000,-1.174000,0.065000,-6.100000,-44.800000,15.900000
27506,265881053,529186,270.958118500,0.524913500,-0.215000,-1.147000,-0.088000,3.300000,-16.300000,24.600000
27507,265890697,538830,270.972943700,0.539738700,0.050000,-0.907000,0.017000,3.200000,-5.700000,49.800000
27508,265899914,548047,270.984554200,0.551349200,0.020000,-0.778000,0.077000,6.000000,-4.800000,53.000000
27509,265909498,557631,270.984859900,0.551654900,-0.177000,-0.643000,0.099000,1.600000,-9.600000,41.100000
27510,265919630,567763,271.005357300,0.572152300,-0.428000,-0.567000,0.130000,-4.100000,-12.000000,17.000000
27511,265928969,577102,271.007660200,0.574455200,-0.646000,-0.539000,0.139000,-16.400000,-2.900000,0.100000
27512,265938339,586472,271.010513900,0.577308900,-0.865000,-0.677000,0.113000,-39.900000,12.600000,-13.300000
27513,265948533,596666,271.025521900,0.592316900,-0.941000,-0.790000,0.133000,-75.300000,29.600000,-20.300000
27514,265958055,606188,271.033260500,0.600055500,-0.902000,-0.802000,0.185000,-113.000000,43.700000,-29.200000
27515,265967211,615344,271.048281500,0.615076500,-0.768000,-0.710000,0.158000,-113.400000,52.700000,-45.300000
27516,265976764,624897,271.060687400,0.627482400,-0.678000,-0.689000,0.121000,-102.400000,63.300000,-56.400000
27517,265986805,634938,271.062782900,0.629577900,-0.520000,-0.517000,0.096000,-64.700000,69.200000,-61.900000
