meta_label,g
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
57595,555186634,0,561.446103200,0.000000000,-0.224000,-1.056000,0.221000,1.200000,11.800000,3.700000
57596,555196583,9949,561.459958800,0.013855600,-0.250000,-1.036000,0.266000,-5.800000,18.400000,2.800000
57597,555205617,18983,561.472005800,0.025902600,-0.258000,-1.011000,0.300000,-7.200000,24.100000,4.300000
57598,555215292,28658,561.474777200,0.028674000,-0.264000,-0.998000,0.309000,-8.600000,30.300000,8.100000
57599,555225364,38730,561.483582100,0.037478900,-0.263000,-0.957000,0.230000,-6.800000,37.100000,12.200000
57600,555234764,48130,561.506537200,0.060434000,-0.232000,-0.851000,0.178000,2.100000,40.400000,17.600000
57601,555244042,57408,561.506547800,0.060444600,-0.199000,-0.808000,0.170000,16.000000,41.700000,18.400000
57602,555253991,67357,561.513062600,0.066959400,-0.212000,-0.861000,0.194000,30.100000,42.700000,16.800000
57603,555263758,77124,561.527329000,0.081225800,-0.228000,-0.963000,0.223000,36.300000,41.700000,15.500000
57604,555272944,86310,561.527991300,0.081888100,-0.233000,-1.081000,0.264000,33.500000,38.000000,14.700000
57605,555282558,95924,561.534799200,0.088696000,-0.233000,-1.171000,0.292000,23.300000,30.400000,16.900000
57606,555292660,106026,561.550422600,0.104319400,-0.259000,-1.199000,0.286000,4.900000,22.900000,18.500000
57607,555302152,115518,561.557856200,0.111753000,-0.290000,-1.131000,0.266000,-14.000000,17.800000,20.800000
57608,555311400,124766,561.567937900,0.121834700,0.107000,-1.173000,-0.574000,-21.200000,-2.800000,71.600000
57609,555321532,134898,561.583515500,0.137412300,-0.114000,-0.952000,0.444000,-40.100000,-81.300000,74.200000
57610,555331207,144573,561.590479600,0.144376400,-0.401000,-0.749000,0.219000,-25.600000,-74.400000,70.400000
57611,555340271,153637,561.594930400,0.148827200,-0.962000,-0.825000,0.134000,-25.400000,-42.900000,46.300000
57612,555349855,163221,561.610098600,0.163995400,-0.470000,-0.388000,0.228000,-17.600000,-44.700000,12.900000
57613,555359835,173201,561.618163500,0.172060300,-0.604000,-0.369000,0.196000,-17.100000,-39.400000,-33.600000
57614,555369510,182876,561.625446800,0.179343600,-0.559000,-0.354000,0.154000,-21.300000,-32.600000,-72.600000
57615,555378696,192062,561.640574600,0.194471400,-0.621000,-0.480000,0.072000,-31.200000,-16.900000,-96.800000
57616,555388371,201737,561.647284900,0.201181700,-0.516000,-0.570000,0.013000,-41.200000,8.800000,-105.700000
57617,555398473,211839,561.655626200,0.209523000,-0.256000,-0.708000,0.007000,-39.000000,30.300000,-108.100000
57618,555407507,220873,561.679746400,0.233643200,-0.103000,-0.975000,-0.015000,-34.800000,45.400000,-99.200000
57619,555417151,230517,561.679754900,0.233651700,0.048000,-1.184000,-0.004000,-33.000000,57.300000,-77.900000
57620,555427376,240742,561.685300600,0.239197400,0.244000,-1.278000,0.049000,-26.100000,57.800000,-34.400000
57621,555436837,250203,561.699834300,0.253731100,0.396000,-1.279000,0.110000,-7.400000,34.100000,-4.300000
57622,555445993,259359,561.700364100,0.254260900,0.444000,-1.378000,0.137000,18.000000,10.200000,14.000000
57623,555456125,269491,561.718389200,0.272286000,0.152000,-1.681000,0.065000,23.700000,2.600000,42.000000
57624,555465739,279105,561.722463700,0.276360500,0.027000,-1.704000,0.084000,10.100000,-3.300000,68.200000
57625,555474804,288170,561.730889900,0.284786700,-0.026000,-1.466000,0.145000,19.500000,-10.100000,73.800000
57626,555484448,297814,561.744761900,0.298658700,-0.109000,-1.159000,0.210000,46.700000,-17.000000,57.400000
57627,555494458,307824,561.755862900,0.309759700,-0.203000,-0.882000,0.250000,78.600000,-24.700000,29.300000
57628,555504103,317469,561.760108700,0.314005500,-0.377000,-0.928000,0.224000,95.400000,-27.300000,-5.500000
57629,555513320,326686,561.776290100,0.330186900,-0.508000,-1.097000,0.196000,90.400000,-23.200000,-22.400000
57630,555522903,336269,561.776300500,0.330197300,-0.503000,-1.135000,0.175000,70.600000,-16.400000,-23.700000
57631,555532975,346341,561.793923700,0.347820500,-0.453000,-1.069000,0.148000,49.100000,-9.800000,-18.000000
57632,555542405,355771,561.797663400,0.351560200,-0.397000,-0.973000,0.120000,24.400000,-2.800000,-4.500000
57633,555551775,365141,561.804398100,0.358294900,-0.297000,-0.821000,0.123000,0.600000,0.800000,2.100000
57634,555561847,375213,561.821093900,0.374990700,-0.203000,-0.524000,0.134000,-15.400000,-0.800000,-0.700000
57635,555571613,384979,561.832585400,0.386482200,-0.127000,-0.164000,0.120000,1.500000,1.600000,-24.100000
57636,555580586,393952,561.834810200,0.388707000,-0.245000,-0.213000,0.053000,8.000000,15.300000,-46.300000
57637,555590200,403566,561.857269700,0.411166500,-0.353000,-0.532000,-0.039000,-21.600000,35.600000,-45.000000
57638,555600363,413729,561.857856700,0.411753500,-0.335000,-0.707000,-0.010000,-63.200000,51.700000,-27.700000
57639,555609916,423282,561.864991000,0.418887800,-0.207000,-0.597000,0.069000,-94.200000,59.600000,-18.700000
57640,555619072,432438,561.879816500,0.433713300,-0.095000,-0.555000,0.120000,-107.000000,59.900000,-13.700000
57641,555629204,442570,561.888769500,0.442666300,-0.085000,-0.570000,0.183000,-108.800000,55.500000,-0.800000
57642,555638727,452093,561.894842200,0.448739000,-0.077000,-0.581000,0.236000,-100.300000,41.300000,2.600000
57643,555647913,461279,561.909936000,0.463832800,-0.163000,-0.668000,0.243000,-88.600000,20.700000,-6.500000
57644,555657527,470893,561.910406700,0.464303500,-0.334000,-0.833000,0.258000,-79.700000,-0.800000,-3.300000
57645,555667385,480751,561.925318600,0.479215400,-0.442000,-0.924000,0.260000,-68.000000,-22.400000,-13.100000
57646,555677212,490578,561.932470400,0.486367200,-0.609000,-0.999000,0.254000,-59.600000,-45.600000,-23.500000
57647,555686338,499704,561.940563500,0.494460300,-0.763000,-1.030000,0.232000,-51.500000,-47.800000,-42.500000
57648,555696379,509745,561.955068800,0.508965600,-0.868000,-1.058000,0.202000,-44.100000,-45.100000,-72.900000
57649,555706115,519481,561.963816500,0.517713300,-0.847000,-1.058000,0.155000,-16.200000,-37.500000,-104.200000
57650,555715240,528606,561.992474700,0.546371500,-0.805000,-1.207000,0.120000,4.800000,-24.200000,-126.100000
57651,555724823,538189,561.992698100,0.546594900,-0.669000,-1.304000,0.023000,30.300000,-4.700000,-137.800000
57652,555734895,548261,561.993633200,0.547530000,-0.484000,-1.599000,-0.022000,51.300000,18.800000,-140.400000
57653,555744845,558211,562.015802200,0.569699000,-0.043000,-1.800000,-0.018000,56.900000,36.900000,-126.700000
57654,555759830,573196,562.016559400,0.570456200,0.603000,-1.588000,-0.028000,55.500000,18.700000,-92.800000
57655,555763706,577072,562.022789200,0.576686000,0.706000,-1.465000,-0.151000,64.000000,2.800000,-92.900000
57656,555773320,586686,562.041292000,0.595188800,0.605000,-1.618000,-0.610000,80.800000,-23.400000,-83.800000
57657,555782567,595933,562.041301100,0.595197900,0.424000,-1.968000,-0.647000,58.900000,-35.800000,-29.900000
57658,555792181,605547,562.045294600,0.599191400,0.361000,-1.851000,-0.360000,26.400000,-42.000000,41.500000
57659,555802375,615741,562.061546100,0.615442900,0.332000,-1.518000,-0.177000,4.200000,-42.500000,65.200000
57660,555811866,625232,562.066879200,0.620776000,0.228000,-1.144000,-0.096000,-4.100000,-39.600000,71.100000
57661,555820992,634358,562.078681800,0.632578600,0.063000,-0.865000,-0.004000,0.700000,-28.900000,62.000000
57662,555831247,644613,562.090321200,0.644218000,-0.059000,-0.716000,0.082000,12.900000,-14.500000,46.100000
57663,555840860,654226,562.097535600,0.651432400,-0.093000,-0.664000,0.121000,18.200000,-3.700000,29.700000
57664,555849894,663260,562.104825300,0.658722100,-0.078000,-0.692000,0.117000,19.600000,-0.600000,22.300000
57665,555859417,672783,562.120159000,0.674055800,-0.031000,-0.739000,0.134000,18.300000,-6.300000,21.200000
57666,555869549,682915,562.127134400,0.681031200,-0.041000,-0.765000,0.163000,14.900000,-13.200000,20.100000
57667,555879133,692499,562.135818200,0.689715000,-0.070000,-0.789000,0.191000,9.000000,-18.900000,21.400000
57668,555888319,701685,562.155588600,0.709485400,-0.088000,-0.787000,0.229000,1.600000,-24.400000,22.200000
57669,555897963,711329,562.155598500,0.709495300,-0.136000,-0.810000,0.267000,-7.000000,-27.500000,23.400000
57670,555908004,721370,562.174130500,0.728027300,-0.175000,-0.819000,0.283000,-14.000000,-27.400000,25.000000
57671,555917496,730862,562.174141300,0.728038100,-0.195000,-0.797000,0.280000,-18.300000,-24.700000,26.100000
57672,555926744,740110,562.179782300,0.733679100,-0.201000,-0.780000,0.271000,-17.500000,-20.700000,23.700000
57673,555936846,750212,562.195724300,0.749621100,-0.218000,-0.786000,0.278000,-13.700000,-11.600000,16.800000
57674,555946338,759704,562.202144500,0.756041300,-0.229000,-0.787000,0.263000,-6.900000,-5.200000,13.000000
57675,555955616,768982,562.211471800,0.765368600,-0.216000,-0.799000,0.244000,-1.700000,0.300000,7.300000
57676,555965168,778534,562.231017100,0.784913900,-0.212000,-0.839000,0.244000,2.400000,5.900000,1.100000
57677,555975240,788606,562.233544600,0.787441400,-0.208000,-0.893000,0.244000,3.600000,11.700000,-3.500000
57678,555984732,798098,562.240187900,0.794084700,-0.170000,-0.993000,0.215000,1.000000,15.500000,-7.200000
57679,555994040,807406,562.254853700,0.808750500,-0.118000,-1.024000,0.165000,-4.100000,15.600000,-6.300000
57680,556004081,817447,562.264638100,0.818534900,-0.078000,-1.021000,0.136000,-8.400000,12.300000,-3.500000
57681,556013634,827000,562.270573900,0.824470700,-0.077000,-1.035000,0.140000,-11.200000,8.600000,-2.600000
57682,556022851,836217,562.288537600,0.842434400,-0.093000,-1.059000,0.140000,-14.400000,6.100000,-1.400000
