meta_label,g
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
51130,493025848,0,522.025954200,0.000000000,-0.543000,-0.856000,0.276000,6.900000,25.800000,36.800000
51131,493035217,9369,522.026648300,0.000694100,-0.535000,-0.772000,0.311000,11.200000,16.300000,38.400000
51132,493044709,18861,522.048467000,0.022512800,-0.584000,-0.713000,0.370000,19.000000,10.300000,35.400000
51133,493054720,28872,522.048792800,0.022838600,-0.584000,-0.605000,0.306000,32.900000,3.800000,25.400000
51134,493064456,38608,522.057472100,0.031517900,-0.142000,-0.960000,-0.425000,3.900000,-55.900000,42.700000
51135,493073490,47642,522.071311300,0.045357100,-0.766000,-0.834000,0.277000,-8.500000,-53.800000,39.000000
51136,493083103,57255,522.071770300,0.045816100,-0.915000,-0.604000,0.336000,-13.200000,-45.200000,38.700000
51137,493093205,67357,522.109558500,0.083604300,-0.768000,-0.502000,0.326000,-15.200000,-44.200000,20.800000
51138,493102819,76971,522.109577400,0.083623200,-0.747000,-0.517000,0.335000,-22.800000,-44.900000,4.500000
51139,493111914,86066,522.110430400,0.084476200,-0.771000,-0.528000,0.324000,-36.600000,-47.800000,-6.600000
51140,493121833,95985,522.132891600,0.106937400,-0.858000,-0.491000,0.256000,-54.400000,-40.500000,-17.600000
51141,493140206,114358,522.138298700,0.112344500,-0.753000,-0.201000,0.197000,-77.800000,-3.600000,-28.600000
51142,493143991,118143,522.138868900,0.112914700,-0.651000,-0.174000,0.194000,-70.400000,2.600000,-27.100000
51143,493150461,124613,522.154512200,0.128558000,-0.595000,-0.220000,0.188000,-59.500000,11.800000,-34.200000
51144,493162699,136851,522.164506900,0.138552700,-0.531000,-0.735000,0.107000,-36.400000,21.900000,-33.400000
51145,493170116,144268,522.164515400,0.138561200,-0.481000,-0.896000,0.091000,-31.700000,28.900000,-23.800000
51146,493179241,153393,522.176691600,0.150737400,-0.447000,-1.156000,0.121000,-24.900000,30.900000,-4.100000
51147,493189282,163434,522.183471000,0.157516800,-0.410000,-1.309000,0.167000,-9.900000,23.500000,17.800000
51148,493198957,173109,522.194581700,0.168627500,-0.686000,-1.389000,0.117000,-8.500000,23.900000,39.500000
51149,493208113,182265,522.215928200,0.189974000,-0.632000,-1.229000,0.204000,-9.400000,27.200000,52.500000
51150,493217727,191879,522.221413800,0.195459600,-0.645000,-0.998000,0.264000,3.200000,18.000000,53.100000
51151,493227768,201920,522.221661700,0.195707500,-0.556000,-0.777000,0.326000,29.900000,3.200000,39.600000
51152,493237657,211809,522.258781000,0.232826800,-0.529000,-0.767000,0.390000,60.800000,-22.000000,10.500000
