meta_label,H
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7943,77782386,0,84.129168700,0.000000000,0.065000,-1.091000,0.104000,8.800000,15.500000,-11.800000
7944,77792214,9828,84.136156300,0.006987600,0.055000,-1.143000,0.116000,-13.000000,11.000000,-7.600000
7945,77802072,19686,84.142812200,0.013643500,0.030000,-1.147000,0.135000,-28.700000,8.600000,-3.100000
7946,77811289,28903,84.158066600,0.028897900,0.001000,-1.057000,0.125000,-33.500000,9.500000,-2.200000
7947,77820872,38486,84.158660700,0.029492000,-0.003000,-0.922000,0.098000,-26.900000,12.800000,-1.400000
7948,77830944,48558,84.173313700,0.044145000,0.002000,-0.908000,0.072000,-12.900000,16.500000,-2.600000
7949,77840710,58324,84.180070000,0.050901300,0.043000,-0.903000,0.094000,8.100000,19.400000,-0.800000
7950,77849714,67328,84.191613600,0.062444900,0.063000,-0.955000,0.150000,32.100000,19.900000,1.700000
7951,77859358,76972,84.203213100,0.074044400,0.016000,-0.980000,0.211000,52.700000,23.600000,0.000000
7952,77869460,87074,84.213577000,0.084408300,0.014000,-1.028000,0.299000,67.100000,30.900000,-7.900000
7953,77878647,96261,84.217624900,0.088456200,-0.005000,-1.166000,0.384000,68.100000,41.300000,-7.800000
7954,77888169,105783,84.232948900,0.103780200,0.017000,-1.296000,0.407000,51.400000,51.500000,-15.100000
7955,77898149,115763,84.240942300,0.111773600,0.064000,-1.307000,0.382000,24.300000,56.200000,-10.000000
7956,77907976,125590,84.248189600,0.119020900,0.085000,-1.263000,0.390000,-16.200000,63.600000,-6.200000
7957,77917041,134655,84.268578500,0.139409800,0.454000,-1.236000,-0.359000,-31.400000,-64.600000,53.300000
7958,77926624,144238,84.268589500,0.139420800,0.480000,-0.643000,0.144000,-33.200000,-77.700000,48.900000
7959,77936696,154310,84.279132300,0.149963600,-0.331000,-1.126000,-0.003000,-40.400000,-46.200000,71.600000
7960,77946309,163923,84.291558400,0.162389700,-0.067000,0.134000,0.141000,-5.600000,-37.100000,35.100000
7961,77955496,173110,84.293771500,0.164602800,-0.179000,0.094000,0.139000,41.400000,-27.300000,-23.100000
7962,77965690,183304,84.308197600,0.179028900,-0.832000,-1.339000,-0.356000,22.400000,1.700000,-51.400000
7963,77975212,192826,84.315418100,0.186249400,-0.537000,-0.960000,-0.017000,-85.300000,48.500000,-28.400000
7964,77984307,201921,84.324953700,0.195785000,-0.236000,-0.589000,0.145000,-118.600000,58.200000,-16.400000
7965,77993921,211535,84.342873200,0.213704500,-0.090000,-0.399000,0.175000,-120.600000,57.500000,-38.900000
7966,78003992,221606,84.345690400,0.216521700,-0.054000,-0.426000,0.173000,-115.000000,48.000000,-63.200000
7967,78013453,231067,84.352928600,0.223759900,-0.047000,-0.661000,0.153000,-111.200000,41.900000,-69.500000
7968,78022792,240406,84.368717100,0.239548400,0.078000,-0.785000,0.142000,-101.800000,28.000000,-66.500000
7969,78032864,250478,84.379235700,0.250067000,0.214000,-0.854000,0.096000,-70.000000,14.000000,-65.400000
7970,78042417,260031,84.390554200,0.261385500,0.250000,-1.242000,-0.007000,-39.200000,2.400000,-60.300000
7971,78051634,269248,84.403335500,0.274166800,0.257000,-1.418000,-0.029000,-25.600000,-6.500000,-48.900000
7972,78061248,278862,84.403342500,0.274173800,0.341000,-1.397000,-0.066000,7.100000,-15.000000,-38.700000
7973,78071197,288811,84.428453300,0.299284600,0.371000,-1.587000,-0.105000,46.100000,-21.000000,-24.700000
7974,78081269,298883,84.428463100,0.299294400,0.475000,-1.817000,-0.014000,64.700000,-30.400000,-2.500000
7975,78090059,307673,84.429710900,0.300542200,0.543000,-1.622000,0.127000,102.200000,-55.700000,4.400000
7976,78100130,317744,84.451030800,0.321862100,0.309000,-1.943000,0.258000,107.700000,-66.100000,7.100000
7977,78111178,328792,84.451055800,0.321887100,0.275000,-1.998000,-0.146000,18.300000,-65.900000,45.400000
7978,78119236,336850,84.458100700,0.328932000,0.164000,-1.662000,-0.133000,-7.900000,-66.100000,63.600000
7979,78128544,346158,84.473303800,0.344135100,-0.075000,-1.307000,-0.030000,-40.600000,-60.500000,73.100000
7980,78138707,356321,84.487832700,0.358664000,-0.273000,-0.843000,-0.047000,-50.500000,-29.300000,62.600000
7981,78148169,365783,84.488889700,0.359721000,-0.454000,-0.565000,-0.049000,-47.200000,1.900000,42.700000
7982,78157386,375000,84.503306600,0.374137900,-0.442000,-0.312000,-0.054000,-26.000000,32.900000,14.700000
7983,78167183,384797,84.514361400,0.385192700,-0.357000,-0.311000,-0.068000,23.500000,61.900000,-7.200000
7984,78177071,394685,84.518326100,0.389157400,-0.224000,-0.441000,-0.097000,45.300000,87.900000,-16.400000
7985,78186258,403872,84.535191700,0.406023000,-0.088000,-0.621000,-0.100000,56.200000,112.900000,-8.400000
7986,78195902,413516,84.535200400,0.406031700,0.133000,-1.133000,-0.077000,49.800000,128.100000,8.700000
7987,78205974,423588,84.555591300,0.426422600,0.457000,-1.376000,-0.020000,26.000000,127.500000,29.000000
7988,78215587,433201,84.555601200,0.426432500,0.647000,-1.427000,0.072000,-4.600000,105.400000,43.100000
7989,78224713,442327,84.563068900,0.433900200,0.628000,-1.304000,0.105000,-22.800000,72.000000,52.200000
7990,78234357,451971,84.578451600,0.449282900,0.505000,-1.140000,0.106000,-27.400000,40.100000,57.700000
7991,78244398,462012,84.590597900,0.461429200,0.342000,-1.035000,0.112000,-19.600000,14.000000,54.100000
7992,78253737,471351,84.593749600,0.464580900,0.188000,-0.996000,0.113000,-6.900000,-7.300000,52.300000
7993,78263137,480751,84.609812200,0.480643500,0.058000,-0.995000,0.099000,9.200000,-22.300000,49.800000
7994,78273270,490884,84.615207000,0.486038300,-0.011000,-0.995000,0.059000,24.400000,-39.000000,45.500000
7995,78282945,500559,84.630964200,0.501795500,-0.074000,-0.987000,0.105000,51.200000,-48.400000,36.900000
7996,78292040,509654,84.637605200,0.508436500,-0.158000,-1.031000,0.147000,60.500000,-55.700000,25.200000
7997,78301623,519237,84.638126600,0.508957900,-0.244000,-1.142000,0.210000,53.500000,-59.400000,20.700000
7998,78311786,529400,84.661802300,0.532633600,-0.355000,-1.055000,0.284000,44.100000,-57.500000,14.600000
7999,78321248,538862,84.667816600,0.538647900,-0.356000,-0.886000,0.260000,36.400000,-59.200000,3.200000
8000,78330465,548079,84.668539000,0.539370300,-0.372000,-0.733000,0.320000,37.500000,-60.500000,-12.000000
8001,78340658,558272,84.684844800,0.555676100,-0.507000,-0.706000,0.415000,37.100000,-44.100000,-28.000000
8002,78350028,567642,84.691942500,0.562773800,-0.211000,-0.847000,-0.355000,15.800000,-34.400000,-31.100000
8003,78359337,576951,84.698153800,0.568985100,-0.177000,-0.605000,0.054000,-2.800000,-37.900000,-6.500000
8004,78368889,586503,84.725320400,0.596151700,-0.233000,-0.676000,0.012000,-10.200000,-24.300000,0.000000
8005,78379083,596697,84.725331200,0.596162500,0.000000,-0.362000,0.101000,-2.500000,-22.300000,-22.800000
