meta_label,H
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3676,36755754,0,65.830900100,0.000000000,-0.261000,-1.046000,0.171000,22.500000,14.500000,-7.900000
3677,36765246,9492,65.837744800,0.006844700,-0.221000,-1.095000,0.161000,21.200000,10.200000,-7.300000
3678,36774433,18679,65.844569300,0.013669200,-0.217000,-1.090000,0.188000,19.300000,6.000000,-3.000000
3679,36784596,28842,65.859435700,0.028535600,-0.230000,-1.054000,0.229000,21.500000,2.900000,0.400000
3680,36794118,38364,65.867633900,0.036733800,-0.224000,-0.988000,0.274000,29.100000,0.700000,1.700000
3681,36803274,47520,65.873980500,0.043080400,-0.237000,-0.904000,0.341000,44.000000,-0.100000,3.900000
3682,36812888,57134,65.890575700,0.059675600,-0.252000,-0.852000,0.444000,65.100000,2.900000,-0.800000
3683,36822898,67144,65.896496200,0.065596100,-0.301000,-0.897000,0.513000,84.400000,11.900000,-6.500000
3684,36832482,76728,65.912571600,0.081671500,-0.343000,-0.977000,0.573000,92.000000,39.100000,-8.400000
3685,36841699,85945,65.919729200,0.088829100,-0.373000,-1.045000,0.570000,85.700000,50.300000,-8.200000
3686,36851312,95558,65.920242900,0.089342800,-0.332000,-1.057000,0.488000,66.600000,85.900000,-3.900000
3687,36861354,105600,65.934735400,0.103835300,-0.172000,-1.001000,0.336000,21.700000,93.700000,-3.300000
3688,36870845,115091,65.943497900,0.112597800,0.006000,-0.886000,0.087000,-9.600000,84.500000,-3.000000
3689,36880184,124430,65.957587800,0.126687700,0.320000,-0.444000,-0.406000,4.000000,-10.400000,30.500000
3690,36890287,134533,65.968096300,0.137196200,0.454000,-0.587000,0.248000,22.800000,-98.600000,42.400000
3691,36899931,144177,65.972050200,0.141150100,-0.421000,-0.888000,0.243000,26.200000,-117.800000,37.900000
3692,36909056,153302,65.986990600,0.156090500,-1.125000,-1.056000,-0.201000,-1.500000,-71.300000,47.800000
3693,36918640,162886,65.988788500,0.157888400,-0.944000,-0.791000,-0.122000,-60.000000,-1.600000,62.200000
3694,36928742,172988,66.006570700,0.175670600,-0.700000,-0.317000,0.069000,-77.700000,39.800000,51.800000
3695,36938356,182602,66.009287500,0.178387400,-0.525000,-0.134000,0.201000,-60.300000,63.800000,-18.500000
3696,36947542,191788,66.016973200,0.186073100,-0.515000,-0.380000,0.213000,-39.200000,72.300000,-63.900000
3697,36957705,201951,66.032006900,0.201106800,-0.646000,-0.845000,0.159000,-46.600000,85.400000,-76.700000
3698,36967227,211473,66.043218000,0.212317900,-0.492000,-1.078000,0.199000,-78.400000,94.800000,-73.200000
3699,36976322,220568,66.046856000,0.215955900,-0.346000,-1.138000,0.264000,-85.400000,86.000000,-62.800000
3700,36985936,230182,66.065007800,0.234107700,-0.233000,-1.177000,0.295000,-84.800000,68.400000,-52.700000
3701,36995977,240223,66.069552600,0.238652500,-0.223000,-1.181000,0.285000,-74.100000,48.800000,-41.800000
3702,37005530,249776,66.084218000,0.253317900,-0.196000,-1.159000,0.294000,-52.200000,24.000000,-30.500000
3703,37014808,259054,66.093052800,0.262152700,-0.201000,-1.250000,0.260000,-24.000000,-1.400000,-26.400000
3704,37024880,269126,66.102391000,0.271490900,-0.251000,-1.365000,0.205000,-3.300000,-23.000000,-18.900000
3705,37034402,278648,66.119691400,0.288791300,-0.222000,-1.399000,0.181000,9.800000,-41.700000,-13.600000
3706,37043650,287896,66.119699600,0.288799500,-0.096000,-1.364000,0.222000,25.600000,-64.700000,-2.600000
