meta_label,H
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6264,61638832,0,66.584054700,0.000000000,-0.170000,-1.055000,0.197000,-3.500000,8.600000,1.400000
6265,61648874,10042,66.591471900,0.007417200,-0.200000,-1.001000,0.247000,5.200000,13.800000,3.100000
6266,61658518,19686,66.603087600,0.019032900,-0.194000,-0.948000,0.303000,14.500000,20.300000,4.200000
6267,61667674,28842,66.613959000,0.029904300,-0.188000,-0.974000,0.386000,23.100000,29.600000,-2.800000
6268,61677288,38456,66.623686900,0.039632200,-0.129000,-0.999000,0.425000,31.200000,38.700000,-12.300000
6269,61687268,48436,66.629539300,0.045484600,-0.095000,-1.076000,0.414000,32.400000,47.300000,-13.900000
6270,61696790,57958,66.641170800,0.057116100,-0.044000,-1.128000,0.377000,24.000000,52.600000,-12.200000
6271,61706129,67297,66.644178500,0.060123800,-0.013000,-1.111000,0.337000,12.400000,54.500000,-9.200000
6272,61716292,77460,66.660022000,0.075967300,-0.024000,-1.028000,0.287000,0.700000,56.000000,-2.400000
6273,61725937,87105,66.667010900,0.082956200,-0.030000,-0.885000,0.245000,-5.200000,63.800000,-0.100000
6274,61735001,96169,66.676920000,0.092865300,-0.028000,-0.747000,0.178000,-3.900000,67.800000,2.500000
6275,61744584,105752,66.688835700,0.104781000,0.072000,-0.699000,0.006000,-4.900000,28.100000,17.900000
6276,61754747,115915,66.697942200,0.113887500,0.128000,-0.639000,-0.216000,16.400000,-56.300000,83.400000
6277,61764087,125255,66.704317300,0.120262600,0.600000,-0.261000,0.132000,37.400000,-81.400000,5.100000
6278,61773456,134624,66.720430900,0.136376200,-0.616000,-0.843000,-0.005000,29.700000,-58.200000,-11.300000
6279,61783375,144543,66.726779200,0.142724500,-0.665000,-1.182000,-0.115000,-50.800000,-14.200000,9.000000
6280,61793172,154340,66.736106500,0.152051800,-0.675000,-0.600000,0.062000,-98.500000,19.700000,16.000000
