meta_label,h
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
20285,1456708521,0,1462.805400000,0.000000000,-0.873000,-0.676000,0.376000,2.800000,15.700000,-1.500000
20286,1456717616,9095,1462.820390800,0.014990800,-0.885000,-0.655000,0.403000,-11.100000,19.800000,-3.400000
20287,1456727321,18800,1462.830701300,0.025301300,-0.884000,-0.600000,0.429000,-18.900000,23.400000,-7.300000
20288,1456737301,28780,1462.835494400,0.030094400,-0.863000,-0.535000,0.393000,-15.500000,25.600000,-13.100000
20289,1456746457,37936,1462.851684600,0.046284600,-0.812000,-0.496000,0.313000,-6.500000,22.100000,-18.400000
20290,1456756101,47580,1462.851694800,0.046294800,-0.748000,-0.481000,0.263000,7.300000,11.100000,-20.400000
20291,1456766326,57805,1462.870113800,0.064713800,-0.724000,-0.537000,0.227000,18.900000,-5.300000,-21.300000
20292,1456775909,67388,1462.872940700,0.067540700,-0.788000,-0.602000,0.237000,24.100000,-20.400000,-20.400000
20293,1456784973,76452,1462.880452900,0.075052900,-0.818000,-0.664000,0.303000,24.700000,-32.300000,-20.100000
20294,1456795137,86616,1462.895747000,0.090347000,-0.825000,-0.727000,0.401000,20.800000,-40.600000,-24.600000
20295,1456804628,96107,1462.903173500,0.097773500,-0.841000,-0.788000,0.485000,13.700000,-45.200000,-25.500000
20296,1456813815,105294,1462.910325400,0.104925400,-0.846000,-0.775000,0.528000,6.100000,-46.200000,-21.400000
20297,1456823429,114908,1462.926216900,0.120816900,-0.863000,-0.721000,0.534000,0.300000,-40.500000,-14.200000
20298,1456833378,124857,1462.932806500,0.127406500,-0.891000,-0.583000,0.551000,0.000000,-14.100000,-8.600000
20299,1456843053,134532,1462.942824000,0.137424000,-0.842000,-0.426000,0.561000,22.800000,8.800000,-10.200000
20300,1456852239,143718,1462.955564800,0.150164800,-0.672000,-0.353000,0.347000,32.900000,-9.700000,2.200000
20301,1456861823,153302,1462.956143000,0.150743000,-0.053000,-0.636000,0.067000,26.900000,-59.500000,-11.700000
20302,1456871833,163312,1462.970567900,0.165167900,-0.823000,-0.796000,0.083000,-5.500000,-25.100000,27.600000
20303,1456881294,172773,1462.977973000,0.172573000,-0.928000,-0.294000,0.285000,-24.900000,-0.200000,19.000000
20304,1456890725,182204,1462.985746900,0.180346900,-0.278000,-0.123000,0.182000,-5.900000,-6.900000,-15.300000
20305,1456900736,192215,1463.003890500,0.198490500,-0.940000,-0.630000,-0.073000,-17.700000,24.800000,-23.600000
20306,1456910502,201981,1463.007435600,0.202035600,-0.848000,-0.607000,0.022000,-66.000000,71.600000,12.100000
20307,1456919567,211046,1463.023843100,0.218443100,-0.592000,-0.272000,0.167000,-89.200000,96.200000,22.500000
20308,1456929180,220659,1463.030640600,0.225240600,-0.509000,-0.087000,0.225000,-88.100000,108.800000,10.300000
20309,1456939374,230853,1463.039377000,0.233977000,-0.316000,-0.048000,0.270000,-73.900000,107.500000,-23.000000
20310,1456948774,240253,1463.045289300,0.239889300,-0.391000,-0.181000,0.292000,-60.900000,95.200000,-44.100000
20311,1456957991,249470,1463.060527100,0.255127100,-0.541000,-0.449000,0.284000,-58.800000,90.700000,-55.500000
20312,1456968154,259633,1463.067874800,0.262474800,-0.600000,-0.631000,0.319000,-66.000000,78.000000,-54.900000
20313,1456977677,269156,1463.078065600,0.272665600,-0.588000,-0.685000,0.383000,-62.700000,54.700000,-51.100000
