meta_label,L
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
31196,2191745944,0,2208.423664800,0.000000000,-0.407000,-0.529000,0.342000,-11.200000,20.000000,-61.800000
31197,2191759617,13673,2208.423675600,0.000010800,-0.349000,-0.798000,0.257000,13.600000,32.700000,-77.700000
31198,2191765813,19869,2208.431035300,0.007370500,-0.306000,-1.025000,0.183000,17.400000,33.300000,-77.800000
31199,2191774847,28903,2208.447691500,0.024026700,-0.198000,-1.221000,0.097000,19.300000,27.200000,-69.500000
31200,2191784369,38425,2208.447701700,0.024036900,-0.137000,-1.375000,0.068000,14.700000,15.500000,-48.100000
31201,2191794563,48619,2208.465974400,0.042309600,-0.157000,-1.444000,0.114000,7.100000,3.900000,-22.900000
31202,2191804207,58263,2208.468387900,0.044723100,-0.210000,-1.406000,0.189000,-0.400000,-2.700000,-0.100000
31203,2191813271,67327,2208.476633200,0.052968400,-0.267000,-1.315000,0.257000,-5.100000,-3.700000,14.500000
31204,2191823038,77094,2208.491651000,0.067986200,-0.311000,-1.198000,0.332000,-4.300000,-0.400000,22.700000
31205,2191832926,86982,2208.498988800,0.075324000,-0.321000,-1.069000,0.373000,2.700000,9.100000,19.900000
31206,2191842143,96199,2208.506486800,0.082822000,-0.308000,-0.954000,0.368000,17.000000,14.500000,11.300000
31207,2191851696,105752,2208.522672400,0.099007600,-0.288000,-0.895000,0.350000,36.200000,17.600000,2.500000
31208,2191861890,115946,2208.537741500,0.114076700,-0.277000,-0.889000,0.349000,65.300000,19.900000,-2.400000
31209,2191871412,125468,2208.538222900,0.114558100,-0.296000,-0.945000,0.348000,77.600000,23.300000,-0.500000
31210,2191880507,134563,2208.551502000,0.127837200,-0.317000,-1.088000,0.315000,72.900000,25.100000,6.400000
31211,2191890121,144177,2208.551786400,0.128121600,-0.287000,-1.171000,0.302000,52.100000,23.000000,22.600000
31212,2191900192,154248,2208.565908000,0.142243200,-0.267000,-1.091000,0.350000,21.900000,23.000000,39.200000
31213,2191909684,163740,2208.574341900,0.150677100,-0.351000,-0.853000,0.477000,-5.000000,34.000000,51.300000
31214,2191919023,173079,2208.580520700,0.156855900,-0.452000,-0.546000,0.652000,-15.600000,61.400000,52.500000
31215,2191929064,183120,2208.599021900,0.175357100,-0.512000,-0.215000,0.779000,-6.100000,105.100000,35.400000
31216,2191938678,192734,2208.603241600,0.179576800,0.457000,-0.045000,0.116000,36.200000,8.800000,67.200000
31217,2191947803,201859,2208.612360100,0.188695300,0.196000,-0.583000,0.177000,57.700000,-72.600000,6.200000
31218,2191957448,211504,2208.626245200,0.202580400,-0.896000,-0.701000,0.286000,64.600000,-81.300000,39.500000
31219,2191967458,221514,2208.636691800,0.213027000,-1.065000,-1.024000,-0.134000,47.100000,-4.200000,25.500000
31220,2191976981,231037,2208.640818700,0.217153900,-1.139000,-1.234000,-0.094000,-92.000000,44.300000,40.300000
31221,2191986320,240376,2208.657219600,0.233554800,-0.574000,-0.807000,0.193000,-136.900000,49.300000,29.300000
31222,2191996330,250386,2208.663593500,0.239928700,-0.444000,-0.410000,0.332000,-144.800000,44.700000,-4.400000
31223,2192006066,260122,2208.674629600,0.250964800,-0.350000,-0.028000,0.280000,-120.000000,40.800000,-43.200000
31224,2192015131,269187,2208.686256600,0.262591800,-0.332000,-0.123000,0.220000,-77.300000,40.100000,-72.500000
31225,2192024775,278831,2208.688275000,0.264610200,-0.070000,-0.459000,0.214000,-23.200000,30.200000,-97.200000
31226,2192034724,288780,2208.709514500,0.285849700,-0.054000,-0.986000,0.183000,17.500000,16.600000,-103.600000
31227,2192044460,298516,2208.709524400,0.285859600,-0.009000,-1.497000,0.172000,39.800000,5.200000,-92.200000
31228,2192053647,307703,2208.723944700,0.300279900,0.062000,-1.795000,0.193000,49.600000,-8.800000,-65.100000
31229,2192063230,317286,2208.731839500,0.308174700,0.117000,-1.967000,0.227000,58.300000,-29.600000,-30.600000
31230,2192073424,327480,2208.751334500,0.327669700,-0.365000,-1.998000,0.041000,39.400000,-22.100000,39.000000
31231,2192082458,336514,2208.753679100,0.330014300,-0.449000,-1.998000,0.061000,8.500000,-6.300000,81.900000
31232,2192092071,346127,2208.761097700,0.337432900,-0.337000,-1.808000,0.142000,1.600000,7.900000,110.200000
31233,2192102204,356260,2208.775817000,0.352152200,-0.380000,-1.584000,0.154000,5.200000,13.800000,120.500000
31234,2192112215,366271,2208.776357000,0.352692200,-0.475000,-1.233000,0.173000,-6.300000,19.600000,124.100000
31235,2192120882,374938,2208.783431500,0.359766700,-0.590000,-1.085000,0.197000,-18.800000,26.200000,119.400000
31236,2192131046,385102,2208.799556400,0.375891600,-0.663000,-0.678000,0.209000,-25.000000,34.100000,98.000000
31237,2192140781,394837,2208.807211400,0.383546600,-0.695000,-0.071000,0.244000,-16.100000,40.600000,70.300000
31238,2192149815,403871,2208.813440400,0.389775600,-0.626000,0.093000,0.259000,5.400000,43.300000,31.700000
31239,2192159399,413455,2208.828827700,0.405162900,-0.578000,0.013000,0.180000,26.300000,42.600000,-11.800000
31240,2192169409,423465,2208.836229700,0.412564900,-0.355000,-0.316000,-0.045000,31.000000,33.400000,-48.100000
31241,2192179023,433079,2208.851082600,0.427417800,0.246000,-0.499000,-0.343000,22.200000,-17.000000,-57.400000
31242,2192188209,442265,2208.860002000,0.436337200,0.033000,-0.713000,-0.227000,22.900000,-90.100000,-36.600000
31243,2192197823,451879,2208.865743300,0.442078500,-0.594000,-0.930000,0.027000,16.700000,-115.000000,-19.900000
31244,2192207834,461890,2208.884178100,0.460513300,-0.695000,-0.875000,0.209000,6.400000,-103.500000,-17.600000
31245,2192217142,471198,2208.884187900,0.460523100,-0.699000,-0.789000,0.311000,3.900000,-85.200000,-29.100000
31246,2192226634,480690,2208.888803500,0.465138700,-0.658000,-0.799000,0.322000,8.300000,-66.500000,-39.200000
31247,2192236706,490762,2208.911064900,0.487400100,-0.524000,-0.855000,0.287000,12.800000,-55.900000,-46.500000
31248,2192246350,500406,2208.911398500,0.487733700,-0.537000,-1.122000,0.222000,11.500000,-44.500000,-41.100000
31249,2192255567,509623,2208.921847000,0.498182200,-0.585000,-1.227000,0.227000,2.500000,-31.400000,-28.200000
31250,2192265150,519206,2208.941513100,0.517848300,-0.510000,-1.220000,0.234000,-8.500000,-23.200000,-13.200000
31251,2192275314,529370,2208.941521800,0.517857000,-0.442000,-1.136000,0.243000,-16.000000,-18.200000,-0.600000
31252,2192284805,538861,2208.948815100,0.525150300,-0.425000,-1.044000,0.264000,-18.500000,-13.000000,6.700000
31253,2192293992,548048,2208.963835200,0.540170400,-0.380000,-0.988000,0.269000,-18.700000,-9.900000,8.800000
31254,2192304124,558180,2208.971108600,0.547443800,-0.353000,-0.958000,0.261000,-18.500000,-9.800000,7.800000
31255,2192313708,567764,2208.985872500,0.562207700,-0.358000,-0.899000,0.261000,-17.700000,-8.900000,4.000000
31256,2192322864,576920,2208.993173000,0.569508200,-0.353000,-0.863000,0.277000,-15.200000,-6.200000,-0.700000
31257,2192332416,586472,2208.993943100,0.570278300,-0.316000,-0.860000,0.278000,-12.400000,-4.900000,-7.800000
31258,2192342335,596391,2209.016435200,0.592770400,-0.298000,-0.870000,0.271000,-11.600000,-6.200000,-12.500000
31259,2192352193,606249,2209.035580300,0.611915500,-0.319000,-0.902000,0.306000,-15.900000,-5.700000,-16.700000
31260,2192361288,615344,2209.035590700,0.611925900,-0.350000,-0.924000,0.316000,-19.800000,-4.300000,-17.700000
31261,2192370994,625050,2209.038457700,0.614792900,-0.344000,-0.925000,0.316000,-22.900000,-3.900000,-16.400000
31262,2192380913,634969,2209.045930400,0.622265600,-0.324000,-0.914000,0.305000,-25.400000,-4.100000,-18.100000
31263,2192390099,644155,2209.060858900,0.637194100,-0.317000,-0.932000,0.299000,-27.900000,-5.500000,-19.900000
31264,2192399744,653800,2209.061849200,0.638184400,-0.340000,-0.927000,0.288000,-30.900000,-5.900000,-20.900000
31265,2192409754,663810,2209.077088900,0.653424100,-0.335000,-0.886000,0.269000,-29.300000,-5.800000,-21.900000
31266,2192419582,673638,2209.083607400,0.659942600,-0.325000,-0.869000,0.255000,-23.800000,-5.800000,-22.500000
31267,2192428585,682641,2209.091265100,0.667600300,-0.335000,-0.892000,0.246000,-18.100000,-6.300000,-24.700000
31268,2192438687,692743,2209.106565700,0.682900900,-0.360000,-0.927000,0.223000,-15.200000,-5.300000,-26.900000
31269,2192448331,702387,2209.113652900,0.689988100,-0.353000,-0.939000,0.188000,-13.900000,-3.800000,-28.300000
31270,2192457396,711452,2209.121076400,0.697411600,-0.308000,-0.932000,0.150000,-10.000000,-7.200000,-31.300000
31271,2192467071,721127,2209.136356600,0.712691800,-0.280000,-0.923000,0.120000,-3.000000,-14.400000,-25.700000
31272,2192477173,731229,2209.143312800,0.719648000,-0.293000,-0.976000,0.109000,2.000000,-19.300000,-22.700000
