meta_label,L
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
60352,1211823549,0,1216.579910000,0.000000000,-0.367000,-0.904000,0.178000,16.900000,-19.400000,3.900000
60353,1211833681,10132,1216.579919100,0.000009100,-0.352000,-0.902000,0.184000,18.200000,-20.100000,3.700000
60354,1211843173,19624,1216.584716800,0.004806800,-0.354000,-0.909000,0.193000,17.600000,-21.400000,5.100000
60355,1211852451,28902,1216.596602900,0.016692900,-0.364000,-0.917000,0.207000,14.700000,-21.900000,4.900000
60356,1211862004,38455,1216.631315000,0.051405000,-0.363000,-0.899000,0.230000,11.600000,-21.900000,4.400000
60357,1211873937,50388,1216.631324700,0.051414700,-0.372000,-0.858000,0.295000,13.900000,-20.300000,1.300000
60358,1211881476,57927,1216.631328000,0.051418000,-0.374000,-0.863000,0.326000,17.300000,-17.700000,-4.000000
60359,1211890906,67357,1216.676153900,0.096243900,-0.383000,-0.917000,0.346000,16.400000,-13.500000,-10.200000
60360,1211918954,95405,1216.676176700,0.096266700,-0.354000,-0.879000,0.387000,12.200000,3.400000,-12.100000
60361,1211922830,99281,1216.676501900,0.096591900,-0.336000,-0.879000,0.387000,17.400000,5.400000,-10.300000
60362,1211926615,103066,1216.705458800,0.125548800,-0.317000,-0.848000,0.391000,17.400000,6.500000,-9.300000
60363,1211963971,140422,1216.734305400,0.154395400,-0.442000,-1.040000,0.402000,32.000000,37.900000,3.600000
60364,1211967817,144268,1216.734524300,0.154614300,-0.486000,-1.053000,0.433000,32.000000,37.900000,13.300000
60365,1211971693,148144,1216.735593500,0.155683500,-0.352000,-1.044000,0.218000,22.700000,51.400000,13.300000
60366,1211994369,170820,1216.772425200,0.192515200,-0.393000,-1.114000,0.229000,1.200000,-60.500000,45.800000
60367,1212023943,200394,1216.772451100,0.192541100,-0.954000,-1.079000,0.078000,-105.400000,5.600000,37.700000
60368,1212027758,204209,1216.773520600,0.193610600,-0.868000,-0.781000,0.142000,-105.400000,5.600000,31.600000
60369,1212031634,208085,1216.802748900,0.222838900,-0.703000,-0.501000,0.224000,-114.300000,17.900000,31.600000
60370,1212061452,237903,1216.802761300,0.222851300,-0.317000,-0.470000,0.108000,-55.900000,53.400000,-51.200000
60371,1212065053,241504,1216.805136300,0.225226300,-0.332000,-0.633000,0.109000,-55.900000,55.000000,-50.900000
60372,1212068899,245350,1216.824537900,0.244627900,-0.324000,-0.767000,0.125000,-57.700000,55.000000,-50.900000
60373,1212091484,267935,1216.825686900,0.245776900,-0.225000,-0.932000,0.180000,-76.400000,34.000000,-17.000000
60374,1212095268,271719,1216.827948600,0.248038600,-0.231000,-0.855000,0.194000,-77.400000,27.100000,-11.600000
60375,1212099541,275992,1216.848301700,0.268391700,-0.231000,-0.783000,0.202000,-76.800000,20.300000,-10.500000
60376,1212114008,290459,1216.848311700,0.268401700,-0.267000,-0.683000,0.147000,-59.400000,3.500000,-33.200000
60377,1212117853,294304,1216.854413600,0.274503600,-0.267000,-0.710000,0.117000,-51.000000,0.100000,-43.300000
60378,1212121912,298363,1216.868941900,0.289031900,-0.272000,-0.710000,0.082000,-39.800000,-3.300000,-50.300000
60379,1212136409,312860,1216.869695500,0.289785500,-0.211000,-0.935000,-0.007000,7.500000,-10.900000,-65.300000
60380,1212140255,316706,1216.870222200,0.290312200,-0.179000,-0.935000,-0.038000,28.400000,-13.100000,-66.900000
60381,1212144528,320979,1216.891573900,0.311663900,-0.139000,-0.970000,-0.042000,51.900000,-16.900000,-67.700000
60382,1212158963,335414,1216.892372200,0.312462200,-0.263000,-1.615000,-0.190000,59.900000,-7.200000,-38.700000
60383,1212162809,339260,1216.899518500,0.319608500,-0.469000,-1.848000,-0.190000,59.900000,10.800000,-21.600000
60384,1212166746,343197,1216.914851800,0.334941800,-0.496000,-1.893000,-0.207000,42.000000,23.800000,-5.000000
60385,1212181518,357969,1216.914862400,0.334952400,-0.184000,-1.736000,-0.102000,8.800000,38.400000,36.500000
60386,1212185363,361814,1216.929435400,0.349525400,-0.143000,-1.672000,-0.091000,8.800000,38.400000,46.700000
60387,1212189453,365904,1216.938329400,0.358419400,-0.079000,-1.588000,-0.063000,5.700000,39.300000,54.900000
60388,1212204133,380584,1216.938338800,0.358428800,-0.057000,-1.407000,0.040000,-4.800000,23.100000,72.200000
60389,1212207887,384338,1216.959491500,0.379581500,-0.105000,-1.362000,0.059000,-10.300000,23.100000,76.000000
60390,1212226474,402925,1216.959500000,0.379590000,-0.396000,-0.974000,0.116000,-33.100000,8.400000,83.900000
60391,1212230075,406526,1216.960727300,0.380817300,-0.476000,-0.810000,0.114000,-33.100000,8.700000,83.900000
60392,1212234348,410799,1216.981640200,0.401730200,-0.550000,-0.648000,0.110000,-29.300000,10.800000,77.900000
60393,1212248997,425448,1216.982212500,0.402302500,-0.724000,-0.353000,0.144000,0.700000,22.900000,42.100000
60394,1212252874,429325,1216.990257800,0.410347800,-0.757000,-0.338000,0.161000,12.300000,27.700000,26.600000
60395,1212256933,433384,1217.019210900,0.439300900,-0.795000,-0.343000,0.171000,22.500000,32.400000,9.900000
60396,1212271491,447942,1217.019445400,0.439535400,-0.805000,-0.466000,0.199000,43.400000,46.800000,-28.400000
60397,1212275092,451543,1217.020738200,0.440828200,-0.805000,-0.552000,0.189000,47.300000,49.200000,-36.500000
60398,1212278968,455419,1217.041569000,0.461659000,-0.776000,-0.552000,0.152000,48.100000,50.200000,-41.200000
60399,1212309030,485481,1217.042078000,0.462168000,-0.176000,-1.129000,-0.377000,4.700000,-71.800000,26.300000
60400,1212312815,489266,1217.042940000,0.463030000,-0.378000,-1.180000,-0.222000,0.400000,-90.900000,34.500000
60401,1212317088,493539,1217.064184400,0.484274400,-0.378000,-1.159000,-0.094000,-3.600000,-101.200000,39.300000
60402,1212331493,507944,1217.072409900,0.492499900,-0.730000,-0.899000,0.160000,-17.200000,-98.000000,38.500000
60403,1212335155,511606,1217.072419200,0.492509200,-0.730000,-0.810000,0.222000,-18.900000,-90.400000,36.400000
60404,1212339093,515544,1217.094579800,0.514669800,-0.764000,-0.810000,0.267000,-17.400000,-81.100000,32.600000
60405,1212361525,537976,1217.095009000,0.515099000,-0.510000,-0.622000,0.282000,20.100000,-48.300000,-34.100000
60406,1212365309,541760,1217.101552200,0.521642200,-0.506000,-0.729000,0.262000,19.200000,-48.300000,-40.600000
60407,1212369582,546033,1217.125329600,0.545419600,-0.519000,-0.858000,0.250000,21.300000,-43.600000,-40.600000
60408,1212384079,560530,1217.125339200,0.545429200,-0.423000,-1.093000,0.233000,8.000000,-30.100000,-33.900000
60409,1212387833,564284,1217.125566900,0.545656900,-0.390000,-1.092000,0.251000,1.300000,-27.500000,-33.900000
60410,1212391770,568221,1217.147766400,0.567856400,-0.372000,-1.076000,0.284000,-4.400000,-24.800000,-30.400000
60411,1212414050,590501,1217.147774100,0.567864100,-0.299000,-0.902000,0.307000,-23.500000,-10.000000,-29.900000
60412,1212417865,594316,1217.162826100,0.582916100,-0.275000,-0.902000,0.307000,-25.100000,-9.000000,-31.000000
60413,1212421832,598283,1217.168926900,0.589016900,-0.263000,-0.876000,0.300000,-25.900000,-8.500000,-32.700000
60414,1212436757,613208,1217.170673600,0.590763600,-0.291000,-0.852000,0.272000,-29.200000,-3.400000,-38.400000
60415,1212440724,617175,1217.191725000,0.611815000,-0.297000,-0.854000,0.272000,-30.300000,-1.800000,-37.800000
60416,1212459036,635487,1217.192596700,0.612686700,-0.295000,-0.849000,0.210000,-31.200000,0.900000,-31.800000
60417,1212462851,639302,1217.192778700,0.612868700,-0.298000,-0.851000,0.192000,-31.200000,0.900000,-30.300000
60418,1212467093,643544,1217.214360300,0.634450300,-0.303000,-0.861000,0.178000,-30.700000,1.500000,-28.200000
60419,1212481529,657980,1217.226065700,0.646155700,-0.333000,-0.907000,0.163000,-28.800000,4.400000,-25.200000
60420,1212485405,661856,1217.226074400,0.646164400,-0.339000,-0.916000,0.151000,-28.700000,4.400000,-23.000000
60421,1212489495,665946,1217.237109700,0.657199700,-0.334000,-0.916000,0.124000,-28.800000,5.300000,-23.600000
60422,1212504114,680565,1217.238062100,0.658152100,-0.302000,-0.894000,0.050000,-23.700000,5.100000,-18.100000
60423,1212507838,684289,1217.238072100,0.658162100,-0.297000,-0.890000,0.033000,-19.700000,4.300000,-18.100000
60424,1212516322,692773,1217.263345900,0.683435900,-0.299000,-0.909000,0.008000,-8.800000,2.700000,-16.900000
60425,1212526577,703028,1217.263355100,0.683445100,-0.314000,-0.966000,-0.002000,0.100000,2.000000,-17.800000
60426,1212535061,711512,1217.266931300,0.687021300,-0.323000,-1.029000,-0.013000,5.700000,0.300000,-12.600000
60427,1212544706,721157,1217.281570300,0.701660300,-0.334000,-1.085000,-0.011000,6.600000,-1.000000,-6.600000
60428,1212554716,731167,1217.289721000,0.709811000,-0.332000,-1.116000,-0.006000,3.700000,-2.700000,1.400000
60429,1212564116,740567,1217.299058000,0.719148000,-0.322000,-1.114000,-0.005000,-0.400000,-4.800000,6.900000
