meta_label,l
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
43077,2305982304,0,2322.628100400,0.000000000,-0.552000,-0.890000,0.145000,11.500000,-2.400000,-37.700000
43078,2305991521,9217,2322.640233500,0.012133100,-0.546000,-0.954000,0.127000,15.300000,-2.200000,-36.700000
43079,2306001013,18709,2322.652999400,0.024899000,-0.557000,-1.003000,0.127000,18.500000,-2.800000,-30.800000
43080,2306010596,28292,2322.659955000,0.031854600,-0.551000,-1.038000,0.134000,22.200000,-5.200000,-23.800000
43081,2306020607,38303,2322.665552500,0.037452100,-0.570000,-1.079000,0.143000,24.800000,-7.800000,-15.600000
43082,2306029793,47489,2322.681069000,0.052968600,-0.601000,-1.096000,0.155000,22.600000,-8.200000,-6.800000
43083,2306039468,57164,2322.695486200,0.067385800,-0.573000,-1.027000,0.162000,20.900000,-7.800000,-0.500000
43084,2306049570,67266,2322.697633300,0.069532900,-0.517000,-0.908000,0.181000,26.300000,-10.400000,2.000000
43085,2306059215,76911,2322.703259600,0.075159200,-0.491000,-0.827000,0.232000,38.300000,-13.700000,-3.800000
43086,2306068248,85944,2322.713122600,0.085022200,-0.503000,-0.788000,0.263000,53.600000,-14.800000,-9.300000
43087,2306078442,96138,2322.726915900,0.098815500,-0.519000,-0.775000,0.297000,67.000000,-12.200000,-18.300000
43088,2306087934,105630,2322.734628000,0.106527600,-0.517000,-0.816000,0.315000,71.700000,0.100000,-25.500000
43089,2306097151,114847,2322.740868500,0.112768100,-0.495000,-0.883000,0.306000,63.100000,12.800000,-24.400000
43090,2306106765,124461,2322.756425500,0.128325100,-0.461000,-0.921000,0.324000,47.500000,28.300000,-17.600000
43091,2306116775,134471,2322.764223000,0.136122600,0.233000,-1.198000,-0.253000,-42.500000,-60.300000,80.300000
43092,2306126359,144055,2322.778466700,0.150366300,-0.245000,-0.709000,0.171000,-37.000000,-59.200000,45.300000
43093,2306135545,153241,2322.793433300,0.165332900,-0.134000,-0.438000,0.198000,-24.900000,-78.100000,82.900000
43094,2306145250,162946,2322.793820600,0.165720200,-0.062000,-0.135000,0.200000,-2.300000,-93.700000,60.200000
43095,2306155505,173201,2322.809453600,0.181353200,-1.017000,-0.642000,-0.175000,-9.900000,-78.200000,71.900000
43096,2306164539,182235,2322.809677500,0.181577100,-1.026000,-0.139000,-0.045000,-63.600000,3.200000,75.600000
43097,2306174000,191696,2322.815834400,0.187734000,-0.406000,0.310000,0.220000,-41.500000,19.300000,27.400000
43098,2306184072,201768,2322.830808800,0.202708400,-0.614000,0.034000,0.172000,-7.900000,20.500000,-44.600000
43099,2306193747,211443,2322.838337500,0.210237100,-0.774000,-0.398000,0.124000,-1.600000,46.900000,-63.400000
43100,2306202903,220599,2322.845636100,0.217535700,-0.780000,-0.673000,0.155000,-12.600000,54.000000,-70.500000
43101,2306212547,230243,2322.864308600,0.236208200,-0.751000,-0.854000,0.159000,-24.400000,71.100000,-68.000000
43102,2306222619,240315,2322.868296700,0.240196300,-0.692000,-0.989000,0.152000,-42.500000,75.100000,-59.100000
43103,2306232110,249806,2322.876075200,0.247974800,-0.569000,-0.978000,0.167000,-47.400000,70.900000,-56.400000
43104,2306241327,259023,2322.890829200,0.262728800,-0.492000,-0.951000,0.134000,-43.900000,62.700000,-64.100000
43105,2306251460,269156,2322.898636400,0.270536000,-0.496000,-0.985000,0.090000,-35.500000,56.200000,-73.900000
43106,2306261043,278739,2322.906029200,0.277928800,-0.475000,-1.044000,0.084000,-21.300000,46.100000,-86.100000
43107,2306270230,287926,2322.927168400,0.299068000,-0.484000,-1.190000,0.043000,-4.200000,32.900000,-97.400000
43108,2306279844,297540,2322.928181000,0.300080600,-0.588000,-1.395000,-0.016000,2.200000,27.000000,-97.400000
43109,2306289946,307642,2322.937448100,0.309347700,-0.484000,-1.496000,-0.134000,-1.200000,20.300000,-82.400000
43110,2306299376,317072,2322.950653200,0.322552800,-0.120000,-1.422000,-0.319000,-1.100000,-14.900000,-59.500000
43111,2306308655,326351,2322.951293900,0.323193500,-0.355000,-1.416000,-0.293000,3.900000,-59.100000,-27.400000
43112,2306318757,336453,2322.965890100,0.337789700,-0.732000,-1.385000,-0.143000,3.100000,-68.500000,8.600000
43113,2306328370,346066,2322.974030700,0.345930300,-0.780000,-1.250000,-0.004000,-1.000000,-54.500000,22.000000
43114,2306337465,355161,2322.988711700,0.360611300,-0.728000,-1.076000,0.057000,-2.200000,-44.500000,25.800000
43115,2306347079,364775,2323.002576000,0.374475600,-0.608000,-0.927000,0.095000,2.800000,-39.700000,21.700000
