meta_label,l
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
40046,386452755,0,398.621747600,0.000000000,-0.538000,-0.856000,0.190000,16.500000,-12.100000,-13.700000
40047,386462826,10071,398.622168600,0.000421000,-0.521000,-0.874000,0.189000,21.300000,-16.100000,-13.200000
40048,386472593,19838,398.637989500,0.016241900,-0.507000,-0.882000,0.200000,25.200000,-20.800000,-12.000000
40049,386481565,28810,398.644412700,0.022665100,-0.499000,-0.864000,0.230000,30.100000,-26.100000,-10.800000
40050,386491271,38516,398.649260500,0.027512900,-0.495000,-0.850000,0.280000,36.500000,-30.900000,-10.300000
40051,386501342,48587,398.664450000,0.042702400,-0.525000,-0.830000,0.330000,45.600000,-26.800000,-9.900000
40052,386510407,57652,398.665047600,0.043300000,-0.583000,-0.835000,0.406000,46.300000,-11.500000,-7.500000
40053,386520082,67327,398.671774400,0.050026800,-0.644000,-0.821000,0.486000,43.200000,11.100000,-3.800000
40054,386530214,77459,398.687298600,0.065551000,-0.644000,-0.798000,0.582000,37.300000,39.000000,-10.700000
40055,386539706,86951,398.695734700,0.073987100,-0.593000,-0.807000,0.588000,24.800000,65.800000,-19.100000
40056,386548893,96138,398.702460300,0.080712700,-0.422000,-0.921000,-0.140000,9.000000,39.400000,-26.900000
40057,386559086,106331,398.718892700,0.097145100,-0.163000,-0.500000,0.205000,16.800000,-60.900000,51.700000
40058,386568609,115854,398.724825500,0.103077900,-0.317000,-1.077000,0.234000,8.200000,-85.700000,24.000000
40059,386577826,125071,398.732227600,0.110480000,-0.546000,-0.785000,0.226000,2.000000,-80.700000,39.100000
40060,386587409,134654,398.747326000,0.125578400,-0.647000,-0.852000,-0.028000,-10.200000,-69.100000,27.900000
40061,386597389,144634,398.758947300,0.137199700,-0.982000,-0.798000,-0.038000,-56.200000,-20.100000,37.800000
40062,386607033,154278,398.761886100,0.140138500,-0.545000,-0.167000,0.164000,-60.900000,9.000000,13.000000
40063,386616220,163465,398.777751500,0.156003900,-0.593000,-0.045000,0.181000,-27.600000,16.800000,-26.300000
40064,386625834,173079,398.777760700,0.156013100,-0.789000,-0.315000,0.162000,-4.800000,42.800000,-52.400000
40065,386635814,183059,398.794911600,0.173164000,-0.801000,-0.595000,0.185000,-6.100000,58.200000,-62.700000
