meta_label,M
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
56374,1173575488,0,1190.422302200,0.000000000,-0.571000,-0.928000,0.163000,10.800000,-4.800000,16.900000
56375,1173584888,9400,1190.435239900,0.012937700,-0.565000,-0.896000,0.183000,15.500000,-7.000000,22.100000
56376,1173594380,18892,1190.436280100,0.013977900,-0.557000,-0.880000,0.211000,20.900000,-8.000000,23.000000
56377,1173604238,28750,1190.451809200,0.029507000,-0.597000,-0.862000,0.274000,29.000000,-7.600000,29.300000
56378,1173614309,38821,1190.457665700,0.035363500,-0.620000,-0.853000,0.323000,39.800000,-3.300000,30.400000
56379,1173623160,47672,1190.467879500,0.045577300,-0.626000,-0.844000,0.353000,50.400000,4.100000,31.200000
56380,1173632804,57316,1190.483032000,0.060729800,-0.572000,-0.815000,0.368000,60.700000,10.800000,28.500000
56381,1173642968,67480,1190.487723000,0.065420800,-0.536000,-0.847000,0.325000,60.100000,15.900000,17.600000
56382,1173652368,76880,1190.496163900,0.073861700,-0.563000,-0.850000,0.303000,47.000000,26.400000,17.200000
56383,1173661646,86158,1190.523981500,0.101679300,-0.567000,-0.809000,0.313000,29.200000,36.400000,10.800000
56384,1173671748,96260,1190.523996400,0.101694200,0.210000,-0.835000,-0.480000,12.800000,-36.600000,19.600000
56385,1173681362,105874,1190.528144800,0.105842600,-0.280000,-0.645000,0.242000,1.200000,-57.300000,30.600000
56386,1173690487,114999,1190.546893200,0.124591000,-0.516000,-0.912000,0.231000,-1.600000,-58.100000,30.900000
56387,1173700132,124644,1190.546908800,0.124606600,-0.618000,-0.783000,0.138000,-12.900000,-51.600000,28.600000
56388,1173710203,134715,1190.560983100,0.138680900,-0.668000,-0.999000,0.018000,-67.600000,-31.300000,44.100000
56389,1173719725,144237,1190.564455100,0.142152900,-0.573000,-0.410000,0.156000,-105.900000,-5.300000,58.300000
56390,1173728912,153424,1190.570382400,0.148080200,-0.391000,0.124000,0.236000,-93.100000,-4.000000,34.300000
56391,1173738861,163373,1190.585433900,0.163131700,-0.585000,0.163000,0.171000,-61.400000,0.800000,-17.000000
56392,1173748597,173109,1190.593006000,0.170703800,-0.692000,-0.081000,0.151000,-37.100000,15.700000,-56.000000
56393,1173757814,182326,1190.600316700,0.178014500,-0.671000,-0.496000,0.176000,-19.900000,25.200000,-79.100000
56394,1173767428,191940,1190.618904700,0.196602500,-0.693000,-0.940000,0.194000,-12.000000,28.400000,-76.500000
56395,1173777500,202012,1190.622839100,0.200536900,-0.650000,-1.225000,0.239000,-8.800000,18.400000,-60.200000
56396,1173786992,211504,1190.631352800,0.209050600,-0.538000,-1.324000,0.262000,0.800000,1.400000,-53.700000
56397,1173796239,220751,1190.655902000,0.233599800,-0.548000,-1.328000,0.278000,20.000000,-15.800000,-50.700000
56398,1173806005,230517,1190.655911300,0.233609100,-0.626000,-1.572000,0.238000,41.200000,-20.100000,-41.600000
56399,1173816077,240589,1190.660532700,0.238230500,-1.094000,-1.998000,0.136000,-14.800000,1.400000,-2.000000
56400,1173825142,249654,1190.675548500,0.253246300,-1.042000,-1.942000,0.218000,-45.500000,21.400000,29.600000
56401,1173834725,259237,1190.675967800,0.253665600,-0.223000,-1.000000,0.544000,61.400000,-26.700000,9.700000
56402,1173844888,269400,1190.693816900,0.271514700,-0.688000,-1.632000,0.253000,98.600000,-64.700000,2.600000
56403,1173854502,279014,1190.697990900,0.275688700,-0.730000,-1.652000,0.221000,76.700000,-57.400000,20.500000
56404,1173863566,288078,1190.706532900,0.284230700,-0.717000,-1.250000,0.196000,58.800000,-49.200000,33.200000
56405,1173873790,298302,1190.720444400,0.298142200,-0.619000,-0.775000,0.169000,63.400000,-35.700000,35.100000
56406,1173883282,307794,1190.731770300,0.309468100,-0.491000,-0.470000,0.145000,71.800000,-24.500000,24.000000
56407,1173892408,316920,1190.735685000,0.313382800,-0.428000,-0.417000,0.067000,65.800000,-13.000000,14.300000
56408,1173902021,326533,1190.751439300,0.329137100,-0.397000,-0.426000,0.029000,34.300000,2.600000,10.800000
56409,1173912307,336819,1190.757853300,0.335551100,-0.252000,-0.370000,0.067000,-5.700000,7.900000,9.500000
56410,1173921707,346219,1190.768720700,0.346418500,-0.009000,-0.007000,0.179000,-31.900000,-10.900000,-4.100000
56411,1173930863,355375,1190.780204100,0.357901900,0.064000,0.310000,0.205000,-5.600000,-27.300000,-29.900000
56412,1173940477,364989,1190.780668300,0.358366100,-0.574000,-0.227000,-0.197000,-30.500000,10.900000,-29.100000
56413,1173950487,374999,1190.795770200,0.373468000,-0.787000,-0.700000,0.015000,-95.300000,54.400000,-2.300000
56414,1173959979,384491,1190.808071800,0.385769600,-0.374000,-0.184000,0.198000,-115.500000,63.800000,-18.800000
56415,1173969318,393830,1190.810631800,0.388329600,-0.350000,-0.094000,0.253000,-93.700000,61.000000,-48.500000
56416,1173979390,403902,1190.826452300,0.404150100,-0.451000,-0.367000,0.253000,-56.800000,54.100000,-72.600000
56417,1173989187,413699,1190.832919000,0.410616800,-0.511000,-0.826000,0.272000,-32.000000,46.500000,-82.100000
56418,1173998190,422702,1190.841264300,0.418962100,-0.613000,-1.281000,0.285000,-19.200000,33.500000,-77.700000
56419,1174007804,432316,1190.855658200,0.433356000,-0.590000,-1.449000,0.323000,-4.600000,17.000000,-60.800000
56420,1174017753,442265,1190.865578200,0.443276000,-0.616000,-1.615000,0.320000,17.300000,-2.300000,-41.400000
56421,1174027245,451757,1190.870580300,0.448278100,-0.798000,-1.898000,0.268000,21.700000,-13.200000,-20.500000
56422,1174036645,461157,1190.885890700,0.463588500,-1.392000,-1.935000,0.061000,-8.800000,30.300000,15.200000
