meta_label,M
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5637,55610217,0,75.051720600,0.000000000,-0.431000,-0.851000,0.277000,58.400000,9.800000,9.300000
5638,55620380,10163,75.059925600,0.008205000,-0.406000,-0.893000,0.283000,72.300000,9.100000,4.800000
5639,55629658,19441,75.066878000,0.015157400,-0.396000,-0.959000,0.312000,68.100000,9.400000,1.100000
5640,55639089,28872,75.086318300,0.034597700,-0.415000,-1.032000,0.349000,56.100000,12.000000,-0.500000
5641,55649008,38791,75.088836800,0.037116200,-0.437000,-1.053000,0.379000,40.400000,17.900000,-0.300000
5642,55658683,48466,75.098438200,0.046717600,-0.463000,-1.066000,0.373000,21.000000,28.600000,2.000000
5643,55667930,57713,75.111538000,0.059817400,-0.071000,-1.150000,-0.401000,-14.400000,-11.000000,33.600000
5644,55677483,67266,75.112085100,0.060364500,-0.331000,-0.930000,0.115000,-36.900000,-11.100000,63.700000
5645,55687463,77246,75.127449100,0.075728500,-0.394000,-0.784000,0.275000,-36.700000,-19.300000,57.300000
5646,55697138,86921,75.134102300,0.082381700,-0.450000,-0.496000,0.189000,-25.000000,-6.400000,56.600000
5647,55706355,96138,75.142338700,0.090618100,-0.124000,-0.313000,0.242000,-3.500000,-13.800000,37.300000
5648,55716396,106179,75.158911400,0.107190800,-0.305000,-0.577000,0.165000,8.600000,-24.100000,10.000000
5649,55726040,115823,75.164544300,0.112823700,-0.741000,-0.820000,0.021000,-28.100000,6.100000,8.500000
5650,55735227,125010,75.172777300,0.121056700,-0.681000,-0.763000,0.067000,-70.700000,29.500000,6.700000
5651,55744902,134685,75.186993000,0.135272400,-0.550000,-0.613000,0.134000,-102.200000,42.800000,-4.200000
5652,55754943,144726,75.198662600,0.146942000,-0.380000,-0.480000,0.226000,-94.900000,42.000000,-23.500000
5653,55764618,154401,75.201407700,0.149687100,-0.328000,-0.689000,0.205000,-84.000000,35.800000,-36.400000
5654,55773682,163465,75.219845600,0.168125000,-0.460000,-0.886000,0.191000,-82.400000,35.200000,-40.500000
5655,55783448,173231,75.224175200,0.172454600,-0.456000,-0.964000,0.195000,-78.000000,31.400000,-39.600000
5656,55793276,183059,75.237852400,0.186131800,-0.394000,-0.921000,0.203000,-56.200000,22.600000,-38.700000
5657,55802493,192276,75.246767200,0.195046600,-0.404000,-1.019000,0.176000,-15.900000,9.600000,-46.600000
5658,55812107,201890,75.257021600,0.205301000,-0.512000,-1.262000,0.151000,18.100000,2.300000,-49.500000
5659,55822148,211931,75.261514400,0.209793800,-0.591000,-1.626000,0.112000,41.400000,0.000000,-47.200000
5660,55831945,221728,75.272236900,0.220516300,-0.817000,-1.995000,0.067000,0.500000,13.000000,-14.900000
5661,55840979,230762,75.277411900,0.225691300,-0.729000,-1.742000,0.107000,-37.400000,28.800000,-0.900000
5662,55851233,241016,75.292754100,0.241033500,0.319000,-0.513000,0.402000,37.800000,-34.800000,-22.000000
5663,55860664,250447,75.298824400,0.247103800,-0.054000,-1.069000,0.277000,151.700000,-61.400000,-24.900000
5664,55869912,259695,75.314125600,0.262405000,-0.404000,-1.448000,0.232000,155.100000,-60.400000,-27.000000
5665,55879403,269186,75.321725600,0.270005000,-0.376000,-1.588000,0.127000,127.300000,-56.000000,-14.800000
5666,55889627,279410,75.331756500,0.280035900,-0.506000,-1.551000,0.077000,84.300000,-39.300000,11.800000
5667,55899150,288933,75.336795700,0.285075100,-0.399000,-0.991000,0.116000,54.500000,-30.500000,31.500000
5668,55908275,298058,75.351359500,0.299638900,-0.350000,-0.736000,0.088000,38.600000,-23.700000,37.000000
5669,55917858,307641,75.353153800,0.301433200,-0.365000,-0.652000,0.034000,10.200000,-12.800000,37.000000
5670,55928022,317805,75.369363300,0.317642700,-0.275000,-0.559000,0.059000,-28.100000,-5.600000,30.500000
5671,55937544,327327,75.381700300,0.329979700,-0.167000,-0.178000,0.162000,-61.200000,-8.100000,21.100000
5672,55946730,336513,75.382740000,0.331019400,-0.066000,0.276000,0.235000,-44.800000,-22.400000,-5.100000
5673,55956894,346677,75.397131400,0.345410800,-0.411000,0.111000,0.030000,-7.900000,-21.200000,-39.300000
5674,55966416,356199,75.408900700,0.357180100,-0.864000,-0.662000,-0.119000,-27.700000,42.300000,-28.600000
5675,55975602,365385,75.411690100,0.359969500,-0.673000,-0.683000,0.033000,-87.500000,67.800000,-19.500000
5676,55985186,374969,75.434393800,0.382673200,-0.315000,-0.445000,0.232000,-102.900000,63.900000,-38.500000
5677,55995105,384888,75.434402200,0.382681600,-0.291000,-0.580000,0.234000,-94.100000,55.800000,-53.400000
5678,56004871,394654,75.448499900,0.396779300,-0.471000,-0.910000,0.232000,-91.500000,54.300000,-56.100000
5679,56014088,403871,75.457476000,0.405755400,-0.480000,-0.974000,0.234000,-81.200000,49.100000,-59.700000
5680,56024068,413851,75.464939500,0.413218900,-0.484000,-1.099000,0.224000,-64.100000,41.800000,-64.100000
5681,56033804,423587,75.472260100,0.420539500,-0.281000,-1.034000,0.221000,-25.300000,26.600000,-67.900000
5682,56042899,432682,75.486414000,0.434693400,-0.119000,-1.140000,0.254000,31.000000,3.800000,-72.100000
5683,56052482,442265,75.487655800,0.435935200,-0.561000,-1.910000,0.094000,40.300000,-14.700000,-72.200000
5684,56062523,452306,75.509319600,0.457599000,-0.813000,-1.929000,-0.009000,-6.000000,4.700000,-48.600000
5685,56072259,462042,75.509621000,0.457900400,-0.540000,-1.474000,0.088000,-5.400000,38.300000,-4.800000
5686,56081354,471137,75.521809700,0.470089100,0.284000,-0.907000,0.308000,66.600000,12.000000,-0.100000
5687,56091365,481148,75.531786400,0.480065800,0.061000,-1.013000,0.273000,147.400000,-23.100000,4.300000
5688,56101131,490914,75.541639500,0.489918900,-0.088000,-1.159000,0.305000,195.400000,-40.800000,3.700000
5689,56110195,499978,75.546939900,0.495219300,-0.059000,-1.102000,0.347000,209.300000,-48.200000,-1.300000
