meta_label,m
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
60928,1217361799,0,1223.511546600,0.000000000,-0.524000,-0.727000,0.335000,11.400000,11.100000,10.800000
60929,1217371993,10194,1223.513876600,0.002330000,-0.504000,-0.724000,0.340000,27.100000,10.100000,13.200000
60930,1217381485,19686,1223.521113300,0.009566700,-0.509000,-0.754000,0.338000,42.900000,11.700000,11.800000
60931,1217390671,28872,1223.535410000,0.023863400,-0.535000,-0.778000,0.341000,45.900000,15.600000,9.000000
60932,1217400499,38700,1223.546344200,0.034797600,-0.505000,-0.829000,0.299000,39.300000,19.000000,0.000000
60933,1217410326,48527,1223.550175500,0.038628900,-0.505000,-0.869000,0.269000,25.700000,21.500000,-1.700000
60934,1217419513,57714,1223.566630700,0.055084100,-0.535000,-0.906000,0.266000,10.100000,24.300000,3.700000
60935,1217429127,67328,1223.566641100,0.055094500,-0.489000,-0.863000,0.249000,-5.500000,26.300000,6.200000
60936,1217439168,77369,1223.587637400,0.076090800,-0.461000,-0.787000,0.217000,-18.200000,26.400000,10.700000
60937,1217448781,86982,1223.587998400,0.076451800,-0.427000,-0.670000,0.200000,-26.300000,26.900000,14.200000
60938,1217457937,96138,1223.598050800,0.086504200,-0.406000,-0.583000,0.196000,-29.700000,26.800000,8.900000
60939,1217467551,105752,1223.611054900,0.099508300,0.636000,-0.260000,-0.408000,7.900000,-57.900000,15.800000
60940,1217477592,115793,1223.621454200,0.109907600,-0.402000,-1.128000,0.172000,2.700000,-105.300000,9.500000
60941,1217486962,125163,1223.625633800,0.114087200,-1.313000,-0.960000,0.047000,-35.200000,-47.100000,26.700000
60942,1217496423,134624,1223.641676300,0.130129700,-0.966000,-0.821000,0.054000,-56.000000,-10.400000,14.600000
60943,1217506495,144696,1223.648223800,0.136677200,-0.804000,-0.780000,0.079000,-94.200000,15.400000,10.200000
60944,1217516200,154401,1223.658167300,0.146620700,-0.868000,-0.696000,0.208000,-107.100000,36.900000,9.400000
60945,1217525265,163466,1223.671754000,0.160207400,-0.713000,-0.494000,0.285000,-91.900000,39.500000,-2.500000
60946,1217534909,173110,1223.671761900,0.160215300,-0.687000,-0.467000,0.267000,-64.900000,34.700000,-16.600000
60947,1217545103,183304,1223.685761200,0.174214600,-0.703000,-0.477000,0.258000,-34.800000,27.700000,-25.900000
60948,1217554564,192765,1223.696169700,0.184623100,-0.526000,-0.497000,0.291000,4.700000,8.400000,-36.300000
60949,1217563750,201951,1223.700737300,0.189190700,-0.638000,-0.757000,0.271000,44.900000,-12.200000,-46.800000
60950,1217573944,212145,1223.715940700,0.204394100,-0.827000,-1.168000,0.219000,69.100000,-22.100000,-46.700000
60951,1217583405,221606,1223.723291800,0.211745200,-1.001000,-1.506000,0.143000,46.600000,-8.400000,-24.000000
60952,1217592592,230793,1223.738796400,0.227249800,-0.899000,-1.491000,0.159000,18.100000,4.600000,-1.900000
60953,1217602236,240437,1223.745804400,0.234257800,-0.287000,-0.989000,0.397000,29.400000,-6.700000,4.100000
60954,1217612308,250509,1223.754380500,0.242833900,-0.297000,-1.239000,0.356000,73.200000,-70.200000,7.000000
60955,1217621769,259970,1223.768301600,0.256755000,-0.708000,-1.419000,0.165000,71.600000,-61.400000,20.900000
60956,1217631016,269217,1223.768691700,0.257145100,-0.719000,-1.419000,0.143000,54.300000,-47.700000,39.800000
60957,1217640935,279136,1223.783480200,0.271933600,-0.715000,-1.229000,0.132000,47.600000,-32.300000,49.300000
60958,1217650732,288933,1223.794805100,0.283258500,-0.586000,-0.940000,0.172000,53.300000,-25.500000,50.800000
60959,1217659919,298120,1223.797941500,0.286394900,-0.512000,-0.752000,0.166000,57.700000,-20.400000,45.600000
60960,1217669502,307703,1223.814722300,0.303175700,-0.536000,-0.723000,0.130000,49.300000,-10.400000,38.100000
60961,1217679513,317714,1223.820870600,0.309324000,-0.467000,-0.699000,0.116000,28.800000,-1.100000,35.300000
60962,1217689279,327480,1223.830040400,0.318493800,-0.399000,-0.689000,0.136000,0.900000,3.700000,38.100000
60963,1217698343,336544,1223.847887800,0.336341200,-0.361000,-0.580000,0.175000,-27.800000,2.100000,41.700000
60964,1217708079,346280,1223.850576200,0.339029600,-0.352000,-0.463000,0.204000,-51.200000,-2.200000,39.600000
60965,1217718059,356260,1223.857781700,0.346235100,-0.454000,-0.354000,0.145000,-65.600000,-4.300000,22.400000
60966,1217727215,365416,1223.872962800,0.361416200,-0.718000,-0.434000,0.078000,-89.100000,16.300000,19.800000
60967,1217736768,374969,1223.873438200,0.361891600,-0.577000,-0.191000,0.228000,-111.400000,34.300000,11.700000
60968,1217746962,385163,1223.888764800,0.377218200,-0.499000,0.049000,0.353000,-97.700000,22.700000,-17.100000
60969,1217756484,394685,1223.896039300,0.384492700,-0.538000,0.070000,0.343000,-35.200000,5.400000,-40.700000
60970,1217765671,403872,1223.905449000,0.393902400,-0.642000,-0.141000,0.282000,8.000000,-6.400000,-64.300000
60971,1217775895,414096,1223.919760000,0.408213400,-0.865000,-0.559000,0.246000,30.600000,-3.400000,-73.200000
60972,1217785356,423557,1223.925534100,0.413987500,-0.911000,-1.038000,0.287000,41.900000,-1.200000,-73.100000
60973,1217794543,432744,1223.933247700,0.421701100,-0.738000,-1.202000,0.340000,53.500000,-9.100000,-67.100000
60974,1217804126,442327,1223.948016200,0.436469600,-0.913000,-1.617000,0.226000,50.100000,-17.100000,-48.900000
60975,1217814228,452429,1223.957385800,0.445839200,-0.906000,-1.583000,0.178000,13.700000,-2.900000,-18.600000
60976,1217823811,462012,1223.962632300,0.451085700,-0.893000,-1.027000,0.150000,9.300000,18.800000,-5.300000
60977,1217832967,471168,1223.981769100,0.470222500,-0.133000,-0.858000,0.407000,66.100000,1.100000,0.100000
60978,1217842581,480782,1223.984441200,0.472894600,-0.440000,-1.051000,0.287000,118.000000,-26.500000,18.400000
60979,1217852561,490762,1223.993180100,0.481633500,-0.572000,-1.212000,0.222000,125.700000,-19.300000,47.100000
60980,1217862083,500284,1224.001659800,0.490113200,-0.482000,-1.055000,0.236000,125.800000,-15.100000,61.100000
60981,1217871422,509623,1224.015760700,0.504214100,-0.510000,-1.030000,0.186000,118.100000,-6.400000,70.500000
60982,1217881525,519726,1224.023985200,0.512438600,-0.390000,-1.002000,0.156000,72.600000,-4.200000,66.600000
