meta_label,m
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4179,41591557,0,96.592159200,0.000000000,-0.364000,-1.030000,0.213000,-4.800000,-10.800000,6.300000
4180,41601659,10102,96.607188300,0.015029100,-0.367000,-0.967000,0.233000,-7.000000,-12.600000,8.700000
4181,41611303,19746,96.622793600,0.030634400,-0.343000,-0.892000,0.267000,-5.000000,-16.900000,7.300000
4182,41620429,28872,96.622804400,0.030645200,-0.328000,-0.829000,0.317000,2.000000,-20.600000,3.100000
4183,41629981,38424,96.638457800,0.046298600,-0.349000,-0.789000,0.359000,13.200000,-23.100000,-3.500000
4184,41640114,48557,96.658537200,0.066378000,-0.363000,-0.775000,0.396000,28.900000,-23.100000,-12.100000
4185,41649636,58079,96.658546400,0.066387200,-0.408000,-0.774000,0.399000,34.900000,-15.800000,-23.200000
4186,41658823,67266,96.667592800,0.075433600,-0.470000,-0.814000,0.386000,33.300000,0.200000,-28.800000
4187,41668681,77124,96.677287800,0.085128600,-0.494000,-0.877000,0.371000,26.900000,19.300000,-28.600000
4188,41678478,86921,96.682205800,0.090046600,-0.430000,-0.912000,0.299000,16.700000,37.700000,-24.200000
4189,41687664,96107,96.698189900,0.106030700,-0.371000,-0.922000,0.208000,0.000000,52.700000,-15.800000
4190,41697309,105752,96.698198800,0.106039600,0.164000,-0.580000,-0.375000,-13.500000,58.500000,-10.000000
4191,41707380,115823,96.715398000,0.123238800,0.306000,-0.754000,0.215000,31.100000,-58.300000,5.800000
4192,41717116,125559,96.719855400,0.127696200,-0.321000,-1.461000,0.169000,8.400000,-67.800000,36.100000
4193,41726119,134562,96.727664800,0.135505600,-1.018000,-1.280000,-0.018000,-37.200000,-39.900000,55.500000
4194,41735764,144207,96.742654700,0.150495500,-0.892000,-1.245000,-0.052000,-100.300000,13.200000,63.400000
4195,41745835,154278,96.754878100,0.162718900,-0.623000,-0.802000,0.144000,-151.300000,50.200000,45.000000
4196,41755175,163618,96.757212700,0.165053500,-0.533000,-0.493000,0.240000,-140.200000,59.600000,8.500000
4197,41764636,173079,96.780068700,0.187909500,-0.550000,-0.440000,0.228000,-121.400000,67.400000,-18.800000
4198,41774677,183120,96.780293400,0.188134200,-0.615000,-0.543000,0.215000,-97.800000,74.700000,-36.000000
4199,41784504,192947,96.794066300,0.201907100,-0.426000,-0.642000,0.232000,-63.800000,65.000000,-45.200000
4200,41793447,201890,96.803666500,0.211507300,-0.134000,-0.731000,0.213000,-16.400000,36.700000,-53.000000
4201,41803060,211503,96.803675200,0.211516000,-0.110000,-1.014000,0.168000,27.600000,7.700000,-56.300000
4202,41813254,221697,96.817289500,0.225130300,-0.263000,-1.474000,0.116000,52.000000,-12.700000,-46.900000
4203,41822776,231219,96.828749600,0.236590400,-0.533000,-1.831000,0.062000,22.200000,-12.100000,-15.500000
4204,41831993,240436,96.832324300,0.240165100,-0.361000,-1.452000,0.102000,-2.600000,-10.300000,19.200000
4205,41842126,250569,96.848359100,0.256199900,0.391000,-0.649000,0.335000,67.400000,-45.100000,9.400000
4206,41851526,259969,96.855059000,0.262899800,-0.001000,-0.945000,0.256000,135.000000,-93.400000,7.000000
4207,41860774,269217,96.867207700,0.275048500,-0.398000,-1.263000,0.128000,159.700000,-91.000000,19.800000
4208,41870388,278831,96.877271700,0.285112500,-0.605000,-1.473000,0.000000,141.100000,-46.800000,58.100000
4209,41880459,288902,96.888257900,0.296098700,-0.720000,-1.417000,-0.004000,92.300000,-12.200000,79.300000
4210,41889981,298424,96.892144000,0.299984800,-0.479000,-1.142000,0.113000,70.600000,2.100000,84.100000
4211,41899198,307641,96.908406500,0.316247300,-0.389000,-0.911000,0.108000,49.600000,9.900000,79.300000
4212,41909331,317774,96.915088500,0.322929300,-0.414000,-0.775000,0.112000,17.500000,17.000000,63.800000
4213,41918914,327357,96.923800600,0.331641400,-0.394000,-0.675000,0.161000,-16.900000,19.000000,52.100000
4214,41928070,336513,96.944218500,0.352059300,-0.385000,-0.586000,0.224000,-40.600000,14.400000,40.300000
4215,41937745,346188,96.944228800,0.352069600,-0.506000,-0.549000,0.186000,-55.500000,9.700000,20.300000
4216,41947725,356168,96.953029100,0.360869900,-0.880000,-0.833000,0.082000,-82.600000,28.100000,8.700000
4217,41957583,366026,96.964625700,0.372466500,-0.743000,-0.732000,0.208000,-125.200000,55.100000,7.200000
4218,41966526,374969,96.967158700,0.374999500,-0.431000,-0.438000,0.327000,-132.400000,52.800000,-6.300000
4219,41976567,385010,96.983929600,0.391770400,-0.384000,-0.364000,0.308000,-108.700000,39.400000,-44.800000
4220,41986119,394562,97.000549100,0.408389900,-0.318000,-0.384000,0.258000,-61.100000,13.500000,-58.100000
4221,41995367,403810,97.000558500,0.408399300,-0.323000,-0.674000,0.214000,-5.200000,-3.100000,-63.100000
4222,42005042,413485,97.013447900,0.421288700,-0.262000,-1.101000,0.217000,40.700000,-21.600000,-56.300000
4223,42015052,423495,97.020193800,0.428034600,-0.712000,-1.656000,0.092000,10.200000,-11.300000,-23.500000
4224,42024636,433079,97.027230200,0.435071000,-0.819000,-1.032000,0.021000,15.700000,17.500000,-3.200000
4225,42033792,442235,97.042412400,0.450253200,-0.286000,-0.779000,0.284000,77.200000,7.200000,3.700000
4226,42043680,452123,97.051542100,0.459382900,0.096000,-0.846000,0.261000,147.400000,-21.900000,8.500000
4227,42053630,462073,97.059105800,0.466946600,-0.302000,-1.175000,0.189000,168.500000,-26.100000,18.000000
4228,42062786,471229,97.080020800,0.487861600,-0.389000,-1.276000,0.097000,160.900000,-12.600000,40.000000
4229,42072277,480720,97.080673900,0.488514700,-0.518000,-1.467000,0.043000,116.900000,8.200000,65.700000
4230,42082349,490792,97.088715400,0.496556200,-0.347000,-1.219000,0.091000,55.600000,17.600000,76.200000
4231,42091993,500436,97.102748300,0.510589100,-0.310000,-0.858000,0.141000,9.300000,12.200000,73.100000
4232,42101180,509623,97.103042900,0.510883700,-0.429000,-0.568000,0.152000,-18.800000,10.700000,57.400000
4233,42110824,519267,97.113875900,0.521716700,-0.567000,-0.446000,0.158000,-34.400000,21.500000,36.300000
4234,42120987,529430,97.124917700,0.532758500,-0.801000,-0.505000,0.118000,-61.000000,44.400000,17.200000
4235,42130265,538708,97.133164300,0.541005100,-1.021000,-0.711000,0.123000,-96.400000,79.000000,6.600000
4236,42139574,548017,97.140112700,0.547953500,-0.928000,-0.680000,0.249000,-121.500000,101.500000,-7.600000
4237,42149768,558211,97.162693100,0.570533900,-0.817000,-0.643000,0.312000,-127.500000,109.200000,-19.200000
4238,42159259,567702,97.162702700,0.570543500,-0.654000,-0.631000,0.299000,-115.200000,102.900000,-30.000000
4239,42168446,576889,97.173271000,0.581111800,-0.477000,-0.661000,0.253000,-94.700000,91.200000,-35.900000
4240,42178029,586472,97.191817600,0.599658400,-0.327000,-0.696000,0.204000,-64.700000,72.000000,-40.300000
4241,42188131,596574,97.192065200,0.599906000,-0.279000,-0.829000,0.131000,-39.900000,52.100000,-45.300000
4242,42197653,606096,97.199625700,0.607466500,-0.194000,-0.880000,0.092000,-21.000000,31.100000,-45.100000
4243,42206932,615375,97.223230600,0.631071400,-0.104000,-0.915000,-0.004000,-0.500000,3.200000,-41.000000
4244,42216942,625385,97.223240100,0.631080900,-0.027000,-0.988000,-0.204000,16.600000,-29.700000,-19.200000
4245,42226495,634938,97.238108900,0.645949700,0.002000,-1.108000,-0.262000,29.300000,-91.400000,-0.200000
4246,42235712,644155,97.244886400,0.652727200,-0.316000,-1.226000,-0.115000,31.500000,-110.300000,16.700000
4247,42245356,653799,97.245618600,0.653459400,-0.580000,-1.139000,0.024000,31.300000,-107.400000,18.500000
4248,42255367,663810,97.267051200,0.674892000,-0.680000,-0.991000,0.122000,33.300000,-91.000000,12.700000
4249,42265316,673759,97.268211900,0.676052700,-0.782000,-0.885000,0.141000,32.500000,-66.200000,9.700000
4250,42274289,682732,97.274964300,0.682805100,-0.708000,-0.834000,0.125000,35.800000,-49.900000,1.900000
4251,42284208,692651,97.300030900,0.707871700,-0.615000,-0.849000,0.096000,39.100000,-40.300000,-4.300000
4252,42294005,702448,97.300041700,0.707882500,-0.559000,-0.908000,0.087000,37.300000,-33.500000,-6.400000
4253,42303375,711818,97.312790500,0.720631300,-0.503000,-0.927000,0.095000,31.500000,-30.900000,-4.900000
4254,42312683,721126,97.327164600,0.735005400,-0.506000,-0.921000,0.147000,24.300000,-28.600000,-1.700000
4255,42322755,731198,97.327967100,0.735807900,-0.518000,-0.891000,0.214000,17.000000,-23.600000,0.500000
4256,42332491,740934,97.350070400,0.757911200,-0.496000,-0.819000,0.261000,11.800000,-17.700000,2.000000
4257,42341555,749998,97.350079900,0.757920700,-0.450000,-0.762000,0.278000,10.600000,-13.800000,-0.200000
4258,42351261,759704,97.351527400,0.759368200,-0.428000,-0.747000,0.279000,10.800000,-13.100000,-4.000000
4259,42361149,769592,97.373024800,0.780865600,-0.418000,-0.761000,0.269000,5.800000,-11.700000,-9.600000
4260,42370397,778840,97.373035900,0.780876700,-0.410000,-0.750000,0.267000,3.300000,-11.600000,-14.500000
4261,42379949,788392,97.380235500,0.788076300,-0.395000,-0.735000,0.257000,3.400000,-12.400000,-19.600000
4262,42390235,798678,97.403099400,0.810940200,-0.391000,-0.756000,0.260000,2.700000,-12.200000,-24.600000
4263,42399604,808047,97.403559000,0.811399800,-0.394000,-0.815000,0.277000,1.700000,-11.400000,-28.900000
4264,42408821,817264,97.409694400,0.817535200,-0.416000,-0.849000,0.283000,-0.500000,-8.500000,-31.300000
