meta_label,O
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
14552,141327987,0,160.757316500,0.000000000,-0.378000,-0.929000,0.140000,5.400000,-2.300000,-5.900000
14553,141337723,9736,160.763464000,0.006147500,-0.395000,-0.965000,0.152000,3.800000,-4.800000,-3.200000
14554,141347520,19533,160.775724500,0.018408000,-0.402000,-0.981000,0.164000,-0.300000,-5.200000,0.200000
14555,141356798,28811,160.787239400,0.029922900,-0.407000,-0.958000,0.197000,-3.900000,-4.400000,2.400000
14556,141366442,38455,160.788009000,0.030692500,-0.406000,-0.922000,0.244000,-2.900000,-2.200000,5.100000
14557,141376453,48466,160.801814200,0.044497700,-0.416000,-0.903000,0.284000,1.100000,3.100000,4.100000
14558,141386127,58140,160.811131100,0.053814600,-0.442000,-0.881000,0.316000,11.800000,9.100000,2.900000
14559,141395222,67235,160.815876600,0.058560100,-0.421000,-0.886000,0.358000,16.800000,13.700000,1.500000
14560,141404867,76880,160.832472000,0.075155500,-0.405000,-0.919000,0.398000,32.300000,17.300000,3.200000
14561,141414969,86982,160.838643700,0.081327200,-0.406000,-0.984000,0.486000,39.700000,21.400000,5.500000
14562,141424155,96168,160.851189400,0.093872900,-0.402000,-1.072000,0.519000,45.100000,25.100000,9.200000
14563,141433739,105752,160.861036000,0.103719500,-0.371000,-1.119000,0.511000,40.100000,27.600000,14.000000
14564,141443627,115640,160.871009400,0.113692900,-0.358000,-1.131000,0.488000,24.000000,31.500000,16.900000
14565,141453455,125468,160.876361600,0.119045100,-0.351000,-1.070000,0.477000,2.100000,32.800000,17.600000
14566,141462550,134563,160.891597500,0.134281000,-0.261000,-0.952000,0.232000,-18.400000,34.500000,17.300000
14567,141472224,144237,160.898527300,0.141210800,0.210000,-0.953000,0.020000,-49.900000,-80.900000,90.500000
14568,141482296,154309,160.910581600,0.153265100,-0.407000,-1.049000,0.213000,-64.300000,-94.800000,80.300000
14569,141491635,163648,160.920877800,0.163561300,-1.102000,-0.419000,0.156000,-65.800000,-69.300000,55.600000
14570,141500974,172987,160.921286200,0.163969700,-0.566000,-0.098000,0.246000,-47.000000,-44.100000,28.800000
14571,141511107,183120,160.936774900,0.179458400,-0.641000,0.053000,0.192000,-21.100000,-27.100000,-19.300000
14572,141520721,192734,160.950480300,0.193163800,-0.584000,-0.119000,0.175000,2.700000,-17.700000,-49.700000
14573,141529877,201890,160.950489600,0.193173100,-0.598000,-0.356000,0.144000,-3.400000,-1.500000,-70.900000
14574,141539521,211534,160.965979600,0.208663100,-0.670000,-0.693000,0.040000,-30.200000,22.300000,-72.000000
14575,141549501,221514,160.973325600,0.216009100,-0.480000,-0.788000,0.046000,-58.800000,38.700000,-65.700000
14576,141559054,231067,160.988473200,0.231156700,-0.136000,-0.694000,0.049000,-72.200000,44.700000,-63.400000
14577,141568301,240314,160.996812500,0.239496000,-0.057000,-0.708000,0.008000,-71.100000,47.800000,-62.700000
14578,141578373,250386,161.003503100,0.246186600,-0.025000,-0.838000,-0.024000,-65.000000,52.600000,-58.400000
14579,141588017,260030,161.022040000,0.264723500,0.064000,-0.984000,-0.019000,-52.000000,54.200000,-51.900000
14580,141597234,269247,161.022048500,0.264732000,0.053000,-1.170000,-0.016000,-31.900000,51.100000,-40.800000
14581,141606787,278800,161.026120300,0.268803800,0.009000,-1.399000,0.008000,-14.400000,46.500000,-24.600000
14582,141616828,288841,161.042262200,0.284945700,-0.004000,-1.548000,0.027000,0.600000,32.800000,0.000000
14583,141626472,298485,161.048475100,0.291158600,-0.175000,-1.739000,0.014000,4.000000,30.200000,17.800000
14584,141635628,307641,161.058687700,0.301371200,-0.272000,-1.759000,0.031000,0.600000,30.000000,37.300000
14585,141645639,317652,161.071051600,0.313735100,-0.384000,-1.744000,0.061000,2.500000,30.600000,55.700000
14586,141655344,327357,161.078512500,0.321196000,-0.466000,-1.658000,0.127000,13.200000,28.700000,71.200000
14587,141664439,336452,161.086046600,0.328730100,-0.515000,-1.550000,0.207000,31.300000,20.100000,83.600000
14588,141674053,346066,161.100825700,0.343509200,-0.561000,-1.384000,0.259000,51.600000,5.700000,89.000000
14589,141684247,356260,161.108194300,0.350877800,-0.682000,-1.258000,0.306000,63.900000,-9.500000,90.100000
14590,141693769,365782,161.116573700,0.359257200,-0.731000,-1.034000,0.346000,72.500000,-23.800000,84.300000
14591,141702986,374999,161.135119000,0.377802500,-0.798000,-0.796000,0.377000,80.200000,-35.900000,73.600000
14592,141712722,384735,161.137983800,0.380667300,-0.846000,-0.582000,0.394000,81.300000,-45.800000,54.900000
14593,141722519,394532,161.146181800,0.388865300,-0.873000,-0.444000,0.367000,70.400000,-52.000000,32.200000
14594,141731766,403779,161.160902100,0.403585600,-0.917000,-0.320000,0.320000,46.000000,-51.800000,9.300000
14595,141741380,413393,161.161584400,0.404267900,-0.887000,-0.205000,0.277000,16.200000,-42.600000,-20.500000
14596,141751452,423465,161.175911400,0.418594900,-0.657000,-0.052000,0.288000,1.900000,-39.500000,-49.800000
14597,141761127,433140,161.183435500,0.426119000,-0.681000,-0.031000,0.194000,-4.300000,-28.800000,-71.800000
14598,141770191,442204,161.193348400,0.436031900,-0.622000,-0.043000,0.132000,-1.800000,-14.000000,-91.400000
14599,141779835,451848,161.208780700,0.451464200,-0.454000,-0.172000,0.112000,-2.900000,-5.200000,-110.300000
14600,141789877,461890,161.213146900,0.455830400,-0.291000,-0.387000,0.024000,-11.600000,-1.600000,-121.200000
14601,141799246,471259,161.221549700,0.464233200,-0.262000,-0.754000,-0.156000,-27.000000,3.400000,-99.400000
14602,141808738,480751,161.236142500,0.478826000,0.179000,-0.719000,-0.354000,-31.300000,-10.100000,-104.400000
14603,141818657,490670,161.243694700,0.486378200,0.285000,-0.880000,-0.364000,-19.100000,-39.700000,-83.000000
14604,141828454,500467,161.251426900,0.494110400,0.063000,-1.060000,-0.255000,-15.600000,-55.300000,-63.900000
14605,141837518,509531,161.269081400,0.511764900,-0.086000,-1.165000,-0.136000,-18.200000,-52.700000,-48.500000
14606,141847163,519176,161.269405600,0.512089100,-0.155000,-1.205000,-0.069000,-21.600000,-40.200000,-37.000000
14607,141857234,529247,161.281698400,0.524381900,-0.114000,-1.209000,-0.011000,-21.400000,-28.000000,-25.400000
14608,141866848,538861,161.290746400,0.533429900,-0.016000,-1.185000,0.043000,-17.900000,-23.000000,-24.100000
14609,141876035,548048,161.295796200,0.538479700,-0.053000,-1.160000,0.077000,-10.500000,-22.200000,-7.700000
14610,141886167,558180,161.319682100,0.562365600,-0.169000,-1.213000,0.088000,-6.800000,-16.600000,5.700000
14611,141895628,567641,161.319691600,0.562375100,-0.243000,-1.217000,0.134000,-13.400000,-10.600000,21.300000
14612,141904937,576950,161.325925600,0.568609100,-0.252000,-1.163000,0.187000,-19.200000,-8.000000,34.900000
14613,141914490,586503,161.341165100,0.583848600,-0.284000,-1.075000,0.228000,-24.600000,-6.200000,40.000000
14614,141924500,596513,161.349483600,0.592167100,-0.328000,-0.965000,0.263000,-31.000000,-4.100000,39.100000
14615,141934023,606036,161.355740900,0.598424400,-0.362000,-0.893000,0.302000,-36.600000,-3.000000,33.800000
14616,141943270,615283,161.370852000,0.613535500,-0.384000,-0.826000,0.335000,-39.400000,-1.200000,21.400000
14617,141953342,625355,161.384701600,0.627385100,-0.403000,-0.778000,0.357000,-38.400000,1.900000,4.800000
14618,141962986,634999,161.385692300,0.628375800,-0.413000,-0.760000,0.361000,-34.700000,6.600000,-11.800000
14619,141972173,644186,161.402373400,0.645056900,-0.409000,-0.777000,0.345000,-29.600000,11.200000,-24.800000
14620,141981786,653799,161.402382900,0.645066400,-0.395000,-0.807000,0.304000,-25.000000,15.000000,-43.000000
14621,141991736,663749,161.420425400,0.663108900,-0.365000,-0.832000,0.257000,-20.500000,18.600000,-54.800000
14622,142001533,673546,161.423288300,0.665971800,-0.345000,-0.850000,0.200000,-14.100000,18.300000,-62.500000
14623,142010567,682580,161.431120300,0.673803800,-0.300000,-0.873000,0.145000,-12.600000,16.500000,-71.600000
14624,142020669,692682,161.445960300,0.688643800,-0.238000,-0.919000,0.111000,-9.800000,11.900000,-77.200000
14625,142030374,702387,161.457469200,0.700152700,-0.204000,-0.986000,0.066000,-10.500000,5.600000,-80.100000
14626,142039500,711513,161.460697900,0.703381400,-0.185000,-1.084000,0.046000,-13.200000,-0.400000,-81.300000
14627,142049113,721126,161.475922700,0.718606200,-0.188000,-1.124000,0.040000,-17.100000,-5.100000,-76.500000
14628,142059063,731076,161.483705900,0.726389400,-0.220000,-1.152000,0.045000,-22.800000,-6.500000,-70.300000
14629,142068860,740873,161.496216800,0.738900300,-0.224000,-1.159000,0.049000,-27.900000,-5.800000,-64.000000
14630,142077924,749937,161.506001000,0.748684500,-0.221000,-1.135000,0.045000,-30.800000,-4.600000,-57.500000
14631,142087752,759765,161.514452200,0.757135700,-0.210000,-1.118000,0.033000,-31.000000,-3.400000,-51.300000
14632,142097610,769623,161.520849700,0.763533200,-0.201000,-1.103000,0.020000,-29.800000,-2.600000,-41.200000
14633,142106796,778809,161.536194000,0.778877500,-0.207000,-1.081000,0.008000,-28.000000,-1.200000,-32.800000
14634,142116349,788362,161.536935000,0.779618500,-0.204000,-1.054000,0.000000,-25.100000,0.200000,-28.200000
