meta_label,O
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
13635,132511461,0,148.165502600,0.000000000,-0.630000,-0.840000,0.336000,10.900000,-1.600000,14.200000
13636,132521014,9553,148.165512300,0.000009700,-0.606000,-0.846000,0.339000,9.000000,2.500000,12.700000
13637,132530200,18739,148.170433600,0.004931000,-0.608000,-0.848000,0.338000,11.100000,4.700000,16.900000
13638,132539936,28475,148.179088800,0.013586200,-0.604000,-0.855000,0.345000,11.000000,6.000000,21.300000
13639,132550069,38608,148.192084300,0.026581700,-0.610000,-0.821000,0.370000,16.300000,8.800000,25.500000
13640,132559042,47581,148.193273800,0.027771200,-0.593000,-0.838000,0.385000,21.000000,11.300000,27.900000
13641,132568716,57255,148.208360600,0.042858000,-0.574000,-0.845000,0.404000,24.000000,12.400000,28.800000
13642,132578880,67419,148.215807700,0.050305100,-0.580000,-0.862000,0.442000,25.600000,13.900000,29.400000
13643,132588432,76971,148.224221700,0.058719100,-0.616000,-0.856000,0.490000,26.000000,16.200000,26.300000
13644,132597527,86066,148.239972000,0.074469400,-0.657000,-0.861000,0.508000,25.800000,20.100000,24.400000
13645,132607324,95863,148.244895500,0.079392900,-0.706000,-0.847000,0.520000,23.900000,25.000000,25.200000
13646,132617243,105782,148.252233200,0.086730600,-0.076000,-1.353000,-0.256000,-2.000000,-6.600000,18.200000
13647,132626399,114938,148.268139600,0.102637000,-1.107000,-0.722000,0.276000,-46.400000,-29.900000,97.200000
13648,132635952,124491,148.268478200,0.102975600,-0.748000,-0.680000,0.478000,-41.500000,-33.800000,76.800000
13649,132645871,134410,148.283667700,0.118165100,-1.010000,-0.521000,0.330000,-14.000000,-24.800000,47.500000
13650,132655729,144268,148.290120900,0.124618300,-1.086000,-0.565000,0.308000,-25.300000,-4.800000,36.300000
13651,132664854,153393,148.301309300,0.135806700,-0.950000,-0.302000,0.354000,-17.000000,2.100000,14.400000
13652,132674438,162977,148.312937400,0.147434800,-0.749000,-0.078000,0.406000,3.100000,-4.200000,-19.600000
13653,132684479,173018,148.320725400,0.155222800,-0.712000,-0.174000,0.374000,13.400000,-10.800000,-44.500000
13654,132693879,182418,148.327075500,0.161572900,-0.632000,-0.401000,0.329000,2.200000,-15.400000,-53.100000
13655,132703279,191818,148.342547000,0.177044400,-0.569000,-0.537000,0.262000,-23.800000,-20.500000,-51.900000
13656,132713412,201951,148.350336200,0.184833600,-0.546000,-0.636000,0.205000,-54.400000,-18.300000,-48.800000
13657,132723056,211595,148.357877500,0.192374900,-0.506000,-0.605000,0.157000,-85.100000,-11.600000,-43.200000
13658,132732212,220751,148.372761500,0.207258900,-0.434000,-0.444000,0.137000,-93.500000,-2.100000,-43.900000
13659,132741795,230334,148.380138000,0.214635400,-0.365000,-0.344000,0.093000,-81.000000,5.600000,-53.000000
13660,132751684,240223,148.387583300,0.222080700,-0.352000,-0.345000,0.051000,-53.600000,21.600000,-73.100000
13661,132761267,249806,148.396812200,0.231309600,-0.249000,-0.438000,0.021000,-21.500000,27.700000,-90.900000
13662,132770606,259145,148.402738800,0.237236200,-0.154000,-0.694000,-0.009000,9.900000,33.800000,-99.000000
13663,132780678,269217,148.417335300,0.251832700,-0.165000,-1.165000,-0.057000,18.100000,44.700000,-89.100000
13664,132790444,278983,148.425846700,0.260344100,-0.257000,-1.567000,-0.007000,-1.500000,56.300000,-50.200000
13665,132799417,287956,148.432388900,0.266886300,-0.155000,-1.609000,0.042000,-14.100000,56.800000,-14.400000
13666,132809031,297570,148.451152900,0.285650300,-0.183000,-1.495000,0.074000,-19.000000,54.300000,12.400000
13667,132819102,307641,148.454878900,0.289376300,-0.262000,-1.357000,0.124000,-13.900000,48.900000,32.200000
13668,132828625,317164,148.470043000,0.304540400,-0.391000,-1.311000,0.137000,-1.200000,43.700000,44.500000
13669,132837964,326503,148.477358500,0.311855900,-0.512000,-1.272000,0.176000,14.700000,40.000000,53.900000
13670,132848005,336544,148.489205900,0.323703300,-0.663000,-1.225000,0.234000,35.800000,36.100000,65.200000
13671,132857619,346158,148.501433900,0.335931300,-0.779000,-1.224000,0.310000,52.900000,28.100000,70.100000
13672,132866744,355283,148.501942300,0.336439700,-0.886000,-1.268000,0.381000,57.800000,15.200000,72.000000
13673,132876358,364897,148.507501000,0.341998400,-1.070000,-1.258000,0.409000,47.900000,1.500000,81.600000
13674,132886521,375060,148.527986100,0.362483500,-1.155000,-1.100000,0.436000,36.000000,-12.700000,85.400000
13675,132896074,384613,148.530198500,0.364695900,-1.236000,-0.898000,0.448000,18.600000,-19.600000,83.800000
13676,132905169,393708,148.537384900,0.371882300,-1.343000,-0.689000,0.438000,1.600000,-19.200000,78.900000
13677,132915363,403902,148.552499300,0.386996700,-1.376000,-0.323000,0.447000,-4.700000,-14.600000,66.900000
13678,132924854,413393,148.562641800,0.397139200,-1.225000,0.106000,0.495000,10.600000,-18.300000,38.000000
13679,132934041,422580,148.567370900,0.401868300,-1.053000,0.305000,0.468000,33.500000,-29.100000,-2.100000
13680,132943716,432255,148.583649700,0.418147100,-0.875000,0.239000,0.442000,47.800000,-38.800000,-40.500000
13681,132953604,442143,148.590179100,0.424676500,-0.835000,0.015000,0.363000,52.600000,-45.200000,-76.300000
13682,132963432,451971,148.600582900,0.435080300,-0.790000,-0.200000,0.263000,50.400000,-42.100000,-94.400000
13683,132972496,461035,148.612461400,0.446958800,-0.741000,-0.410000,0.139000,42.100000,-26.800000,-109.400000
13684,132982140,470679,148.619969200,0.454466600,-0.620000,-0.573000,0.087000,28.900000,-7.100000,-106.000000
13685,132992212,480751,148.627060700,0.461558100,-0.344000,-0.654000,0.111000,18.800000,4.500000,-87.800000
13686,133001429,489968,148.642540300,0.477037700,-0.203000,-0.736000,0.049000,5.200000,5.600000,-70.800000
13687,133011012,499551,148.643367500,0.477864900,-0.171000,-0.903000,-0.120000,-17.000000,5.300000,-53.600000
13688,133020809,509348,148.657660900,0.492158300,-0.111000,-0.908000,-0.537000,-43.200000,-2.900000,-33.700000
13689,133030850,519389,148.665047200,0.499544600,0.208000,-0.758000,-0.457000,-29.600000,-35.200000,-20.900000
13690,133039793,528332,148.672953600,0.507451000,-0.014000,-0.896000,-0.272000,-20.600000,-51.000000,-15.500000
13691,133049498,538037,148.687430200,0.521927600,-0.343000,-1.102000,-0.116000,-29.500000,-46.600000,-17.700000
13692,133059570,548109,148.698879700,0.533377100,-0.499000,-1.007000,0.009000,-38.500000,-34.800000,-11.900000
13693,133069000,557539,148.701951000,0.536448400,-0.528000,-0.914000,0.119000,-33.800000,-27.300000,2.200000
13694,133078248,566787,148.725342800,0.559840200,-0.465000,-0.840000,0.161000,-19.500000,-28.400000,7.500000
13695,133088472,577011,148.725352000,0.559849400,-0.463000,-0.829000,0.187000,-6.400000,-31.300000,5.900000
13696,133098055,586594,148.734807200,0.569304600,-0.542000,-0.883000,0.254000,1.200000,-32.900000,10.700000
13697,133107150,595689,148.754679600,0.589177000,-0.575000,-0.896000,0.323000,3.000000,-29.900000,12.200000
13698,133116764,605303,148.756782500,0.591279900,-0.538000,-0.857000,0.385000,2.400000,-28.700000,15.400000
13699,133126866,615405,148.762377900,0.596875300,-0.517000,-0.801000,0.426000,3.000000,-30.500000,12.600000
13700,133136236,624775,148.792438200,0.626935600,-0.547000,-0.778000,0.493000,2.300000,-28.400000,8.100000
13701,133145544,634083,148.808228400,0.642725800,-0.589000,-0.759000,0.565000,0.700000,-23.200000,1.600000
13702,133155524,644063,148.818137200,0.652634600,-0.614000,-0.726000,0.612000,0.700000,-15.400000,-6.700000
13703,133165169,653708,148.830284200,0.664781600,-0.620000,-0.729000,0.624000,-0.300000,-6.600000,-16.400000
13704,133182351,670890,148.830605400,0.665102800,-0.610000,-0.791000,0.551000,-6.900000,8.200000,-32.300000
13705,133186441,674980,148.837095000,0.671592400,-0.596000,-0.790000,0.523000,-9.100000,8.200000,-35.300000
13706,133204875,693414,148.837819300,0.672316700,-0.566000,-0.771000,0.445000,-12.100000,18.100000,-45.600000
13707,133209118,697657,148.860520600,0.695018000,-0.556000,-0.784000,0.419000,-11.400000,18.800000,-47.100000
13708,133226392,714931,148.860531200,0.695028600,-0.519000,-0.831000,0.288000,-11.900000,18.600000,-50.400000
13709,133230054,718593,148.861835600,0.696333000,-0.519000,-0.832000,0.269000,-11.100000,17.500000,-50.700000
