meta_label,o
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
24202,1494370262,0,1511.157154100,0.000000000,-0.399000,-0.801000,0.232000,3.800000,7.700000,-5.800000
24203,1494379570,9308,1511.172969600,0.015815500,-0.375000,-0.886000,0.225000,6.200000,6.100000,-9.500000
24204,1494389795,19533,1511.180516600,0.023362500,-0.395000,-0.950000,0.251000,3.300000,5.400000,-7.600000
24205,1494399256,28994,1511.194945400,0.037791300,-0.444000,-0.963000,0.289000,-1.300000,9.500000,-4.500000
24206,1494408503,38241,1511.204757600,0.047603500,-0.466000,-0.953000,0.318000,-4.500000,18.400000,0.900000
24207,1494418087,47825,1511.204767100,0.047613000,-0.465000,-0.915000,0.339000,-5.800000,29.300000,7.400000
24208,1494428097,57835,1511.224664300,0.067510200,-0.446000,-0.858000,0.331000,-2.500000,44.200000,12.100000
24209,1494437742,67480,1511.224841800,0.067687700,-0.392000,-0.803000,0.336000,12.500000,47.600000,16.200000
24210,1494446898,76636,1511.232042400,0.074888300,-0.352000,-0.769000,0.352000,19.700000,45.400000,18.600000
24211,1494456847,86585,1511.246922800,0.089768700,-0.351000,-0.779000,0.339000,40.500000,43.600000,17.600000
24212,1494466491,96229,1511.256113600,0.098959500,-0.365000,-0.840000,0.292000,46.200000,42.300000,15.200000
24213,1494475708,105446,1511.263801200,0.106647100,-0.362000,-0.945000,0.193000,37.400000,39.800000,6.700000
24214,1494485322,115060,1511.279455100,0.122301000,-0.357000,-0.999000,0.160000,20.700000,34.200000,8.900000
24215,1494495394,125132,1511.284192500,0.127038400,-0.420000,-0.969000,0.187000,1.900000,32.700000,10.800000
24216,1494505038,134776,1511.291788300,0.134634200,-0.447000,-0.901000,0.203000,-14.500000,36.400000,11.400000
24217,1494514255,143993,1511.307044300,0.149890200,-0.436000,-0.804000,0.210000,-26.100000,40.400000,9.900000
24218,1494523869,153607,1511.318336100,0.161182000,-0.413000,-0.698000,0.218000,-34.300000,44.800000,4.200000
24219,1494533910,163648,1511.322320100,0.165166000,0.416000,-0.411000,-0.285000,-30.700000,15.400000,12.500000
24220,1494543036,172774,1511.337005300,0.179851200,-0.118000,-0.894000,0.131000,-24.000000,-99.200000,-13.700000
24221,1494552649,182387,1511.337497700,0.180343600,-1.196000,-0.700000,-0.021000,-41.500000,-53.000000,2.100000
24222,1494562751,192489,1511.355933600,0.198779500,-0.573000,-0.489000,0.050000,-29.500000,-9.800000,-20.900000
24223,1494572365,202103,1511.359379900,0.202225800,-0.412000,-0.578000,-0.021000,-10.000000,2.400000,-39.300000
24224,1494581552,211290,1511.367095400,0.209941300,-0.483000,-0.827000,-0.022000,-9.100000,17.000000,-44.300000
24225,1494591654,221392,1511.382131600,0.224977500,-0.346000,-0.915000,-0.005000,-4.500000,25.700000,-51.900000
24226,1494601146,230884,1511.394498000,0.237343900,-0.425000,-1.138000,-0.056000,-0.100000,41.600000,-43.700000
