meta_label,o
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7236,70984911,0,79.163438000,0.000000000,-0.380000,-0.933000,0.233000,-15.400000,15.100000,19.300000
7237,70994250,9339,79.166685200,0.003247200,-0.394000,-0.890000,0.236000,-15.200000,13.500000,22.100000
7238,71004261,19350,79.174304200,0.010866200,-0.404000,-0.861000,0.285000,-10.000000,10.700000,20.800000
7239,71013874,28963,79.189261600,0.025823600,-0.463000,-0.841000,0.320000,-1.300000,10.400000,16.800000
7240,71023092,38181,79.189918700,0.026480700,-0.499000,-0.871000,0.317000,6.500000,13.400000,15.000000
7241,71032644,47733,79.203120000,0.039682000,-0.496000,-0.901000,0.317000,13.900000,14.400000,20.200000
7242,71042777,57866,79.212592100,0.049154100,-0.485000,-0.942000,0.323000,15.400000,14.800000,21.100000
7243,71052299,67388,79.222851600,0.059413600,-0.439000,-0.926000,0.288000,21.700000,10.400000,17.600000
7244,71061516,76605,79.235014700,0.071576700,-0.409000,-0.952000,0.246000,27.800000,5.000000,21.700000
7245,71071710,86799,79.241729700,0.078291700,-0.438000,-0.918000,0.265000,36.000000,0.900000,21.900000
7246,71081293,96382,79.258004700,0.094566700,-0.430000,-0.944000,0.304000,43.100000,-2.900000,15.000000
7247,71090358,105447,79.265067300,0.101629300,-0.475000,-1.027000,0.303000,36.000000,-1.800000,8.200000
7248,71100002,115091,79.265075800,0.101637800,-0.511000,-1.016000,0.278000,18.400000,1.800000,4.800000
7249,71110074,125163,79.287136200,0.123698200,-0.200000,-1.068000,-0.419000,-8.700000,-45.700000,29.300000
7250,71120054,135143,79.287146400,0.123708400,-0.243000,-0.964000,0.234000,-18.600000,-62.000000,56.000000
7251,71128843,143932,79.296452400,0.133014400,-0.991000,-0.896000,0.177000,-24.200000,-50.200000,42.500000
7252,71139006,154095,79.310404700,0.146966700,-0.416000,-0.561000,0.274000,-27.400000,-46.000000,21.800000
7253,71148437,163526,79.320443000,0.157005000,-0.624000,-0.584000,0.201000,-37.300000,-39.400000,3.500000
7254,71157685,172774,79.326817400,0.163379400,-0.622000,-0.577000,0.173000,-43.800000,-29.400000,-5.600000
7255,71167268,182357,79.348256100,0.184818100,-0.634000,-0.514000,0.142000,-40.000000,-12.700000,-19.600000
7256,71177340,192429,79.348525200,0.185087200,-0.578000,-0.558000,0.104000,-32.500000,4.600000,-32.100000
7257,71187106,202195,79.354504100,0.191066100,-0.484000,-0.762000,0.098000,-26.000000,18.200000,-32.800000
