meta_label,P
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
31363,302966302,0,309.267361600,0.000000000,-0.459000,-0.959000,0.214000,-7.700000,3.500000,-2.800000
31364,302975336,9034,309.285990600,0.018629000,-0.490000,-0.917000,0.204000,-16.800000,3.900000,-3.500000
31365,302984949,18647,309.285999700,0.018638100,-0.500000,-0.876000,0.176000,-20.900000,5.500000,-0.400000
31366,302994868,28566,309.298694900,0.031333300,-0.477000,-0.814000,0.155000,-17.300000,5.100000,0.000000
31367,303004696,38394,309.306357600,0.038996000,-0.444000,-0.786000,0.154000,-8.000000,1.200000,-0.200000
31368,303013791,47489,309.322028300,0.054666700,-0.475000,-0.801000,0.190000,2.400000,-1.400000,-2.900000
31369,303023405,57103,309.327404500,0.060042900,-0.492000,-0.856000,0.242000,9.000000,-2.400000,-5.200000
31370,303033568,67266,309.335808500,0.068446900,-0.516000,-0.903000,0.288000,11.600000,-0.200000,-4.900000
31371,303042815,76513,309.349651300,0.082289700,-0.511000,-0.931000,0.314000,10.300000,1.800000,-4.300000
31372,303052246,85944,309.350413400,0.083051800,-0.481000,-0.923000,0.322000,9.000000,2.600000,-3.000000
31373,303062226,95924,309.365148300,0.097786700,-0.466000,-0.902000,0.316000,12.500000,4.300000,0.100000
31374,303072115,105813,309.374560500,0.107198900,-0.445000,-0.920000,0.358000,15.800000,4.800000,-1.200000
31375,303081087,114785,309.382401400,0.115039800,-0.446000,-0.917000,0.409000,19.100000,5.200000,-5.000000
31376,303090701,124399,309.396613900,0.129252300,-0.404000,-0.900000,0.436000,20.000000,3.800000,-17.800000
31377,303100864,134562,309.402484300,0.135122700,-0.448000,-0.877000,0.457000,18.200000,6.900000,-24.200000
31378,303110173,143871,309.410304900,0.142943300,-0.456000,-0.867000,0.487000,10.600000,16.200000,-31.100000
31379,303119543,153241,309.432795200,0.165433600,-0.467000,-0.836000,0.488000,0.000000,31.500000,-32.700000
31380,303129553,163251,309.432804500,0.165442900,0.411000,-0.606000,-0.360000,9.600000,29.300000,-20.800000
31381,303139503,173201,309.440054500,0.172692900,-0.303000,-0.646000,0.234000,19.300000,-43.800000,17.100000
31382,303148415,182113,309.462246200,0.194884600,0.034000,-0.671000,0.252000,30.300000,-56.700000,49.100000
31383,303157998,191696,309.462765400,0.195403800,-0.569000,-0.763000,0.153000,32.400000,-42.900000,27.700000
31384,303168222,201920,309.474806300,0.207444700,-0.949000,-1.166000,-0.159000,-48.500000,5.600000,58.500000
31385,303177622,211320,309.485175300,0.217813700,-0.565000,-1.019000,0.017000,-99.800000,25.000000,75.500000
31386,303186839,220537,309.486717300,0.219355700,-0.642000,-0.730000,0.141000,-119.400000,48.400000,78.700000
31387,303196789,230487,309.500079700,0.232718100,-0.584000,-0.190000,0.208000,-94.000000,67.700000,37.700000
31388,303206647,240345,309.512050200,0.244688600,-0.613000,-0.292000,0.155000,-63.300000,86.000000,6.100000
31389,303215711,249409,309.514774500,0.247412900,-0.748000,-0.603000,0.136000,-52.800000,110.900000,-8.300000
31390,303225325,259023,309.531778100,0.264416500,-0.565000,-0.791000,0.194000,-51.300000,124.800000,-13.800000
31391,303235458,269156,309.537507200,0.270145600,-0.363000,-0.929000,0.231000,-46.000000,117.500000,-17.400000
31392,303244980,278678,309.545961300,0.278599700,-0.291000,-1.079000,0.222000,-41.300000,93.400000,-17.100000
31393,303254166,287864,309.559905800,0.292544200,-0.341000,-1.206000,0.184000,-39.500000,63.300000,-14.300000
31394,303263963,297661,309.568575700,0.301214100,-0.462000,-1.236000,0.156000,-42.100000,39.400000,-9.000000
31395,303273852,307550,309.574933800,0.307572200,-0.472000,-1.124000,0.151000,-34.200000,4.600000,-21.000000
31396,303282977,316675,309.591538700,0.324177100,-0.453000,-0.980000,0.155000,-13.600000,-24.300000,-40.600000
