meta_label,P
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6623,65213335,0,73.401939100,0.000000000,-0.363000,-0.959000,0.267000,-3.900000,0.100000,12.800000
6624,65231922,18587,73.427644700,0.025705600,-0.390000,-0.898000,0.284000,-7.900000,-3.500000,0.100000
6625,65253926,40591,73.427903600,0.025964500,-0.374000,-0.813000,0.301000,4.400000,-0.600000,-15.600000
6626,65257711,44376,73.428021500,0.026082400,-0.363000,-0.823000,0.313000,9.700000,0.800000,-18.200000
6627,65262075,48740,73.475874500,0.073935400,-0.348000,-0.836000,0.310000,14.800000,3.100000,-22.400000
6628,65276389,63054,73.478314600,0.076375500,-0.275000,-0.905000,0.264000,26.800000,9.300000,-30.100000
6629,65280021,66686,73.483295400,0.081356300,-0.260000,-0.945000,0.255000,28.200000,11.000000,-29.600000
6630,65283867,70532,73.503288000,0.101348900,-0.253000,-0.945000,0.266000,27.300000,12.100000,-26.300000
6631,65328884,115549,73.503296800,0.101357700,-0.233000,-0.867000,0.410000,-27.600000,71.400000,30.700000
6632,65332546,119211,73.503299700,0.101360600,0.333000,-0.563000,-0.212000,-30.500000,71.400000,30.700000
6633,65336788,123453,73.527103200,0.125164100,0.448000,-0.447000,-0.146000,-1.700000,-30.400000,57.400000
6634,65351468,138133,73.527113800,0.125174700,0.119000,-1.027000,0.195000,11.700000,-86.200000,78.200000
6635,65355314,141979,73.540589400,0.138650300,-0.757000,-1.081000,0.097000,2.200000,-80.600000,78.200000
6636,65359251,145916,73.548879500,0.146940400,-1.015000,-1.087000,-0.046000,-12.400000,-56.300000,73.100000
6637,65381439,168104,73.549195600,0.147256500,-0.545000,-0.306000,0.120000,-76.400000,28.000000,50.400000
6638,65385040,171705,73.550122200,0.148183100,-0.519000,-0.306000,0.120000,-63.900000,35.000000,32.300000
6639,65389313,175978,73.579071400,0.177132300,-0.472000,-0.283000,0.141000,-63.900000,41.100000,9.400000
6640,65403963,190628,73.579594800,0.177655700,-0.612000,-0.703000,0.099000,-59.600000,66.700000,-22.200000
6641,65407839,194504,73.580665300,0.178726200,-0.641000,-0.855000,0.099000,-59.600000,75.000000,-20.700000
6642,65411776,198441,73.601626200,0.199687100,-0.602000,-0.926000,0.118000,-70.900000,75.000000,-19.200000
6643,65433933,220598,73.601944100,0.200005000,-0.364000,-0.983000,0.195000,-93.400000,75.300000,-26.800000
6644,65437565,224230,73.632297900,0.230358800,-0.393000,-0.991000,0.197000,-91.400000,71.800000,-25.200000
6645,65441838,228503,73.632310100,0.230371000,-0.393000,-0.977000,0.212000,-83.200000,66.500000,-15.700000
6646,65456671,243336,73.633624300,0.231685200,-0.296000,-1.089000,0.140000,-36.100000,36.700000,-17.700000
6647,65460364,247029,73.669014300,0.267075200,-0.296000,-1.173000,0.122000,-24.500000,29.400000,-17.400000
6648,65486458,273123,73.669285600,0.267346500,-0.421000,-1.677000,-0.002000,38.800000,-11.300000,-12.100000
6649,65490121,276786,73.676982000,0.275042900,-0.283000,-1.746000,0.062000,38.200000,-11.300000,-12.100000
6650,65494027,280692,73.707051800,0.305112700,-0.040000,-1.467000,0.081000,44.000000,-29.400000,-11.200000
6651,65523998,310663,73.714323100,0.312384000,-0.318000,-1.580000,0.202000,84.000000,-118.900000,4.000000
6652,65527782,314447,73.714819800,0.312880700,-0.405000,-1.504000,0.293000,84.000000,-119.700000,-3.500000
6653,65531750,318415,73.733862300,0.331923200,-0.493000,-1.401000,0.385000,86.200000,-119.700000,-13.900000
6654,65561507,348172,73.733871800,0.331932700,-0.778000,-0.809000,0.628000,54.200000,23.300000,-52.400000
6655,65565291,351956,73.737149000,0.335209900,-0.672000,-0.752000,0.628000,47.400000,44.200000,-57.700000
6656,65569259,355924,73.751740700,0.349801600,-0.564000,-0.744000,0.602000,48.500000,60.600000,-61.200000
6657,65584000,370665,73.752007300,0.350068200,-0.119000,-0.459000,0.050000,20.200000,-19.100000,18.600000
6658,65587785,374450,73.753891300,0.351952200,0.051000,-0.550000,-0.059000,20.200000,-19.100000,33.400000
6659,65592027,378692,73.789730600,0.387791500,-0.208000,-0.850000,0.100000,29.600000,-19.100000,37.500000
6660,65606524,393189,73.790008000,0.388068900,-0.089000,-0.661000,0.034000,51.300000,17.700000,36.800000
6661,65610308,396973,73.790986200,0.389047100,-0.129000,-0.692000,0.019000,51.000000,17.700000,36.800000
6662,65614215,400880,73.813095000,0.411155900,-0.166000,-0.752000,-0.011000,48.000000,25.000000,37.100000
6663,65644003,430668,73.825564400,0.423625300,-0.105000,-0.899000,0.001000,29.400000,57.700000,57.600000
6664,65647573,434238,73.825572800,0.423633700,-0.094000,-0.922000,0.011000,29.400000,57.700000,66.900000
6665,65651694,438359,73.834508500,0.432569400,-0.049000,-0.899000,0.029000,21.700000,61.200000,66.900000
6666,65666435,453100,73.835856400,0.433917300,0.009000,-0.807000,0.109000,0.200000,52.500000,80.300000
6667,65670158,456823,73.836084800,0.434145700,-0.032000,-0.803000,0.127000,-6.300000,52.500000,80.300000
6668,65674309,460974,73.862869700,0.460930600,-0.088000,-0.786000,0.138000,-12.800000,48.800000,83.500000
6669,65688989,475654,73.862878900,0.460939800,-0.260000,-0.646000,0.196000,-23.000000,40.300000,88.000000
6670,65692835,479500,73.862881600,0.460942500,-0.296000,-0.584000,0.246000,-22.300000,35.400000,88.000000
6671,65697077,483742,73.883917100,0.481978000,-0.328000,-0.513000,0.294000,-19.200000,28.100000,83.900000
6672,65711482,498147,73.883925900,0.481986800,-0.579000,-0.423000,0.357000,-3.300000,2.700000,54.300000
6673,65715114,501779,73.883928900,0.481989800,-0.667000,-0.424000,0.379000,1.700000,-5.100000,44.000000
6674,65719234,505899,73.903343500,0.501404400,-0.667000,-0.424000,0.391000,6.700000,-12.600000,32.700000
6675,65733976,520641,73.903353200,0.501414100,-1.160000,-0.781000,0.314000,-2.700000,-18.000000,5.800000
6676,65737821,524486,73.903356600,0.501417500,-1.160000,-0.887000,0.342000,-23.600000,-14.900000,5.200000
6677,65742033,528698,73.940261400,0.538322300,-1.192000,-0.793000,0.399000,-44.000000,-16.000000,2.000000
6678,65756591,543256,73.940677600,0.538738500,-1.055000,-0.476000,0.417000,-69.400000,-30.100000,-26.400000
6679,65760589,547254,73.940975700,0.539036600,-1.055000,-0.476000,0.394000,-68.100000,-31.800000,-38.400000
6680,65764251,550916,73.969921100,0.567982000,-1.029000,-0.403000,0.394000,-60.300000,-31.500000,-52.900000
6681,65794039,580704,73.978480600,0.576541500,-0.576000,-1.002000,0.175000,11.200000,-2.000000,-115.000000
6682,65797945,584610,73.984310900,0.582371800,-0.576000,-1.132000,0.153000,20.200000,0.500000,-116.400000
6683,65801760,588425,73.997836400,0.595897300,-0.425000,-1.132000,0.114000,30.000000,2.500000,-114.700000
6684,65824254,610919,73.997845700,0.595906600,0.347000,-1.621000,-0.038000,39.400000,-25.600000,-79.400000
6685,65828191,614856,74.014494800,0.612555700,0.401000,-1.538000,-0.205000,39.400000,-25.600000,-67.300000
6686,65846564,633229,74.015035900,0.613096800,0.314000,-1.649000,-0.455000,48.400000,-62.200000,28.200000
6687,65850348,637013,74.021480600,0.619541500,0.166000,-1.691000,-0.310000,41.900000,-65.900000,28.200000
6688,65854346,641011,74.036616300,0.634677200,0.021000,-1.666000,-0.164000,33.300000,-65.300000,41.600000
6689,65869027,655692,74.036966400,0.635027300,-0.166000,-1.333000,0.085000,7.300000,-47.600000,70.100000
6690,65872628,659293,74.037700000,0.635760900,-0.164000,-1.172000,0.103000,3.200000,-41.300000,71.600000
6691,65876779,663444,74.059630000,0.657690900,-0.164000,-1.020000,0.099000,2.200000,-36.300000,71.200000
6692,65891611,678276,74.059640500,0.657701400,-0.242000,-0.714000,0.157000,8.800000,-23.700000,62.100000
6693,65895457,682122,74.072600100,0.670661000,-0.273000,-0.674000,0.195000,12.000000,-20.500000,56.600000
6694,65899608,686273,74.082073200,0.680134100,-0.266000,-0.674000,0.230000,14.400000,-17.400000,51.300000
6695,65914044,700709,74.082084800,0.680145700,-0.376000,-0.675000,0.299000,12.200000,-6.200000,40.900000
6696,65917645,704310,74.084850800,0.682911700,-0.376000,-0.675000,0.328000,10.000000,-3.500000,38.600000
6697,65922070,708735,74.110956700,0.709017600,-0.384000,-0.663000,0.359000,8.500000,-1.600000,36.000000
6698,65936506,723171,74.110966200,0.709027100,-0.403000,-0.624000,0.370000,4.900000,0.400000,24.800000
6699,65940199,726864,74.110968900,0.709029800,-0.423000,-0.624000,0.370000,3.500000,0.700000,21.400000
6700,65944472,731137,74.135446600,0.733507500,-0.449000,-0.627000,0.371000,2.300000,0.700000,17.200000
6701,65959091,745756,74.135666900,0.733727800,-0.500000,-0.639000,0.371000,0.000000,1.200000,3.200000
6702,65963120,749785,74.135673500,0.733734400,-0.511000,-0.640000,0.371000,0.000000,1.300000,-1.300000
6703,65966782,753447,74.157404600,0.755465500,-0.518000,-0.642000,0.358000,0.100000,1.300000,-5.400000
6704,65989001,775666,74.166410300,0.764471200,-0.518000,-0.725000,0.309000,5.600000,-0.500000,-22.900000
6705,65992694,779359,74.172087700,0.770148600,-0.519000,-0.760000,0.309000,6.100000,-0.800000,-27.100000
6706,65996783,783448,74.195078500,0.793139400,-0.519000,-0.794000,0.311000,6.000000,-0.800000,-31.100000
6707,66011738,798403,74.195088700,0.793149600,-0.466000,-0.871000,0.307000,4.800000,-2.000000,-40.200000
6708,66015492,802157,74.204904700,0.802965600,-0.466000,-0.887000,0.305000,4.600000,-2.300000,-42.200000
6709,66035727,822392,74.204912700,0.802973600,-0.414000,-0.971000,0.319000,3.700000,-3.300000,-48.700000
6710,66040030,826695,74.239363000,0.837423900,-0.409000,-0.983000,0.321000,3.000000,-2.700000,-50.500000
6711,66056602,843267,74.246396000,0.844456900,-0.358000,-1.011000,0.293000,-0.400000,0.000000,-54.600000
6712,66060601,847266,74.255977100,0.854038000,-0.340000,-1.009000,0.293000,-0.300000,-0.100000,-53.700000
6713,66064538,851203,74.262439400,0.860500300,-0.319000,-1.012000,0.276000,-0.300000,-0.800000,-52.700000
6714,66094325,880990,74.262447200,0.860508100,-0.275000,-1.095000,0.234000,4.500000,-2.600000,-42.000000
6715,66097988,884653,74.284950200,0.883011100,-0.275000,-1.095000,0.235000,3.700000,-2.800000,-39.200000
