meta_label,p
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2164,22217369,0,39.261057800,0.000000000,-0.449000,-0.855000,0.243000,1.100000,-5.500000,-13.500000
2165,22227471,10102,39.276194300,0.015136500,-0.433000,-0.828000,0.225000,7.800000,-5.400000,-15.800000
2166,22236963,19594,39.282518500,0.021460700,-0.411000,-0.829000,0.230000,16.100000,-6.500000,-16.500000
2167,22246150,28781,39.295646100,0.034588300,-0.420000,-0.842000,0.236000,24.400000,-8.000000,-19.600000
2168,22256374,39005,39.312461000,0.051403200,-0.437000,-0.867000,0.271000,30.400000,-7.800000,-17.400000
2169,22265896,48527,39.314447300,0.053389500,-0.464000,-0.878000,0.329000,34.400000,-3.600000,-20.100000
2170,22275022,57653,39.319911200,0.058853400,-0.482000,-0.885000,0.357000,37.000000,5.100000,-22.400000
2171,22284605,67236,39.335119300,0.074061500,-0.469000,-0.925000,0.363000,36.500000,15.800000,-27.300000
2172,22294707,77338,39.357155500,0.096097700,-0.448000,-0.994000,0.308000,26.900000,31.300000,-26.300000
2173,22304199,86830,39.357767300,0.096709500,-0.407000,-1.026000,0.247000,1.400000,36.900000,-22.000000
2174,22313507,96138,39.387520400,0.126462600,-0.311000,-0.960000,0.184000,-8.800000,36.100000,-22.000000
2175,22323579,106210,39.402493100,0.141435300,0.342000,-0.774000,-0.405000,6.400000,-33.300000,54.200000
2176,22333071,115702,39.409137200,0.148079400,-0.200000,-0.875000,0.178000,5.100000,-41.400000,35.900000
2177,22342288,124919,39.411634100,0.150576300,-0.147000,-0.849000,0.209000,5.400000,-50.700000,48.500000
2178,22365300,147931,39.412028000,0.150970200,-0.882000,-0.989000,-0.025000,-40.100000,14.100000,40.100000
2179,22369542,152173,39.432451000,0.171393200,-0.869000,-0.991000,-0.025000,-59.900000,32.400000,40.400000
2180,22386877,169508,39.448164700,0.187106900,-0.517000,-0.645000,0.122000,-83.900000,72.600000,23.600000
2181,22390692,173323,39.448174500,0.187116700,-0.466000,-0.679000,0.137000,-89.900000,72.600000,19.100000
2182,22394843,177474,39.455393900,0.194336100,-0.452000,-0.738000,0.145000,-96.800000,76.200000,19.600000
2183,22410317,192948,39.455739900,0.194682100,-0.435000,-0.856000,0.160000,-124.200000,86.100000,27.200000
