meta_label,p
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
19246,1446736996,0,1451.428025700,0.000000000,-0.253000,-0.908000,0.156000,-18.100000,-1.200000,2.200000
19247,1446740841,3845,1451.442309200,0.014283500,-0.261000,-0.908000,0.156000,-13.200000,-3.600000,3.000000
19248,1446744931,7935,1451.452592100,0.024566400,-0.283000,-0.867000,0.168000,-13.200000,-5.100000,4.200000
19249,1446759703,22707,1451.458846400,0.030820700,-0.345000,-0.862000,0.273000,14.900000,-5.100000,-0.100000
19250,1446763762,26766,1451.477986400,0.049960700,-0.363000,-0.892000,0.273000,14.900000,-4.300000,-1.400000
19251,1446781952,44956,1451.478282200,0.050256500,-0.413000,-0.960000,0.339000,28.200000,7.000000,-2.300000
19252,1446785553,48557,1451.478290900,0.050265200,-0.401000,-0.952000,0.346000,29.600000,7.000000,-2.300000
19253,1446789918,52922,1451.502932000,0.074906300,-0.390000,-0.942000,0.354000,31.200000,10.700000,-3.200000
19254,1446804476,67480,1451.503225200,0.075199500,-0.330000,-0.999000,0.384000,33.000000,20.600000,-9.800000
19255,1446808443,71447,1451.503579900,0.075554200,-0.317000,-1.040000,0.388000,30.300000,23.500000,-9.800000
19256,1446814181,77185,1451.526598900,0.098573200,-0.319000,-1.082000,0.381000,23.800000,32.100000,-14.100000
19257,1446834507,97511,1451.526610300,0.098584600,0.003000,-0.910000,0.172000,-18.200000,-24.000000,17.600000
19258,1446838353,101357,1451.532491600,0.104465900,0.160000,-0.910000,0.170000,-18.600000,-33.800000,30.500000
19259,1446843022,106026,1451.550879300,0.122853600,0.001000,-0.950000,0.151000,-19.000000,-32.200000,41.400000
19260,1446856817,119821,1451.550897900,0.122872200,-0.385000,-0.600000,0.206000,-3.900000,-7.000000,21.100000
19261,1446862647,125651,1451.577723800,0.149698100,-0.111000,-0.381000,0.207000,7.000000,-11.200000,10.800000
19262,1446879463,142467,1451.586478400,0.158452700,-0.609000,-0.933000,-0.076000,-42.200000,14.600000,-20.100000
19263,1446883065,146069,1451.586488900,0.158463200,-0.807000,-1.003000,-0.116000,-42.200000,14.600000,-14.300000
19264,1446891244,154248,1451.600217000,0.172191300,-0.599000,-0.781000,0.012000,-93.000000,55.800000,-3.600000
19265,1446909495,172499,1451.600433900,0.172408200,-0.199000,-0.527000,0.175000,-98.300000,85.400000,-15.800000
19266,1446913310,176314,1451.602520200,0.174494500,-0.199000,-0.572000,0.197000,-89.000000,81.800000,-25.400000
19267,1446919963,182967,1451.629149600,0.201123900,-0.156000,-0.674000,0.196000,-80.900000,76.800000,-37.600000
19268,1446931988,194992,1451.629160300,0.201134600,-0.256000,-0.956000,0.163000,-73.400000,68.400000,-37.500000
19269,1446939649,202653,1451.631308300,0.203282600,-0.238000,-0.990000,0.162000,-68.800000,58.800000,-32.500000
19270,1446948805,211809,1451.648143600,0.220117900,-0.208000,-0.990000,0.161000,-56.800000,44.600000,-31.900000
19271,1446958937,221941,1451.667889000,0.239863300,-0.194000,-0.989000,0.144000,-36.400000,27.600000,-37.500000
19272,1446968398,231402,1451.667899000,0.239873300,-0.308000,-1.113000,0.123000,-18.000000,16.800000,-40.300000
19273,1446977616,240620,1451.675250100,0.247224400,-0.378000,-1.241000,0.123000,2.300000,7.900000,-39.800000
19274,1446987229,250233,1451.675514500,0.247488800,-0.499000,-1.351000,0.093000,29.800000,2.400000,-37.300000
19275,1446997301,260305,1451.698447100,0.270421400,-0.700000,-1.928000,0.028000,23.800000,16.800000,-26.500000
19276,1447007098,270102,1451.698458000,0.270432300,-0.581000,-1.901000,0.081000,-19.100000,32.000000,7.100000
19277,1447016101,279105,1451.705705900,0.277680200,0.436000,-0.903000,0.312000,-14.600000,-2.300000,31.100000
19278,1447026234,289238,1451.727477700,0.299452000,0.148000,-0.558000,0.260000,97.400000,-75.800000,-35.600000
19279,1447035756,298760,1451.728006400,0.299980700,-0.356000,-1.153000,0.195000,151.800000,-83.600000,-48.700000
19280,1447045309,308313,1451.742769100,0.314743400,-0.378000,-1.420000,0.163000,158.700000,-58.900000,-30.700000
19281,1447054556,317560,1451.750027400,0.322001700,-0.461000,-1.782000,0.058000,120.600000,-35.200000,1.900000
19282,1447064628,327632,1451.759248800,0.331223100,-0.220000,-1.543000,0.082000,63.200000,-29.000000,27.600000
19283,1447074272,337276,1451.773279000,0.345253300,-0.058000,-1.196000,0.131000,59.500000,-30.800000,36.600000
19284,1447083367,346371,1451.773287600,0.345261900,-0.190000,-1.160000,0.053000,43.700000,-21.400000,46.100000
19285,1447093378,356382,1451.788132600,0.360106900,-0.231000,-1.082000,0.031000,17.800000,-9.300000,56.500000
19286,1447103053,366057,1451.811524800,0.383499100,-0.219000,-0.755000,0.073000,2.000000,1.300000,61.600000
19287,1447112270,375274,1451.811536700,0.383511000,-0.183000,-0.549000,0.064000,-0.100000,9.800000,54.900000
19288,1447121853,384857,1451.825372100,0.397346400,-0.197000,-0.450000,0.066000,8.500000,22.400000,46.900000
19289,1447132077,395081,1451.825696700,0.397671000,-0.197000,-0.480000,0.057000,11.400000,33.800000,39.600000
19290,1447141630,404634,1451.840320500,0.412294800,-0.165000,-0.524000,0.079000,8.000000,41.800000,34.400000
19291,1447150694,413698,1451.840334700,0.412309000,-0.148000,-0.585000,0.105000,2.300000,43.900000,31.800000
19292,1447160522,423526,1451.856423000,0.428397300,-0.193000,-0.637000,0.132000,-4.200000,42.000000,32.200000
19293,1447170410,433414,1451.874840100,0.446814400,-0.242000,-0.656000,0.177000,-11.400000,31.000000,31.000000
