meta_label,Q
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3568,35716793,0,90.730825500,0.000000000,-0.222000,-1.094000,0.179000,22.400000,34.900000,-13.600000
3569,35726437,9644,90.734411200,0.003585700,-0.254000,-1.136000,0.216000,26.000000,30.100000,-3.400000
3570,35736569,19776,90.751103400,0.020277900,-0.312000,-1.126000,0.290000,32.100000,30.800000,5.200000
3571,35746000,29207,90.751117000,0.020291500,-0.345000,-1.107000,0.339000,46.200000,35.100000,12.600000
3572,35755217,38424,90.772375800,0.041550300,-0.344000,-1.076000,0.362000,55.700000,39.000000,14.100000
3573,35769043,52250,90.780960900,0.050135400,-0.045000,-1.159000,-0.019000,58.500000,-11.100000,51.000000
3574,35774964,58171,90.781546900,0.050721400,0.353000,-1.329000,0.138000,11.000000,-57.200000,90.000000
3575,35784425,67632,90.806420700,0.075595200,-0.363000,-1.448000,0.295000,11.300000,-61.900000,52.200000
3576,35798952,82159,90.806761300,0.075935800,-0.715000,-0.845000,0.284000,19.800000,-45.700000,60.500000
3577,35803866,87073,90.810141800,0.079316300,-0.649000,-0.765000,0.278000,25.300000,-41.300000,58.800000
3578,35813327,96534,90.826552000,0.095726500,-0.653000,-0.524000,0.298000,34.300000,-33.900000,52.900000
3579,35822544,105751,90.826596200,0.095770700,-0.525000,-0.396000,0.332000,47.900000,-34.600000,25.900000
3580,35832189,115396,90.844505200,0.113679700,-0.633000,-0.382000,0.251000,51.300000,-32.400000,-2.400000
3581,35842260,125467,90.854467800,0.123642300,-0.694000,-0.463000,0.215000,38.200000,-18.400000,-26.600000
3582,35851538,134745,90.858291000,0.127465500,-0.388000,-0.440000,0.284000,21.600000,-15.200000,-43.900000
3583,35860938,144145,90.869946100,0.139120600,-0.304000,-0.513000,0.231000,-0.800000,-27.500000,-49.300000
3584,35871071,154278,90.881467100,0.150641600,-0.414000,-0.614000,0.147000,-35.000000,-27.000000,-48.800000
3585,35880715,163922,90.884588200,0.153762700,-0.390000,-0.610000,0.089000,-86.100000,-19.200000,-48.500000
3586,35889902,173109,90.901253300,0.170427800,-0.329000,-0.526000,0.091000,-106.400000,-9.900000,-47.600000
3587,35899516,182723,90.907345100,0.176519600,-0.205000,-0.429000,0.028000,-113.200000,0.000000,-48.600000
3588,35909587,192794,90.914718000,0.183892500,-0.178000,-0.478000,-0.032000,-114.700000,15.700000,-55.100000
3589,35919110,202317,90.922245400,0.191419900,-0.125000,-0.594000,-0.082000,-117.300000,35.000000,-63.300000
3590,35928296,211503,90.929546900,0.198721400,-0.081000,-0.785000,-0.116000,-117.500000,56.100000,-78.000000
3591,35938520,221727,90.944827300,0.214001800,-0.038000,-0.987000,-0.103000,-115.200000,75.800000,-82.100000
3592,35948012,231219,90.958323700,0.227498200,0.090000,-1.157000,-0.047000,-98.400000,86.200000,-77.300000
3593,35957229,240436,90.959791900,0.228966400,0.265000,-1.325000,0.002000,-65.200000,81.300000,-70.400000
3594,35966812,250019,90.977528900,0.246703400,0.318000,-1.572000,0.000000,-29.300000,64.300000,-61.600000
3595,35976853,260060,90.981700900,0.250875400,0.205000,-1.820000,-0.015000,-2.100000,43.000000,-26.900000
3596,35986284,269491,90.990721200,0.259895700,0.016000,-1.993000,-0.021000,15.000000,38.400000,-0.700000
3597,35995623,278830,91.004606200,0.273780700,-0.230000,-1.998000,-0.029000,18.500000,43.500000,31.200000
3598,36005634,288841,91.015980800,0.285155300,-0.326000,-1.998000,0.052000,25.900000,44.100000,61.800000
3599,36015248,298455,91.019722600,0.288897100,-0.377000,-1.953000,0.189000,44.500000,36.600000,82.800000
3600,36024434,307641,91.035709600,0.304884100,-0.428000,-1.738000,0.278000,67.400000,21.900000,91.200000
3601,36034048,317255,91.035717900,0.304892400,-0.509000,-1.497000,0.317000,82.900000,5.400000,89.500000
3602,36044150,327357,91.053074600,0.322249100,-0.757000,-1.352000,0.345000,87.800000,-5.600000,86.800000
3603,36053764,336971,91.057030300,0.326204800,-0.849000,-1.212000,0.360000,81.800000,-13.800000,77.900000
3604,36062981,346188,91.065671100,0.334845600,-0.935000,-1.002000,0.357000,63.100000,-19.100000,65.900000
3605,36073022,356229,91.079645300,0.348819800,-0.960000,-0.691000,0.342000,42.000000,-21.400000,51.200000
3606,36082697,365904,91.091864500,0.361039000,-0.950000,-0.360000,0.305000,20.100000,-19.600000,21.800000
3607,36091761,374968,91.094701800,0.363876300,-0.875000,-0.029000,0.290000,6.400000,-14.200000,-8.400000
3608,36101375,384582,91.110109500,0.379284000,-0.751000,0.216000,0.232000,5.100000,-8.600000,-36.800000
3609,36111569,394776,91.117140000,0.386314500,-0.561000,0.316000,0.191000,16.200000,-1.900000,-74.000000
3610,36121091,404298,91.128483100,0.397657600,-0.150000,0.272000,0.198000,39.400000,-22.800000,-108.900000
3611,36130186,413393,91.140219200,0.409393700,0.279000,-0.028000,0.094000,35.200000,-66.300000,-140.500000
3612,36139830,423037,91.148752800,0.417927300,0.207000,-0.438000,-0.535000,4.900000,-97.100000,-132.700000
3613,36149871,433078,91.155645800,0.424820300,0.071000,-0.781000,-0.194000,-38.400000,-107.700000,-110.000000
3614,36159180,442387,91.169479400,0.438653900,-0.166000,-0.794000,0.163000,-73.000000,-84.000000,-89.000000
3615,36168733,451940,91.170554600,0.439729100,-0.247000,-0.548000,0.405000,-88.300000,-37.700000,-82.800000
3616,36178835,462042,91.186242100,0.455416600,-0.052000,-0.373000,0.597000,-70.100000,9.300000,-89.600000
3617,36188479,471686,91.191953900,0.461128400,0.059000,-0.563000,0.685000,-42.200000,53.700000,-90.900000
3618,36197513,480720,91.205419500,0.474594000,0.117000,-0.831000,0.672000,-21.700000,93.800000,-89.100000
3619,36207188,490395,91.214546700,0.483721200,0.628000,-0.327000,-0.044000,-6.300000,125.400000,-77.400000
3620,36217229,500436,91.229368400,0.498542900,1.376000,-1.293000,0.236000,133.100000,-127.700000,-73.600000
3621,36226568,509775,91.229984600,0.499159100,-1.644000,-1.998000,-0.437000,37.000000,-6.300000,50.500000
3622,36236029,519236,91.245671300,0.514845800,-0.797000,-1.616000,-0.232000,-44.600000,63.500000,69.400000
3623,36246101,529308,91.252021100,0.521195600,-0.232000,-0.848000,0.063000,-37.000000,87.000000,55.500000
3624,36255623,538830,91.262963500,0.532138000,-0.672000,-1.090000,0.153000,-36.400000,117.500000,34.500000
3625,36264810,548017,91.275351200,0.544525700,-0.332000,-1.014000,0.194000,-34.100000,119.300000,18.100000
3626,36274484,557691,91.284044700,0.553219200,-0.574000,-1.229000,0.168000,-48.800000,135.600000,15.700000
3627,36284434,567641,91.289737900,0.558912400,-0.640000,-1.227000,0.202000,-67.900000,153.000000,25.200000
3628,36293895,577102,91.305447400,0.574621900,-0.048000,-0.896000,0.346000,-68.600000,139.500000,20.300000
3629,36303265,586472,91.305862100,0.575036600,0.199000,-0.511000,0.352000,-36.400000,93.800000,-0.600000
3630,36313336,596543,91.320917300,0.590091800,-0.009000,-0.610000,0.239000,7.900000,50.400000,-20.300000
3631,36323255,606462,91.327107300,0.596281800,-0.137000,-0.921000,0.111000,34.000000,21.200000,-25.100000
3632,36332167,615374,91.338334900,0.607509400,0.082000,-1.085000,-0.122000,50.400000,-18.600000,-20.900000
3633,36341781,624988,91.352072300,0.621246800,0.178000,-1.252000,-0.197000,61.200000,-77.600000,3.500000
3634,36351883,635090,91.359436000,0.628610500,-0.303000,-1.441000,-0.037000,56.700000,-117.100000,18.400000
3635,36361161,644368,91.364513100,0.633687600,-0.571000,-1.404000,0.099000,41.800000,-100.900000,19.900000
3636,36370561,653768,91.379728700,0.648903200,-0.564000,-1.247000,0.133000,25.000000,-79.100000,20.300000
3637,36380694,663901,91.387663200,0.656837700,-0.429000,-1.068000,0.080000,25.900000,-64.400000,14.800000
3638,36390369,673576,91.397355400,0.666529900,-0.311000,-1.008000,0.061000,30.300000,-58.300000,9.800000
3639,36399433,682640,91.414282600,0.683457100,-0.259000,-1.098000,0.057000,30.100000,-56.500000,9.600000
3640,36409108,692315,91.414807100,0.683981600,-0.280000,-1.132000,0.098000,23.400000,-52.600000,15.500000
3641,36419058,702265,91.426527400,0.695701900,-0.269000,-1.088000,0.168000,14.300000,-47.200000,21.800000
3642,36428733,711940,91.436625200,0.705799700,-0.240000,-1.012000,0.215000,6.600000,-40.500000,24.100000
3643,36437919,721126,91.439579200,0.708753700,-0.222000,-0.962000,0.244000,0.600000,-34.500000,24.500000
3644,36448052,731259,91.456549200,0.725723700,-0.227000,-0.906000,0.268000,-3.400000,-29.100000,24.000000
3645,36457604,740811,91.462480600,0.731655100,-0.222000,-0.847000,0.291000,-2.300000,-23.600000,19.400000
3646,36466791,749998,91.471158700,0.740333200,-0.216000,-0.834000,0.292000,0.400000,-19.200000,17.100000
3647,36476344,759551,91.491250100,0.760424600,-0.220000,-0.844000,0.265000,2.200000,-14.200000,10.500000
3648,36486446,769653,91.493670000,0.762844500,-0.236000,-0.816000,0.247000,3.200000,-13.600000,9.600000
3649,36496090,779297,91.499574000,0.768748500,-0.242000,-0.798000,0.218000,6.600000,-12.000000,6.100000
3650,36505246,788453,91.514709000,0.783883500,-0.255000,-0.794000,0.219000,8.500000,-9.800000,-0.800000
3651,36514891,798098,91.528758100,0.797932600,-0.264000,-0.846000,0.230000,6.100000,-6.800000,-9.000000
3652,36524840,808047,91.531054900,0.800229400,-0.252000,-0.916000,0.239000,1.200000,-5.100000,-13.500000
3653,36534179,817386,91.545536000,0.814710500,-0.229000,-0.949000,0.249000,-3.200000,-5.700000,-15.700000
3654,36543671,826878,91.548512200,0.817686700,-0.230000,-0.966000,0.258000,-5.600000,-7.400000,-17.300000
3655,36553590,836797,91.563160100,0.832334600,-0.238000,-0.985000,0.269000,-6.700000,-9.700000,-17.900000
3656,36563417,846624,91.567255400,0.836429900,-0.240000,-1.005000,0.268000,-8.800000,-11.100000,-19.500000
3657,36572482,855689,91.575283100,0.844457600,-0.254000,-1.024000,0.257000,-9.500000,-12.900000,-16.400000
3658,36582096,865303,91.589741100,0.858915600,-0.285000,-1.025000,0.243000,-9.900000,-13.700000,-10.900000
3659,36592320,875527,91.597741500,0.866916000,-0.287000,-1.016000,0.218000,-9.100000,-12.000000,-6.500000
